signal,signal_name,snr_db,snr_quality,n_r_peaks_raw,n_r_peaks_filtered,peak_rejection_rate,peak_consistency,rr_mean_ms,rr_std_ms,rr_cv,rr_regularity,n_impossible_rr,impossible_rr_pct,skewness,skewness_quality,kurtosis,kurtosis_quality,n_flatlines,flatline_pct,flatline_quality,peak_to_peak,rms_amplitude,amplitude_quality,qrs_band_ratio,qrs_band_quality,baseline_wander_ratio,baseline_wander_quality,seg_quality_mean,seg_quality_std,seg_quality_min,seg_quality_max,seg_n_good,seg_n_moderate,seg_n_poor,seg_total,overall_score,overall_quality,n_peaks_ampd,n_peaks_msptd,peak_method_agreement,peak_agreement_quality,bbi_cv,resp_rate_mean,bbi_regularity,n_impossible_breaths,impossible_breath_pct,breathing_band_ratio,breathing_band_quality
ref_lead1,ref_lead1,20.090519399783485,good,75.0,75.0,0.0,good,1002.972972972973,71.77159209396133,0.07155884956821798,very_regular,0.0,0.0,1.4313404668627383,moderate,13.020552333816646,poor,0,0.0,good,0.12715674780938402,0.012133914667725279,good,0.6371663251631312,moderate,2.396261140400972e-05,good,63.68223875843296,2.7733902421311636,57.83148949703015,70.48492586519006,1.0,15.0,0.0,16.0,83.5,good,,,,,,,,,,,
ref_lead2,ref_lead2,25.962162770180093,good,75.0,75.0,0.0,good,1002.972972972973,71.49994764182037,0.07128801031386024,very_regular,0.0,0.0,2.9641348357519646,poor,17.740262380788636,poor,0,0.0,good,1.1073226616968124,0.11310961217939883,good,0.7611103505148898,good,8.52851516541491e-06,good,52.73205865872264,0.5233710531600032,51.30414448134535,53.83874701211691,0.0,16.0,0.0,16.0,82.0,good,,,,,,,,,,,
ref_lead3,ref_lead3,13.48725435770599,good,150.0,0.0,1.0,poor,,,,,,,-5.631480959962436,poor,1759.5731205244103,poor,0,0.0,good,0.04822647357377327,0.00043155238151614916,poor,0.7230134705478477,good,1.3151710468020912e-06,good,51.09653953626112,10.466562728191146,14.55535717207032,63.81355734922761,0.0,26.0,4.0,30.0,52.0,moderate,,,,,,,,,,,
ref_respiration,ref_respiration,18.711107230548176,good,,,,,,,,,,,0.13317481912281423,good,-1.499429316221452,good,0,0.0,good,1.2476835797513257,0.3733144656863452,,,,,,,,,,,,,,92.5,good,13.0,15.0,0.8666666666666667,good,0.2440798938417766,15.212981744421906,moderate,0.0,0.0,0.8005824342612922,good
