pair,pearson_r,spearman_r,r_squared,peak_cross_corr,peak_lag_sec
lead1_vs_ref_lead1,0.07313224507906158,0.08201620535188296,0.005072193993613694,0.07313224507905551,0.0
lead2_vs_ref_lead2,0.08551503835687199,0.13384359793332665,0.006956923272044779,0.08551503835686654,0.0
impedance_pneumography_vs_ref_respiration,0.8570363934094811,0.9658844364438989,0.7345113796283311,0.8570865085107058,-0.008
