segment,start_sec,end_sec,rms_acc_chest_resp_rate_mean,rms_gyr_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,rms_acc_chest_resp_rate_std,rms_gyr_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,rms_acc_chest_resp_rate_min,rms_gyr_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,rms_acc_chest_resp_rate_max,rms_gyr_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,rms_acc_chest_resp_rate_median,rms_gyr_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,rms_acc_chest_bbi_mean,rms_gyr_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,rms_acc_chest_bbi_std,rms_gyr_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,rms_acc_chest_bbi_cv,rms_gyr_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,rms_acc_chest_bbi_rmssd,rms_gyr_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,rms_acc_chest_peak_amp_mean,rms_gyr_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,rms_acc_chest_peak_amp_std,rms_gyr_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,rms_acc_chest_n_breaths,rms_gyr_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,rms_acc_chest_signal_mean,rms_gyr_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,rms_acc_chest_signal_std,rms_gyr_chest_signal_std,diff_signal_std,pct_diff_signal_std,rms_acc_chest_signal_rms,rms_gyr_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,50.8557577387052,26.269702276707534,24.586055461997667,93.59091779200443,12.885610688106059,0.0,12.885610688106059,12885610688106.059,37.78337531486146,26.269702276707534,11.513673038153925,43.82871536523927,68.18181818181819,26.269702276707534,41.91211590511065,159.54545454545453,46.920947932883585,26.269702276707534,20.65124565617605,78.61240846451017,1.2553333333333334,2.284,-1.0286666666666664,45.037945125510795,0.3002347229900114,0.0,0.3002347229900114,300234722990.0114,0.2391673311125954,0.0,0.2391673311125954,239167331112.59537,0.6173310295133398,0.0,0.6173310295133398,617331029513.3398,0.5526928224527276,0.004917341800462904,0.5477754806522647,11139.666569460327,0.22080800132453585,1.6793856432872727e-05,0.22079120746810296,1314714.1536587188,7,2,5,250.0,0.339751439564434,0.00312668652219378,0.3366247530422402,10766.181727935229,0.18514005936506112,0.00108232518275755,0.18405773418230356,17005.77027260522,0.386921028464212,0.003308715220338462,0.3836123132438735,11593.99608905091
1,10.0,20.0,15.060240963855422,38.15610452739371,-23.095863563538288,60.52993053040018,0.0,9.720076554608694,-9.720076554608694,100.0,15.060240963855422,27.881040892193308,-12.820799928337886,45.98393574297188,15.060240963855422,54.15162454873646,-39.09138358488104,72.18875502008032,15.060240963855422,35.29587633432254,-20.235635370467122,57.3314434207418,3.984,1.665,2.319,139.27927927927928,0.0,0.3708625082156459,-0.3708625082156459,100.0,0.0,0.22274024517456212,-0.22274024517456212,100.0,0.0,0.4205456772654626,-0.4205456772654626,100.0,0.5182263984182125,0.003640090737268806,0.5145863076809437,14136.634079265908,0.003987067095100272,0.00044100236959481175,0.00354606472550546,804.0919890665318,2,5,-3,60.0,0.2506820034660374,0.002695736993807192,0.24798626647223024,9199.20107346967,0.13423693991206356,0.0010427285308129638,0.1331942113812506,12773.622994415015,0.28436072671643914,0.002890377264087164,0.281470349452352,9738.187223848292
2,20.0,30.0,32.432267512814256,32.818610015290936,-0.3863425024766798,1.1772055620170203,11.685379546009276,7.694058129735857,3.9913214162734194,51.875373814084305,20.74688796680498,22.45508982035928,-1.7082018535543,7.60719225449515,44.11764705882353,40.87193460490463,3.245712453918898,7.941176470588237,32.432267512814256,35.1288056206089,-2.6965381077946446,7.676145146855422,2.126,1.9493333333333334,0.17666666666666653,9.06292749658002,0.7659999999999999,0.5203110180993246,0.24568898190067534,47.219638515088036,0.36030103480714953,0.26691741694561794,0.0933836178615316,34.98595892697317,1.5319999999999998,1.090621840969637,0.4413781590303627,40.47032091691356,0.45970627990320295,0.0038704077519554694,0.4558358721512475,11777.46380651865,0.037981685314028964,0.0004477724448724274,0.037533912869156534,8382.363251461384,3,4,-1,25.0,0.2558741356682958,0.0025486905221403576,0.25332544514615546,9939.435288259949,0.11948228450767502,0.0009187978970188154,0.1185634866106562,12904.196558933594,0.2823961572245105,0.0027092458273870767,0.2796869113971234,10323.42316706146
3,30.0,40.0,13.774104683195592,28.77906976744186,-15.004965084246269,52.13846453515876,0.0,14.82558139534884,-14.82558139534884,100.0,13.774104683195592,13.953488372093023,-0.17938368889743117,1.2855831037649235,13.774104683195592,43.6046511627907,-29.83054647959511,68.41138659320478,13.774104683195592,28.77906976744186,-15.004965084246269,52.13846453515876,4.356,2.838,1.5179999999999998,53.48837209302325,0.0,1.462,-1.462,100.0,0.0,0.5151515151515151,-0.5151515151515151,100.0,0.0,2.924,-2.924,100.0,0.4694395382361679,0.00434645468412291,0.465093083552045,10700.516106862347,0.02098132707764916,0.0008219357358618285,0.02015939134178733,2452.672448977961,2,3,-1,33.33333333333333,0.21364299533810913,0.0024079290162709326,0.2112350663218382,8772.478959905964,0.1289260977702782,0.0010380981178927356,0.12788799965238545,12319.45202944678,0.2495300946645728,0.002622168920907259,0.24690792574366555,9416.171619417884
4,40.0,50.0,24.79768398461951,13.940520446096654,10.857163538522856,77.88205311633729,10.579674505946526,0.0,10.579674505946526,10579674505946.525,14.218009478672986,13.940520446096654,0.27748903257633195,1.9905213270142212,35.37735849056604,13.940520446096654,21.436838044469383,153.77358490566039,24.79768398461951,13.940520446096654,10.857163538522856,77.88205311633729,2.9579999999999997,4.304,-1.3460000000000005,31.273234200743506,1.2619999999999998,0.0,1.2619999999999998,1261999999999.9998,0.42663962136578765,0.0,0.42663962136578765,426639621365.78766,2.524,0.0,2.524,2524000000000.0,0.5281549663897502,0.0064930763355650865,0.5216618900541852,8034.125322027118,0.0433510916198208,0.000650947500710874,0.042700144119109926,6559.690923227878,3,2,1,50.0,0.27687300616727073,0.0028015366215528746,0.27407146954571787,9782.897979531022,0.1454604040767705,0.0016196630692343003,0.1438407410075362,8880.905154893557,0.3127577188468397,0.0032360339769142363,0.3095216848699255,9564.846570772846
5,50.0,60.0,36.91126588458375,18.915510718789406,17.995755165794343,95.13755897649943,3.0389872757367815,0.0,3.0389872757367815,3038987275736.7812,34.72222222222222,18.915510718789406,15.806711503432815,83.56481481481482,41.20879120879121,18.915510718789406,22.293280490001806,117.85714285714289,34.80278422273782,18.915510718789406,15.887273503948414,83.99071925754062,1.636,3.172,-1.5360000000000003,48.42370744010089,0.12728969583853467,0.0,0.12728969583853467,127289695838.53467,0.07780543755411655,0.0,0.07780543755411655,77805437554.11655,0.2700074073057997,0.0,0.2700074073057997,270007407305.79968,0.518976734351073,0.005371381599107104,0.513605352751966,9561.885397182423,0.06543090212589356,0.0006008320865366341,0.06483007003935692,10790.047917223555,4,2,2,100.0,0.28706960852271274,0.002576267671502723,0.28449334085121003,11042.848691466388,0.1074047182126102,0.001392146530828917,0.10601257168178128,7615.044058520111,0.30650405157471206,0.0029283488655775032,0.30357570270913453,10366.787450690783
