segment,start_sec,end_sec,impedance_pneumography_signal_mean,pca_acc_ribs_signal_mean,diff_signal_mean,pct_diff_signal_mean,impedance_pneumography_signal_std,pca_acc_ribs_signal_std,diff_signal_std,pct_diff_signal_std,impedance_pneumography_signal_rms,pca_acc_ribs_signal_rms,diff_signal_rms,pct_diff_signal_rms,impedance_pneumography_signal_energy,pca_acc_ribs_signal_energy,diff_signal_energy,pct_diff_signal_energy,impedance_pneumography_n_breaths,pca_acc_ribs_n_breaths,diff_n_breaths,pct_diff_n_breaths,impedance_pneumography_resp_rate_mean,pca_acc_ribs_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,impedance_pneumography_resp_rate_std,pca_acc_ribs_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,impedance_pneumography_resp_rate_min,pca_acc_ribs_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,impedance_pneumography_resp_rate_max,pca_acc_ribs_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,impedance_pneumography_resp_rate_median,pca_acc_ribs_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,impedance_pneumography_bbi_mean,pca_acc_ribs_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,impedance_pneumography_bbi_std,pca_acc_ribs_bbi_std,diff_bbi_std,pct_diff_bbi_std,impedance_pneumography_bbi_cv,pca_acc_ribs_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,impedance_pneumography_bbi_rmssd,pca_acc_ribs_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,impedance_pneumography_peak_amp_mean,pca_acc_ribs_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,impedance_pneumography_peak_amp_std,pca_acc_ribs_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,impedance_pneumography_spi,pca_acc_ribs_spi,diff_spi,pct_diff_spi,impedance_pneumography_spectral_rqi,pca_acc_ribs_spectral_rqi,diff_spectral_rqi,pct_diff_spectral_rqi,impedance_pneumography_dominant_freq_hz,pca_acc_ribs_dominant_freq_hz,diff_dominant_freq_hz,pct_diff_dominant_freq_hz,impedance_pneumography_ac_rqi,pca_acc_ribs_ac_rqi,diff_ac_rqi,pct_diff_ac_rqi,impedance_pneumography_dominant_period_sec,pca_acc_ribs_dominant_period_sec,diff_dominant_period_sec,pct_diff_dominant_period_sec
<<<<<<< HEAD
0,0.0,30.0,0.0005977096475693855,0.18379480134570073,-0.18319709169813134,99.67479512848399,0.004150449023683188,1.4733573761155594,-1.4692069270918762,99.71829991209427,0.004193266497730647,1.4847769148110537,-1.480583648313323,99.71758272533054,0.13187612940742682,16534.218650668732,-16534.086774539326,99.99920240482969,8,8,0,0.0,17.722570512676896,18.34197793251929,-0.6194074198423927,3.376993594263454,2.9192536842489485,3.7388753501858902,-0.8196216659369417,21.92160982034856,12.126111560226352,12.520868113522537,-0.394756553296185,3.152789005658864,22.354694485842025,24.4299674267101,-2.075272940868075,8.494783904619986,17.50291715285881,18.89168765743073,-1.3887705045719194,7.351225204200694,3.4920000000000004,3.424,0.0680000000000005,1.9859813084112297,0.6622973005272742,0.7649463099740119,-0.10264900944673772,13.419112963656898,0.18966131172029613,0.2234072166980175,-0.03374590497772137,15.105109618431065,0.7088845698231365,1.256356637265072,-0.5474720674419356,43.576167085304085,0.0032512012474359684,2.5665210538018077,-2.5632698525543716,99.87332263483208,0.005175772483187445,3.0072808623377885,-3.002105089854601,99.82789194890283,0.7726221381433057,0.4235888566753145,0.34903328146799123,82.39907069498976,0.43524264416264774,0.435744965961418,-0.0005023217987702444,0.11527885300107432,0.1,0.25135841737476955,-0.15135841737476954,60.21617217182652,0.3767576873607216,0.20011896185269523,0.1766387255080264,88.2668608075469,1.248,3.684,-2.436,66.12377850162866
1,30.0,60.0,-5.477269768494952e-05,-0.0028967569936703104,0.002841984295985361,98.10917181508034,0.0007683874791945127,0.19963877235445193,-0.19887038487525743,99.61511109784314,0.0007703371772117613,0.19965978720882446,-0.1988894500316127,99.614175098561,0.004450645249459384,298.98022971204796,-298.9757790667985,99.9985113914543,8,10,-2,20.0,20.06509244797352,23.524741931321234,-3.4596494833477145,14.706429058596726,2.2856805710923935,5.942875708297717,-3.6571951372053237,61.53914900321706,16.741071428571427,18.270401948842874,-1.5293305202714471,8.37053571428572,23.474178403755868,35.714285714285715,-12.240107310529847,34.27230046948357,19.63350785340314,20.491803278688526,-0.8582954252853838,4.188481675392673,3.0297142857142854,2.686222222222222,0.3434920634920635,12.787179729601968,0.34787752947007666,0.5436178759585896,-0.1957403464885129,36.006973858862494,0.1148218929786183,0.2023726374763115,-0.0875507444976932,43.26214531247653,0.538541239522719,0.6383729317569785,-0.09983169223425947,15.638459475325043,0.0010332352222543154,0.2893728142248281,-0.2883395790025738,99.64293977476008,0.000365599439640836,0.05580203039824247,-0.05543643095860163,99.34482771140823,0.8683646740126141,0.7597946954991152,0.10856997851349892,14.289383586993647,0.4123259049201375,0.4338005121014601,-0.021474607181322602,4.950341593026977,0.31158400899168737,0.30943587296980946,0.002148136021877911,0.694210403357951,0.1668064415046385,0.3563065213329443,-0.18950007982830583,53.18456679360938,6.108,3.108,2.9999999999999996,96.52509652509652
2,60.0,90.0,3.1095368399452963e-06,0.000903985409529983,-0.0009008758726900377,99.65601913402983,0.0010337609278605073,0.16300007003935937,-0.16196630911149887,99.36579111431615,0.0010337656045692253,0.1630025767356354,-0.16196881113106618,99.36579799824526,0.00801503493892782,199.27380016842528,-199.26578513348636,99.99597787820971,7,11,-4,36.36363636363637,16.925754250698947,27.257514526835724,-10.331760276136777,37.904264036858144,6.592323538323975,5.479990922023362,1.1123326163006135,20.298074068522546,7.788161993769471,18.939393939393938,-11.151231945624467,58.87850467289719,26.978417266187048,34.96503496503497,-7.986617698847919,22.841726618705046,15.611292141872415,26.57108489590838,-10.959792754035966,41.24706536060046,4.212666666666666,2.296,1.9166666666666665,83.47851335656213,1.8371215407684802,0.4775035078405184,1.359618032927962,284.73466908688374,0.43609468446790955,0.2079719110803652,0.22812277338754436,109.68922303137003,2.7258648535831704,0.5634544248551865,2.162410428727984,383.7773444203132,0.0015674083557257275,0.22347765206029785,-0.22191024370457213,99.298628591595,0.0005812751222342755,0.08858166265480862,-0.08800038753257435,99.34379745783343,0.9169533385487663,0.7198968307411473,0.19705650780761896,27.3728816953876,0.35191615321785813,0.5467867678934338,-0.1948706146755757,35.639233814369675,0.1,0.31173314875134017,-0.21173314875134017,67.92128126233797,0.2770785391470806,0.27067882375336316,0.00639971539371742,2.3643206753213564,9.996,2.68,7.316000000000001,272.9850746268657
3,90.0,120.0,-9.636896836016196e-06,-0.020560545603173674,0.020550908706337658,99.95312917749358,0.0005054526870984151,0.16734616927275278,-0.16684071658565436,99.69795981031714,0.0005055445466777745,0.16860449699152455,-0.16809895244484677,99.70015951193568,0.0019168146650672736,213.20607304323758,-213.20415622857251,99.99910095681717,9,10,-1,10.0,19.777213051804537,21.74371392546657,-1.9665008736620315,9.043997177312178,3.3093587795712898,2.7232678274064916,0.5860909521647981,21.521605266528734,13.020833333333334,15.212981744421906,-2.1921484110885725,14.409722222222218,23.1839258114374,24.4299674267101,-1.2460416152726985,5.100463678516245,20.125199499633354,22.52252252252252,-2.397323022889168,10.644114221627907,3.138,2.814222222222222,0.32377777777777794,11.505053695514853,0.6341829389064324,0.4410940382926116,0.19308890061382078,43.77499667899162,0.20209781354570822,0.15673745833202404,0.04536035521368417,28.940341189912168,0.898688568335629,0.3476463720506802,0.5510421962849488,158.50652864129913,0.0007616262745632206,0.23356560578962643,-0.2328039795150632,99.67391334353859,0.0003317718560657413,0.07363719798237002,-0.07330542612630428,99.54945073256974,0.9574182192268957,0.7574999460830923,0.1999182731438034,26.39185311861049,0.6571629498684618,0.6261828666756897,0.030980083192772123,4.947449833183828,0.3310183692471474,0.3332004186435977,-0.0021820493964502807,0.654875946834951,0.5549829894231031,0.5074728270045518,0.04751016241855133,9.362109632349869,2.936,2.696,0.23999999999999977,8.902077151335302
4,120.0,150.0,0.00011953374713768925,-0.009951756910497602,0.010071290657635292,101.20113210373538,0.0006948116953690278,0.19243867132749115,-0.19174385963212212,99.63894383048061,0.0007050188711845659,0.1926958216669365,-0.19199080279575192,99.63412861519998,0.0037278870654476968,278.48759765921847,-278.483869772153,99.99866138129785,10,9,1,11.11111111111111,21.556331328166205,21.870868784519843,-0.31453745635363717,1.4381571187344244,2.479224297102424,2.3372339408034475,0.14199035629897638,6.075145231297034,16.797312430011196,17.40139211136891,-0.6040796813577138,3.4714445688689954,24.4299674267101,24.875621890547265,-0.44565446383716534,1.7915309446254044,22.62443438914027,21.44635396652795,1.178080422612318,5.493150138485022,2.8244444444444445,2.777,0.0474444444444444,1.7084783739447027,0.3586168215398687,0.3170410068114218,0.0415758147284469,13.11370259216231,0.12696897694173162,0.11416672913626999,0.01280224780546163,11.213641576943841,0.46650187566611123,0.37727443592165105,0.08922743974446018,23.650539567168057,0.0009762795219057411,0.2688735288861819,-0.2678972493642761,99.63690009725016,0.0004580530932398367,0.06328551101870362,-0.06282745792546379,99.2762117491562,0.7934452386868797,0.7421406208547987,0.051304617832080956,6.913058844965017,0.379597996156156,0.5713121050008595,-0.19171410884470347,33.55680847063709,0.31357873230695577,0.3711421453455105,-0.05756341303855472,15.50980231171718,0.3527921332754316,0.4254233976444708,-0.07263126436903922,17.072700930694378,2.796,2.732,0.06399999999999961,2.3426061493411274
=======
0,0.0,30.0,-5.2355497037374315e-05,-0.006437728200732693,0.006385372703695318,99.18673955462401,0.0013027358317911344,0.42255424528790975,-0.4212515094561186,99.69169974120045,0.0013037874617830045,0.42260328270757846,-0.42129949524579546,99.69148666961843,0.01274896309126927,1339.451509164161,-1339.4387602010697,99.99904819524976,6,6,0,0.0,13.605967572036098,13.621835845337358,-0.01586827330126006,0.1164914441887922,1.2380830490953079,1.0930660111589083,0.14501703793639953,13.266997277012319,12.711864406779661,12.54180602006689,0.17005838671277118,1.355932203389829,16.059957173447536,15.479876160990713,0.580081012456823,3.747323340471076,13.077593722755013,13.477088948787062,-0.3994952260320481,2.964254577157797,4.4424,4.4319999999999995,0.010400000000000631,0.2346570397112056,0.3581159588736586,0.3410102637751539,0.01710569509850468,5.016181891165413,0.08061317280606398,0.07694274904674052,0.0036704237593234573,4.77033093409982,0.6043806747406802,0.5798103138096115,0.02457036093106879,4.237655030596231,0.0020842205293551443,0.6629057454836603,-0.6608215249543051,99.68559323198586,0.0001819602147281169,0.052369546963065464,-0.052187586748337345,99.65254575362958,0.9658162220818377,0.9574497111656983,0.00836651091613938,0.8738329354084952,0.8816332102973455,0.8981179591169709,-0.01648474881962536,1.835477027520211,0.23264830464858502,0.23263991915445903,8.385494125989768e-06,0.003604494945006536,0.8036727130078761,0.8073935236721084,-0.0037208106642322436,0.46084227271351097,4.484,4.456,0.02799999999999958,0.6283662477558254
1,30.0,60.0,1.6762044894790244e-05,-0.0074903361355489586,0.007507098180443749,100.22378227881173,0.0011913115214927622,0.4301447476250503,-0.4289534361035575,99.72304403853114,0.0011914294386955759,0.4302099592580833,-0.4290185298193877,99.72305861055605,0.010646280805428412,1388.1045678363128,-1388.0939215555072,99.99923303466812,6,6,0,0.0,13.742500025975417,13.738594001314084,0.003906024661333163,0.028431036399791387,1.627843492372377,1.0691447172216626,0.5586987751507144,52.256609058741766,12.175324675324676,12.31527093596059,-0.13994626063591475,1.1363636363636278,16.025641025641026,15.24390243902439,0.7817385866166351,5.128205128205126,12.95336787564767,13.333333333333334,-0.3799654576856639,2.849740932642479,4.4256,4.3936,0.03200000000000003,0.7283321194464681,0.5035845907094457,0.3390584610358514,0.1645261296735943,48.52441350997509,0.11378899826225726,0.077170989857031,0.03661800840522626,47.45048427273739,0.8948005364325615,0.5460073259581778,0.3487932104743837,63.88068326048432,0.0019739681650182512,0.6442878378639904,-0.6423138696989721,99.69362014164933,0.0003257039542937802,0.07605323372497787,-0.07572752977068409,99.57174213594706,0.9557921998024633,0.9597640664094946,-0.003971866607031305,0.4138378113998551,0.9001363759045999,0.919472445714558,-0.019336069809958056,2.1029526115849224,0.2328144186451857,0.2328122644083811,2.154236804607912e-06,0.0009253107047784724,0.6994923984136185,0.7679084024851174,-0.06841600407149884,8.909396465788092,4.48,4.42,0.0600000000000005,1.3574660633484277
2,60.0,90.0,1.2830190387686372e-05,0.02698592296269546,-0.026973092772307774,99.95245598823719,0.0012610698540501861,0.4586122301634173,-0.4573511603093671,99.72502480939053,0.0012611351198739736,0.4594055046400856,-0.45814436952021165,99.72548541383675,0.011928463429346566,1582.9006327020882,-1582.8887042386589,99.99924641741984,7,6,1,16.666666666666664,15.013262451934018,15.276042593353347,-0.2627801414193289,1.720210845272619,1.1171768607452879,1.4319061431160816,-0.3147292823707937,21.97974244917247,13.477088948787062,12.520868113522537,0.9562208352645243,7.637017070979334,16.181229773462782,16.703786191536746,-0.5225564180739646,3.1283710895361345,15.3538609674921,15.706806282722514,-0.3529453152304143,2.2470851736336375,4.019333333333333,3.9671999999999996,0.052133333333333365,1.3141090273576672,0.3075183824677081,0.42202104212941793,-0.11450265966170986,27.131978795170177,0.07650979825867675,0.10637755649561857,-0.02986775823694182,28.077123803997132,0.5724725320921521,0.7730097023970656,-0.20053717030491347,25.942387227877923,0.001933159514287756,0.6915536966451249,-0.6896205371308372,99.72046140109352,0.00023282215202437897,0.047226107759230904,-0.046993285607206524,99.50700541909708,0.9536292045263555,0.9513640714668812,0.002265133059474289,0.23809318928575313,0.765437986982114,0.814636122478017,-0.04919813549590302,6.039277431775146,0.23992015960047833,0.23996608679567932,-4.592719520099542e-05,0.019139035775542913,0.775351117802376,0.8274515461417977,-0.052100428339421745,6.296492958693857,3.912,3.952,-0.040000000000000036,1.0121457489878551
