segment,start_sec,end_sec,pca_gyr_ribs_resp_rate_mean,pca_gyr_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,pca_gyr_ribs_resp_rate_std,pca_gyr_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,pca_gyr_ribs_resp_rate_min,pca_gyr_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,pca_gyr_ribs_resp_rate_max,pca_gyr_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,pca_gyr_ribs_resp_rate_median,pca_gyr_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,pca_gyr_ribs_bbi_mean,pca_gyr_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,pca_gyr_ribs_bbi_std,pca_gyr_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,pca_gyr_ribs_bbi_cv,pca_gyr_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,pca_gyr_ribs_bbi_rmssd,pca_gyr_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,pca_gyr_ribs_peak_amp_mean,pca_gyr_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,pca_gyr_ribs_peak_amp_std,pca_gyr_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,pca_gyr_ribs_n_breaths,pca_gyr_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,pca_gyr_ribs_signal_mean,pca_gyr_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,pca_gyr_ribs_signal_std,pca_gyr_chest_signal_std,diff_signal_std,pct_diff_signal_std,pca_gyr_ribs_signal_rms,pca_gyr_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,13.123359580052494,41.35410372066357,-28.23074414061108,68.26588319094657,0.0,12.806363931377712,-12.806363931377712,100.0,13.123359580052494,22.865853658536583,-9.74249407848409,42.607174103237085,13.123359580052494,57.69230769230769,-44.5689481122552,77.25284339457568,13.123359580052494,42.429126765904996,-29.305767185852503,69.06992771155002,4.572,1.6320000000000001,2.94,180.1470588235294,0.0,0.6053362701837716,-0.6053362701837716,100.0,0.0,0.37091683222044824,-0.37091683222044824,100.0,0.0,0.638030302310687,-0.638030302310687,100.0,-0.021514994031271988,-0.023001064086798508,0.00148607005552652,6.460875244373811,0.026308771992943368,0.0736473057097456,-0.04733853371680224,64.27734627980833,2,5,-3,60.0,-0.04361461264625886,-0.045323201680851515,0.0017085890345926516,3.769788918761468,0.02834419175164809,0.06835066879536397,-0.040006477043715884,58.531215200676144,0.05201564805265237,0.08201223405917366,-0.029996586006521282,36.57574549777302
1,10.0,20.0,29.34724111640979,18.51851851851852,10.828722597891272,58.475102028612866,4.5128040303170724,0.0,4.5128040303170724,4512804030317.072,24.834437086092716,18.51851851851852,6.315918567574197,34.105960264900666,33.86004514672686,18.51851851851852,15.341526628208342,82.84424379232505,29.34724111640979,18.51851851851852,10.828722597891272,58.475102028612866,2.094,3.24,-1.1460000000000004,35.37037037037038,0.32199999999999995,0.0,0.32199999999999995,321999999999.99994,0.15377268385864373,0.0,0.15377268385864373,153772683858.64374,0.6439999999999999,0.0,0.6439999999999999,643999999999.9999,0.021489358284560098,-0.004249226328762932,0.02573858461332303,605.7240217848374,0.0024513222412353287,0.0020454731626031084,0.0004058490786322203,19.841329920737213,3,2,1,50.0,0.01675134891976685,-0.011812080919716089,0.028563429839482936,241.81539250892192,0.004821163944823332,0.005252739339141991,-0.00043157539431865847,8.216196663380487,0.017431331343722385,0.01292735573189238,0.004503975611830005,34.84065655220186
2,20.0,30.0,20.563364814408082,20.66115702479339,-0.0977922103853075,0.47331429826488824,3.321985504063255,0.0,3.321985504063255,3321985504063.255,17.24137931034483,20.66115702479339,-3.4197777144485606,16.551724137931032,23.88535031847134,20.66115702479339,3.224193293677949,15.605095541401273,20.563364814408082,20.66115702479339,-0.0977922103853075,0.47331429826488824,2.996,2.904,0.09200000000000008,3.168044077134989,0.484,0.0,0.484,484000000000.0,0.16154873164218958,0.0,0.16154873164218958,161548731642.18958,0.968,0.0,0.968,968000000000.0,0.007614300142611093,-0.0017419661773694635,0.009356266319980556,537.109528389892,0.002129856634627109,0.0005668750226772518,0.0015629816119498573,275.71890618291275,3,2,1,50.0,0.005283147671382339,-0.005960912776098787,0.011244060447481125,188.6298436133128,0.0028219060718045665,0.0019369403751155923,0.0008849656966889742,45.68884556584048,0.0059895578464290765,0.006267712432858633,-0.0002781545864295569,4.437896432059084
3,30.0,40.0,17.42986056111551,22.22222222222222,-4.79236166110671,21.565627474980197,1.949984400124798,0.0,1.949984400124798,1949984400124.7979,15.479876160990713,22.22222222222222,-6.742346061231508,30.34055727554179,19.37984496124031,22.22222222222222,-2.8423772609819125,12.790697674418606,17.42986056111551,22.22222222222222,-4.79236166110671,21.565627474980197,3.4859999999999998,2.7,0.7859999999999996,29.111111111111093,0.3899999999999999,0.0,0.3899999999999999,389999999999.9999,0.1118760757314974,0.0,0.1118760757314974,111876075731.49738,0.7799999999999998,0.0,0.7799999999999998,779999999999.9998,0.004080287318708219,-0.0017624393621785625,0.005842726680886781,331.51362856901636,0.0004821925554660337,0.00022004433879696398,0.0002621482166690697,119.13426998499388,3,2,1,50.0,0.002559323506161542,-0.004174819537710819,0.006734143043872361,161.30381165085993,0.0008647742947012323,0.0011653000620464704,-0.0003005257673452381,25.78956074347601,0.00270147578000748,0.004334402197195997,-0.0016329264171885166,37.6736247098824
4,40.0,50.0,83.92107552896347,19.206145966709347,64.71492956225413,336.9490665874698,24.533852534297363,0.0,24.533852534297363,24533852534297.363,38.65979381443299,19.206145966709347,19.45364784772364,101.28865979381443,114.50381679389312,19.206145966709347,95.29767082718378,496.1832061068702,92.02453987730061,19.206145966709347,72.81839391059127,379.14110429447857,0.8071111111111111,3.124,-2.316888888888889,74.1641769810784,0.32858364213171537,0.0,0.32858364213171537,328583642131.71533,0.40711079008610107,0.0,0.40711079008610107,407110790086.1011,0.37121422386541175,0.0,0.37121422386541175,371214223865.41174,0.0035985648150413715,0.00021587771954864317,0.0033826870954927284,1566.9459092699542,0.0011602893094389678,0.0016143181206346494,-0.0004540288111956816,28.125113965590977,13,2,11,550.0,0.0031805367187471077,-0.0018199297294976124,0.00500046644824472,274.7615123373521,0.0009831735958618904,0.0016489056156191652,-0.0006657320197572749,40.37417384301236,0.0033290305103586266,0.0024558163509370307,0.0008732141594215959,35.5569812493681
5,50.0,60.0,55.99657320560881,23.944667894598354,32.05190531101046,133.85821616778827,15.526836543150285,3.082359132428671,12.444477410721614,403.73223482613093,34.01360544217687,20.862308762169683,13.151296680007185,63.03854875283443,78.94736842105263,27.027027027027025,51.920341394025606,192.10526315789477,57.915057915057915,23.944667894598354,33.97039002045956,141.87037452343574,1.173142857142857,2.548,-1.374857142857143,53.95828661134784,0.3760712047211381,0.32799999999999985,0.04807120472113824,14.655855097908008,0.3205672714378917,0.12872841444270008,0.19183885699519163,149.02603890967941,0.6606461483527573,0.6559999999999997,0.004646148352757562,0.7082543220667019,0.002359180242517223,0.0020372315388951135,0.00032194870362210965,15.803245604410659,0.0005748583944590821,0.0006036265552344991,-2.8768160775417047e-05,4.765887207238768,8,3,5,166.66666666666669,0.0019046443173387345,0.0004149125562728903,0.0014897317610658442,359.047162719761,0.000558644407433678,0.0010524897496819252,-0.0004938453422482472,46.921629630834225,0.0019848812431799688,0.0011313209546978374,0.0008535602884821314,75.44811089529473
6,60.0,70.0,75.4373416107035,65.94739888905977,9.489942721643729,14.390169864937686,19.81762594816815,13.213639068875326,6.603986879292824,49.97856264175165,37.688442211055275,36.496350364963504,1.1920918460917704,3.266331658291451,110.29411764705881,82.41758241758242,27.87653522947639,33.82352941176468,71.63209482562115,66.08057755006986,5.551517275551291,8.401133103512686,0.8615999999999999,0.9624999999999999,-0.10089999999999999,10.483116883116883,0.2747053694415164,0.2714475087378773,0.0032578607036390927,1.200180734310971,0.3188316729822614,0.2820233857016907,0.03680828728057067,13.051501806841124,0.3642489990835024,0.4783447650865579,-0.11409576600305549,23.852203333386438,0.0032878554195932995,0.002750228886110371,0.0005376265334829287,19.548428721628692,0.0002705096448725405,0.0012445598662314352,-0.0009740502213588947,78.26463377035836,11,9,2,22.22222222222222,0.002831521685659477,0.0022151299071516695,0.0006163917785078077,27.826439276439395,0.0005177759094097325,0.001182788155814438,-0.0006650122464047054,56.22412121186612,0.002878473023796638,0.0025111328772274644,0.00036734014656917375,14.628463109238293
7,70.0,80.0,82.20851935623799,73.45185009145031,8.756669264787675,11.92164561394341,19.913395394538085,22.217201263760913,-2.3038058692228276,10.369469321865616,57.915057915057915,45.31722054380664,12.597837371251273,27.799227799227815,114.50381679389312,115.38461538461539,-0.8807985907222644,0.7633587786259625,76.53061224489795,68.4931506849315,8.037461559966445,11.73469387755101,0.7702857142857144,0.8884444444444445,-0.11815873015873013,13.29950689630529,0.17012072544075807,0.2475511669269882,-0.07743044148623013,31.27856048808979,0.2208540575084025,0.2786343799828531,-0.05778032247445061,20.73696809345866,0.24062141772225237,0.29752983043721853,-0.05690841271496616,19.126960355988352,0.004468888773328467,0.004901366929734744,-0.00043247815640627685,8.823623340309315,0.0010627618878625974,0.001216217868577292,-0.0001534559807146946,12.617474605450784,17,12,5,41.66666666666667,0.0038983214589483977,0.004030009946302615,-0.0001316884873542169,3.2676963359615585,0.0009067801201192336,0.0013621753369661798,-0.00045539521684694615,33.43146836450562,0.0040023943313398066,0.004253998332855447,-0.0002516040015156408,5.914529857061663
8,80.0,90.0,89.64472114098595,18.050541516245488,71.59417962474046,396.63175512106216,21.094896288997262,0.0,21.094896288997262,21094896288997.26,55.762081784386616,18.050541516245488,37.71154026814113,208.92193308550185,113.63636363636363,18.050541516245488,95.58582212011814,529.5454545454545,100.0,18.050541516245488,81.94945848375451,454.0,0.7160000000000001,3.324,-2.6079999999999997,78.45968712394705,0.20164126561792856,0.0,0.20164126561792856,201641265617.92856,0.2816218793546488,0.0,0.2816218793546488,281621879354.6488,0.29956635325082825,0.0,0.29956635325082825,299566353250.82825,0.002888052948693631,0.006833758045881606,-0.003945705097187975,57.73843719219576,0.0006594766025858456,0.0002743386805575472,0.00038513792202829835,140.38775765982774,18,2,16,800.0,0.0027216482527640164,0.005265988771702849,-0.002544340518938833,48.316482036783306,0.000694833150983605,0.0009417426649466513,-0.0002469095139630463,26.218363376053844,0.0028089432745214402,0.005349534277923762,-0.0025405910034023214,47.491816509835786
9,90.0,100.0,64.04594626760795,74.13064682214157,-10.084700554533626,13.60395597077334,7.682408367641542,18.683300285261485,-11.000891917619942,58.880881587596754,49.504950495049506,51.90311418685121,-2.398163691801706,4.62046204620462,76.92307692307692,115.38461538461539,-38.46153846153847,33.333333333333336,64.93506493506493,68.05555555555556,-3.120490620490628,4.585210707659698,0.9514285714285713,0.8528,0.09862857142857129,11.565264004288379,0.12337035664193884,0.17719413082830932,-0.05382377418637048,30.375596491129013,0.12966854301705286,0.20777923408572857,-0.07811069106867571,37.59311723925581,0.1863974248749161,0.26687658404421905,-0.08047915916930296,30.155946224179893,0.0041168544194146745,0.006017382855910668,-0.0019005284364959933,31.583970673050487,0.00021030617022358173,0.0005340539975892529,-0.0003237478273656712,60.6208040436146,8,12,-4,33.33333333333333,0.0035949868986626127,0.0055801316335287515,-0.0019851447348661387,35.57523128913676,0.000321160275904838,0.0005323424094661807,-0.00021118213356134268,39.670356861688084,0.0036093039113345815,0.005605466750273746,-0.0019961628389391643,35.611001329045095
