peak_method,resp_rate_mean,resp_rate_std,resp_rate_min,resp_rate_max,resp_rate_median,bbi_mean,bbi_std,bbi_cv,bbi_rmssd,peak_amp_mean,peak_amp_std,n_breaths,signal_mean,signal_std,signal_rms,segment,start_sec,end_sec
ampd,73.34550681787812,21.44419409035689,40.32258064516129,104.16666666666667,75.42449969678593,0.9025,0.2985360112281264,0.33078782407548635,0.47684438911302235,3.8255808040848294,4.670087651110376,11,0.1722915077409579,4.7013431929423115,4.704499142466141,0,0.0,10.0
ampd,15.889830508474578,0.0,15.889830508474578,15.889830508474578,15.889830508474578,3.776,0.0,0.0,0.0,0.9522201625478476,0.293667686870417,2,0.05778526918623943,0.36000091826296093,0.36460910367831084,1,10.0,20.0
ampd,62.19722174314214,15.329578636711615,43.988269794721404,94.33962264150944,58.301886792452834,1.0185,0.225201576371037,0.22111102245560824,0.25168233946783,0.2110967218955891,0.2421417010848974,9,0.007932400195131317,0.23051570243231,0.23065214510322035,2,20.0,30.0
ampd,28.497891429172892,4.7888142773451206,21.770682148040642,32.53796095444685,31.185031185031185,2.1746666666666665,0.4123601446416576,0.1896199316255323,0.6473577063726049,0.3008663049611977,0.11659935580901795,4,-0.02245052702759783,0.16983975211766666,0.1713171549005159,3,30.0,40.0
ampd,19.42256118002011,0.31428092524304496,19.108280254777068,19.736842105263158,19.42256118002011,3.09,0.050000000000000044,0.0161812297734628,0.10000000000000009,0.37890224702119574,0.09605705321894005,3,-0.0014382041350715013,0.18982894912731013,0.18983439719374628,4,40.0,50.0
ampd,64.34742089211345,18.20875767161888,41.66666666666667,101.35135135135135,60.67723624975533,1.0035,0.2607407716487776,0.25983136188218997,0.40817923234075215,0.18884024706795077,0.11726414880103814,9,-0.0027489171920037784,0.15353194950232854,0.15355655656374317,5,50.0,60.0
ampd,67.97593942147553,15.230814533313682,31.645569620253166,89.28571428571428,70.4225352112676,0.9560000000000001,0.3437828772156441,0.3596055201000461,0.5597570901739432,0.12055693745187404,0.09595566124506767,10,-0.009021018673823995,0.14042163120729428,0.14071109866968864,6,60.0,70.0
ampd,65.82205874044354,17.353621511236696,31.25,94.9367088607595,66.96962449174839,1.004,0.37375392974522686,0.37226487026417016,0.36734102489570714,0.1961497066584947,0.08707717374208837,9,0.023409644615566178,0.1751638191990175,0.17672117874610618,7,70.0,80.0
ampd,56.87110194239795,12.378805672728674,36.31961259079903,72.46376811594203,62.761506276150634,1.1177142857142857,0.29139943831974213,0.2607101314210372,0.5241704557361724,0.14238873623069911,0.07811874038500723,8,-0.03151834952951749,0.1423088445672774,0.145757379227051,8,80.0,90.0
ampd,69.14149838100477,14.539165825956623,45.731707317073166,104.89510489510491,66.66666666666667,0.9031111111111111,0.1785549678480268,0.19771096341439975,0.298328677803526,0.12513758799219216,0.03176961558269322,10,0.0027347705488012133,0.0951178449584485,0.0951571510686088,9,90.0,100.0
ampd,67.17559404995022,13.297453925572672,33.40757238307349,81.08108108108108,72.11538461538461,0.9524444444444443,0.3068315176883131,0.3221516167982756,0.3854426027309384,0.1458038395931344,0.06181425822330635,10,-0.007586308076515781,0.12834455869638117,0.12856857243199302,10,100.0,110.0
ampd,63.83505681612889,15.270866224337468,40.21447721179625,95.54140127388536,63.55932203389831,0.9937142857142857,0.23891045201420688,0.24042167396484304,0.4342625933694957,0.12143350676100757,0.08868369689953144,9,0.0018883067480226473,0.13008041676873472,0.13009412180841357,11,110.0,120.0
ampd,76.54238725533983,11.961525839077833,58.8235294117647,94.33962264150944,74.07813871817383,0.8036,0.12763009049593282,0.15882291002480442,0.20218363490209146,0.12600262038912355,0.09106279773813612,11,-0.008156586672040124,0.14060289100385379,0.14083928026221978,12,120.0,130.0
ampd,77.13965160207455,13.791354845709012,52.631578947368425,96.15384615384616,77.42038470747865,0.8055999999999999,0.1578272473307445,0.19591267047013966,0.24128544644604377,0.18092823199030184,0.1578515521827841,11,-0.018618579054639862,0.1960267154177395,0.1969089247430936,13,130.0,140.0
ampd,72.26299275985417,19.450541388048844,42.13483146067416,109.4890510948905,70.4225352112676,0.896,0.2573160615965423,0.28718310446042666,0.40482341829494,0.1886916702066384,0.11798399176245031,10,0.00637070644613782,0.16950953503911761,0.16962920848073512,14,140.0,150.0
