segment,start_sec,end_sec,pca_gyr_ribs_resp_rate_mean,pca_acc_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,pca_gyr_ribs_resp_rate_std,pca_acc_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,pca_gyr_ribs_resp_rate_min,pca_acc_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,pca_gyr_ribs_resp_rate_max,pca_acc_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,pca_gyr_ribs_resp_rate_median,pca_acc_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,pca_gyr_ribs_bbi_mean,pca_acc_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,pca_gyr_ribs_bbi_std,pca_acc_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,pca_gyr_ribs_bbi_cv,pca_acc_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,pca_gyr_ribs_bbi_rmssd,pca_acc_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,pca_gyr_ribs_peak_amp_mean,pca_acc_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,pca_gyr_ribs_peak_amp_std,pca_acc_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,pca_gyr_ribs_n_breaths,pca_acc_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,pca_gyr_ribs_signal_mean,pca_acc_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,pca_gyr_ribs_signal_std,pca_acc_chest_signal_std,diff_signal_std,pct_diff_signal_std,pca_gyr_ribs_signal_rms,pca_acc_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,13.100436681222707,15.801735218508998,-2.7012985372862914,17.09494875045234,0.0,2.9482647814910026,-2.9482647814910026,100.0,13.100436681222707,12.853470437017995,0.24696624420471203,1.9213973799126598,13.100436681222707,18.75,-5.649563318777293,30.13100436681223,13.100436681222707,15.801735218508998,-2.7012985372862914,17.09494875045234,4.58,3.934,0.6459999999999999,16.420945602440263,0.0,0.734,-0.734,100.0,0.0,0.18657854600915097,-0.18657854600915097,100.0,0.0,1.468,-1.468,100.0,0.00607660123885976,0.4173478020551465,-0.4112712008162867,98.54399586892832,0.0001335740938957922,0.10659732901817705,-0.10646375492428126,99.8746928322444,2,3,-1,33.33333333333333,-2.2269951054404968e-05,0.011693999617043352,-0.011716269568097758,100.19043912932875,0.003975766945462732,0.3092603956904605,-0.30528462874499773,98.71442738841927,0.00397582931667772,0.30948140811632546,-0.30550557879964774,98.71532531117884
1,10.0,20.0,13.349422316813621,13.72369624885636,-0.3742739320427386,2.7272093848180883,0.2375342049255078,0.0,0.2375342049255078,237534204925.50778,13.111888111888113,13.72369624885636,-0.6118081369682464,4.458041958041956,13.586956521739129,13.72369624885636,-0.1367397271172308,0.9963768115942218,13.349422316813621,13.72369624885636,-0.3742739320427386,2.7272093848180883,4.496,4.372,0.12400000000000055,2.8362305580969935,0.07999999999999963,0.0,0.07999999999999963,79999999999.99962,0.017793594306049737,0.0,0.017793594306049737,17793594306.049736,0.15999999999999925,0.0,0.15999999999999925,159999999999.99924,-0.0002585213441344827,0.5246019529437955,-0.52486047428793,100.0492795237768,0.006475814714585129,0.06497119387139796,-0.058495379156812834,90.03279095132042,4,2,2,100.0,-4.028229429691379e-05,-0.04716971105062059,0.04712942875632367,99.91460135455634,0.004082170326637676,0.3432375169375425,-0.33915534661090485,98.81068644154641,0.004082369071864396,0.3464635257484528,-0.3423811566765884,98.82170307450247
2,20.0,30.0,13.895348737426179,57.274299474095436,-43.37895073666925,75.738945975741,0.019308034373449523,26.488065278996363,-26.468757244622914,99.92710666418978,13.876040703052729,30.800821355236142,-16.924780652183415,54.94912118408881,13.914656771799628,113.63636363636363,-99.721706864564,87.75510204081633,13.895348737426179,52.94710891976692,-39.05176018234074,73.75617097718705,4.318,1.2690000000000001,3.0489999999999995,240.26792750196998,0.005999999999999784,0.5174195589654493,-0.5114195589654495,98.84039945996699,0.0013895321908290376,0.4077380291295897,-0.40634849693876063,99.65920956801716,0.011999999999999567,0.8507623472090026,-0.838762347209003,98.58950034173861,-0.0008003319464234152,-0.013012764085680865,0.01221243213925745,93.84963916079833,0.005839172179955561,0.4056327125636169,-0.3997935403836613,98.5604779892993,4,14,-10,71.42857142857143,-5.200512120766394e-05,0.017542319564196766,-0.01759432468540443,100.29645521515754,0.004082334327801339,0.31655769774332077,-0.3124753634155194,98.71039802320286,0.004082665562665773,0.31704338658335707,-0.3129607210206913,98.71226912926242
3,30.0,40.0,13.748854262144821,54.97949280410258,-41.23063854195776,74.99275900719317,0.0,20.537035262074344,-20.537035262074344,100.0,13.748854262144821,26.041666666666668,-12.292812404521847,47.20439963336389,13.748854262144821,84.26966292134831,-70.5208086592035,83.68469294225481,13.748854262144821,62.761506276150634,-49.01265201400581,78.09349220898258,4.364,1.2968,3.0671999999999997,236.52066625539788,0.0,0.5780319714341067,-0.5780319714341067,100.0,0.0,0.4457371772317294,-0.4457371772317294,100.0,0.0,0.8854151568614577,-0.8854151568614577,100.0,0.004888278028598987,0.18553539562377416,-0.18064711759517518,97.36531241806208,0.0010963749267786154,0.2703246461266286,-0.26922827119985,99.59442287542475,2,12,-10,83.33333333333334,-0.00015159855288650483,0.053361340809766386,-0.05351293936265289,100.28409809533639,0.0034277184866992596,0.2740896010201975,-0.27066188253349827,98.74941680605873,0.0034310692422766906,0.2792356389869085,-0.2758045697446318,98.77126384915445
4,40.0,50.0,12.658227848101266,32.785456013802474,-20.127228165701208,61.39072202389916,0.0,19.66209643374998,-19.66209643374998,100.0,12.658227848101266,13.123359580052494,-0.46513173195122803,3.5443037974683573,12.658227848101266,52.447552447552454,-39.78932459945119,75.8649789029536,12.658227848101266,32.785456013802474,-20.127228165701208,61.39072202389916,4.74,2.858,1.8820000000000001,65.85024492652205,0.0,1.7140000000000002,-1.7140000000000002,100.0,0.0,0.5997200839748076,-0.5997200839748076,100.0,0.0,3.428,-3.428,100.0,0.006677696730550934,0.43621726862345866,-0.42953957189290776,98.4691810226534,0.00038551282471905576,0.1328116543369426,-0.13242614151222354,99.70972967196012,2,3,-1,33.33333333333333,-0.00021580330964207043,-0.014999537092304139,0.014783733782662067,98.56126686901028,0.004402075683325079,0.3473838382840358,-0.3429817626007107,98.73279203054757,0.00440736218050825,0.34770751676363365,-0.3433001545831254,98.732451279302
5,50.0,60.0,14.095379840362707,13.25088339222615,0.8444964481365567,6.3731331952705474,0.24496432789733102,0.0,0.24496432789733102,244964327897.331,13.850415512465375,13.25088339222615,0.5995321202392248,4.524469067405349,14.340344168260037,13.25088339222615,1.0894607760338868,8.22179732313573,14.095379840362707,13.25088339222615,0.8444964481365567,6.3731331952705474,4.258,4.528,-0.2699999999999996,5.962897526501758,0.07399999999999984,0.0,0.07399999999999984,73999999999.99985,0.017379051197745382,0.0,0.017379051197745382,17379051197.745384,0.1479999999999997,0.0,0.1479999999999997,147999999999.9997,-0.00042928909095405463,0.5688141487025132,-0.5692434377934673,100.07547088832676,0.006385471599868655,0.05615830942815225,-0.049772837828283595,88.62951597921925,4,2,2,100.0,-0.00016862665028356734,-0.04877014553248015,0.04860151888219658,99.6542420605014,0.004043055646880359,0.3577585848372685,-0.3537155291903882,98.86989276617376,0.004046570635854145,0.3610674897024438,-0.35702091906658967,98.87927582757759
6,60.0,70.0,14.838885806627744,44.498360065606995,-29.65947425897925,66.65296027819957,0.1761292083872723,26.50062425591309,-26.324495047525815,99.33537713418968,14.66275659824047,28.90173410404624,-14.23897750580577,49.26686217008797,15.015015015015015,97.40259740259741,-82.3875823875824,84.58458458458459,14.838885806627744,32.53796095444685,-17.69907514781911,54.39515762096406,4.044,1.6632000000000002,2.3807999999999994,143.1457431457431,0.04799999999999982,0.5329669408134053,-0.4849669408134055,90.99381287575868,0.011869436201780372,0.3204466936107535,-0.3085772574089731,96.2959717049856,0.09599999999999964,0.6405716197272558,-0.5445716197272562,85.01338538212562,-0.000776944434049466,0.24077193988697695,-0.24154888432102642,100.32268894556991,0.005416424054626471,0.2978781323073216,-0.29246170825269513,98.1816644234098,4,6,-2,33.33333333333333,-0.0005037160681460005,0.05901765806662513,-0.05952137413477113,100.85350060413674,0.0035899039078392627,0.302237910402519,-0.29864800649467976,98.8122258048111,0.0036250710261770147,0.3079461616064571,-0.30432109058028006,98.8228231171104
7,70.0,80.0,14.955134596211368,14.66275659824047,0.29237799797089714,1.9940179461615182,0.0,0.0,0.0,0.0,14.955134596211368,14.66275659824047,0.29237799797089714,1.9940179461615182,14.955134596211368,14.66275659824047,0.29237799797089714,1.9940179461615182,14.955134596211368,14.66275659824047,0.29237799797089714,1.9940179461615182,4.012,4.092,-0.08000000000000007,1.9550342130987313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005740204899746483,0.5641203252345866,-0.5583801203348401,98.98245026052564,0.0004357415303982261,0.04179228527540296,-0.041356543745004734,98.95736371551166,2,2,0,0.0,-0.00029165685513290535,-0.038587729500258884,0.03829607264512598,99.24417202330874,0.0037352626141768,0.35048807105402685,-0.34675280843985007,98.93426826112977,0.003746631889846255,0.35260587178769115,-0.3488592398978449,98.93744483866617
8,80.0,90.0,15.680161837184103,15.368916438053926,0.31124539913017735,2.025161633122839,0.3113093781677101,1.428395991957271,-1.117086613789561,78.20566706147531,15.368852459016393,13.940520446096654,1.4283320129197392,10.245901639344263,15.991471215351813,16.797312430011196,-0.8058412146593827,4.797441364605525,15.680161837184103,15.368916438053926,0.31124539913017735,2.025161633122839,3.828,3.938,-0.11000000000000032,2.793296089385483,0.07600000000000007,0.3660000000000001,-0.29000000000000004,79.23497267759562,0.01985370950888194,0.09294057897409855,-0.07308686946521661,78.63827649017021,0.15200000000000014,0.7320000000000002,-0.5800000000000001,79.23497267759562,0.0063775934666594584,0.550390456030146,-0.5440128625634866,98.84126016416424,0.00037735041891250975,0.034305318856249475,-0.03392796843733697,98.90002357799462,3,3,0,0.0,0.0005561926988885068,0.04480210707274002,-0.044245914373851516,98.75855682862084,0.003992659326970551,0.39531781251996956,-0.391325153192999,98.99001279463751,0.004031213070471693,0.39784846574258786,-0.39381725267211615,98.98674660892624
9,90.0,100.0,12.964563526361278,63.08320285473554,-50.11863932837426,79.44846973573084,0.0,23.154900215841316,-23.154900215841316,100.0,12.964563526361278,32.822757111597376,-19.858193585236098,60.50129645635264,12.964563526361278,119.04761904761905,-106.08305552125778,89.10976663785652,12.964563526361278,64.37768240343347,-51.41311887707219,79.86171132238549,4.628,1.081846153846154,3.546153846153846,327.7872582480091,0.0,0.3852818840505154,-0.3852818840505154,100.0,0.0,0.3561337096598905,-0.3561337096598905,100.0,0.0,0.5555597777617335,-0.5555597777617335,100.0,0.00439078683844429,-0.02270921891430685,0.02710000575275114,119.33482104784365,1.541152915149422e-05,0.31475232169582334,-0.3147369101666718,99.99510360112089,2,16,-14,87.5,-0.0008347313766452803,-0.03241169735075573,0.03157696597411045,97.42459838615697,0.003441572260884882,0.2716239252444584,-0.2681823529835735,98.73296424172227,0.00354135512170813,0.2735508634429146,-0.2700095083212065,98.70541255942804
