peak_method,resp_rate_mean,resp_rate_std,resp_rate_min,resp_rate_max,resp_rate_median,bbi_mean,bbi_std,bbi_cv,bbi_rmssd,peak_amp_mean,peak_amp_std,n_breaths,signal_mean,signal_std,signal_rms,segment,start_sec,end_sec
ampd,41.91927490632118,24.56022039331733,14.272121788772598,80.21390374331551,36.59553704659832,2.098,1.305782524006199,0.6223939580582456,2.070223176374953,0.42202640700853955,0.2671231905212463,5,0.05526061249724781,0.3483094742845505,0.3526658831953424,0,0.0,10.0
ampd,17.81472684085511,0.0,17.81472684085511,17.81472684085511,17.81472684085511,3.368,0.0,0.0,0.0,0.5604261877687797,0.00017325027679232496,2,-0.05141815376997845,0.37170595233385556,0.3752454417278531,1,10.0,20.0
ampd,17.857142857142858,0.0,17.857142857142858,17.857142857142858,17.857142857142858,3.36,0.0,0.0,0.0,0.5113436037170627,0.019159557524194404,2,-0.007261227306169434,0.3555266035672858,0.35560074699876804,2,20.0,30.0
simple_threshold,15.082026374750011,1.3833962377637095,13.698630136986301,16.46542261251372,15.082026374750011,4.0120000000000005,0.3679999999999999,0.09172482552342967,0.7359999999999998,0.39476968723282724,0.024781844396953488,3,0.01094730436900864,0.25575934002760153,0.2559935223483243,3,30.0,40.0
msptd,32.08120923603518,7.726052112361932,20.463847203274216,40.98360655737705,33.692484546582094,2.0006666666666666,0.5491686646397647,0.2744928347083129,1.02646422246467,-0.01150374025407451,0.3024399809085267,8,0.013246141243762161,0.2564870899368679,0.25682890717777984,4,40.0,50.0
ampd,16.39344262295082,0.0,16.39344262295082,16.39344262295082,16.39344262295082,3.66,0.0,0.0,0.0,0.5139499446330246,0.010614085626394654,2,-0.020840017600626464,0.2948886182893301,0.295624091592997,5,50.0,60.0
ampd,21.42857142857143,0.0,21.42857142857143,21.42857142857143,21.42857142857143,2.8,0.0,0.0,0.0,0.40694051756173,0.06386088726857395,2,0.03764581129416506,0.29100273230970797,0.29342766965593314,6,60.0,70.0
ampd,23.25833941614011,6.095868020259106,17.162471395881006,29.354207436399218,23.25833941614011,2.77,0.726,0.2620938628158845,1.452,0.3751962922254724,0.02765921037422441,3,-0.030814919829474353,0.2963461127977178,0.29794391729722325,7,70.0,80.0
ampd,13.562386980108498,0.0,13.562386980108498,13.562386980108498,13.562386980108498,4.424,0.0,0.0,0.0,0.3836396157542452,0.025562876672566875,2,-0.007267152818519901,0.20284628530136742,0.2029764197404503,8,80.0,90.0
ampd,16.331731554269986,2.073176421190138,14.258555133079847,18.404907975460123,16.331731554269986,3.734,0.4740000000000002,0.12694161756829142,0.9480000000000004,0.36784484670360307,0.021706507599143377,3,0.03653021825341331,0.23422365283198382,0.23705521802229895,9,90.0,100.0
ampd,15.495867768595042,0.0,15.495867768595042,15.495867768595042,15.495867768595042,3.872,0.0,0.0,0.0,0.3852327800917635,0.02920563632244244,2,-0.03549431381874014,0.24535902593868472,0.24791308542116805,10,100.0,110.0
ampd,57.73753223532159,27.19421901248993,18.159806295399516,85.71428571428572,66.33263109947048,1.4806666666666668,0.9868533607155399,0.6664925894071633,1.8584621599591422,0.30997103046178215,0.14394662876197056,7,0.041816291481813615,0.25050947905061327,0.25397559199163533,11,110.0,120.0
