segment,start_sec,end_sec,rms_acc_ribs_resp_rate_mean,rms_acc_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,rms_acc_ribs_resp_rate_std,rms_acc_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,rms_acc_ribs_resp_rate_min,rms_acc_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,rms_acc_ribs_resp_rate_max,rms_acc_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,rms_acc_ribs_resp_rate_median,rms_acc_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,rms_acc_ribs_bbi_mean,rms_acc_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,rms_acc_ribs_bbi_std,rms_acc_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,rms_acc_ribs_bbi_cv,rms_acc_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,rms_acc_ribs_bbi_rmssd,rms_acc_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,rms_acc_ribs_peak_amp_mean,rms_acc_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,rms_acc_ribs_peak_amp_std,rms_acc_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,rms_acc_ribs_n_breaths,rms_acc_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,rms_acc_ribs_signal_mean,rms_acc_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,rms_acc_ribs_signal_std,rms_acc_chest_signal_std,diff_signal_std,pct_diff_signal_std,rms_acc_ribs_signal_rms,rms_acc_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,37.34826396521646,50.8557577387052,-13.50749377348874,26.560402153261958,14.43591271987667,12.885610688106059,1.5503020317706113,12.03126548904355,21.008403361344538,37.78337531486146,-16.77497195351692,44.397759103641455,55.147058823529406,68.18181818181819,-13.034759358288781,19.117647058823543,36.61879683799596,46.920947932883585,-10.302151094887627,21.95640017679092,1.889,1.2553333333333334,0.6336666666666666,50.47796070100902,0.7408555864674301,0.3002347229900114,0.4406208634774187,146.758795614749,0.39219459315374805,0.2391673311125954,0.15302726204115266,63.983346441705436,1.5592357102118972,0.6173310295133398,0.9419046806985574,152.57692156525624,0.6988833989454932,0.5526928224527276,0.14619057649276568,26.450601591676996,0.13724241790748037,0.22080800132453585,-0.08356558341705547,37.845360184314025,5,7,-2,28.57142857142857,0.40364597966121374,0.339751439564434,0.06389454009677975,18.806260299792527,0.18480370734756849,0.18514005936506112,-0.00033635201749263044,0.18167435975020838,0.44393973368698003,0.386921028464212,0.05701870522276803,14.73652270828747
1,10.0,20.0,13.123359580052494,15.060240963855422,-1.9368813838029286,12.860892388451445,0.0,0.0,0.0,0.0,13.123359580052494,15.060240963855422,-1.9368813838029286,12.860892388451445,13.123359580052494,15.060240963855422,-1.9368813838029286,12.860892388451445,13.123359580052494,15.060240963855422,-1.9368813838029286,12.860892388451445,4.572,3.984,0.5880000000000001,14.759036144578316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6494919873269296,0.5182263984182125,0.1312655889087171,25.32977658208465,0.1738403155568501,0.003987067095100272,0.16985324846174982,4260.105095058054,2,2,0,0.0,0.29789120208225783,0.2506820034660374,0.047209198616220416,18.832304658286468,0.16582272657225547,0.13423693991206356,0.031585786660191906,23.529876858697197,0.34093451706430306,0.28436072671643914,0.05657379034786392,19.895078691467326
2,20.0,30.0,17.132861849064586,32.432267512814256,-15.29940566374967,47.17340734102156,3.1923414029679327,11.685379546009276,-8.493038143041343,72.68089247423578,13.940520446096654,20.74688796680498,-6.806367520708326,32.80669144981413,20.32520325203252,44.11764705882353,-23.79244380679101,53.929539295392956,17.132861849064586,32.432267512814256,-15.29940566374967,47.17340734102156,3.628,2.126,1.5020000000000002,70.64910630291628,0.6760000000000002,0.7659999999999999,-0.08999999999999975,11.749347258485608,0.1863285556780596,0.36030103480714953,-0.17397247912908995,48.28531209248633,1.3520000000000003,1.5319999999999998,-0.1799999999999995,11.749347258485608,0.4797147589372462,0.45970627990320295,0.020008479034043236,4.352448489121419,0.021696119979720402,0.037981685314028964,-0.016285565334308562,42.87741631173302,3,3,0,0.0,0.2800182911720068,0.2558741356682958,0.024144155503710962,9.435949999655458,0.1312804519555053,0.11948228450767502,0.011798167447830285,9.874407320252084,0.30926493570486213,0.2823961572245105,0.02686877848035163,9.514569441888836
3,30.0,40.0,13.489208633093524,13.774104683195592,-0.2848960501020681,2.0683453237410143,0.0,0.0,0.0,0.0,13.489208633093524,13.774104683195592,-0.2848960501020681,2.0683453237410143,13.489208633093524,13.774104683195592,-0.2848960501020681,2.0683453237410143,13.489208633093524,13.774104683195592,-0.2848960501020681,2.0683453237410143,4.448,4.356,0.09200000000000053,2.11202938475667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5487294777248602,0.4694395382361679,0.07928993948869234,16.890341147362577,0.07703087248694249,0.02098132707764916,0.05604954540929333,267.1401346628898,2,2,0,0.0,0.2656569020713646,0.21364299533810913,0.05201390673325548,24.346179312333092,0.14326025417655108,0.1289260977702782,0.014334156406272891,11.118118561079568,0.30182294486152744,0.2495300946645728,0.05229285019695465,20.956530420608605
4,40.0,50.0,31.38108111668944,24.79768398461951,6.58339713206993,26.548435475479117,8.888509344233439,10.579674505946526,-1.6911651617130872,15.985039622556748,21.27659574468085,14.218009478672986,7.058586266007865,49.64539007092198,40.65040650406504,35.37735849056604,5.273048013499,14.905149051490508,31.798661109005938,24.79768398461951,7.000977124386427,28.232383027095214,2.081,2.9579999999999997,-0.8769999999999998,29.648411088573358,0.5985808216105825,1.2619999999999998,-0.6634191783894173,52.56887308949425,0.2876409522395879,0.42663962136578765,-0.13899866912619974,32.57987823100625,1.2317770361013662,2.524,-1.2922229638986338,51.1974232923389,0.5579991106157289,0.5281549663897502,0.029844144225978697,5.650641596723206,0.07426417544145618,0.0433510916198208,0.03091308382163538,71.30866298070664,5,3,2,66.66666666666666,0.32970615675102455,0.27687300616727073,0.05283315058375382,19.082087963401918,0.14054676064874896,0.1454604040767705,-0.00491364342802153,3.377993797836714,0.3584125300940076,0.3127577188468397,0.04565481124716786,14.597501035466188
5,50.0,60.0,42.41674858687639,36.91126588458375,5.505482702292639,14.915453508171453,7.896332641257306,3.0389872757367815,4.8573453655205245,159.83434364143216,31.25,34.72222222222222,-3.4722222222222214,9.999999999999998,48.07692307692308,41.20879120879121,6.868131868131869,16.666666666666664,47.92332268370607,34.80278422273782,13.120538460968248,37.6996805111821,1.4733333333333334,1.636,-0.16266666666666652,9.942950285248566,0.31584525043480105,0.12728969583853467,0.18855555459626638,148.13104340782357,0.21437460436751202,0.07780543755411655,0.13656916681339548,175.52650702389096,0.6700029850679771,0.2700074073057997,0.39999557776217737,148.1424460733991,0.5425003475689713,0.518976734351073,0.023523613217898198,4.532691286693622,0.08889545116772683,0.06543090212589356,0.023464549041833274,35.86157041925827,4,4,0,0.0,0.32161209964972737,0.28706960852271274,0.03454249112701463,12.03279277969324,0.1285786407873851,0.1074047182126102,0.021173922574774892,19.71414564196389,0.34636225185178243,0.30650405157471206,0.03985820027707038,13.004134879226784
