segment,start_sec,end_sec,rms_acc_ribs_resp_rate_mean,rms_gyr_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,rms_acc_ribs_resp_rate_std,rms_gyr_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,rms_acc_ribs_resp_rate_min,rms_gyr_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,rms_acc_ribs_resp_rate_max,rms_gyr_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,rms_acc_ribs_resp_rate_median,rms_gyr_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,rms_acc_ribs_bbi_mean,rms_gyr_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,rms_acc_ribs_bbi_std,rms_gyr_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,rms_acc_ribs_bbi_cv,rms_gyr_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,rms_acc_ribs_bbi_rmssd,rms_gyr_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,rms_acc_ribs_peak_amp_mean,rms_gyr_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,rms_acc_ribs_peak_amp_std,rms_gyr_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,rms_acc_ribs_n_breaths,rms_gyr_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,rms_acc_ribs_signal_mean,rms_gyr_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,rms_acc_ribs_signal_std,rms_gyr_chest_signal_std,diff_signal_std,pct_diff_signal_std,rms_acc_ribs_signal_rms,rms_gyr_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,37.34826396521646,26.269702276707534,11.078561688508927,42.17239149425731,14.43591271987667,0.0,14.43591271987667,14435912719876.67,21.008403361344538,26.269702276707534,-5.261298915362996,20.028011204481803,55.147058823529406,26.269702276707534,28.877356546821872,109.92647058823523,36.61879683799596,26.269702276707534,10.349094561288425,39.39555329663793,1.889,2.284,-0.3949999999999998,17.294220665499115,0.7408555864674301,0.0,0.7408555864674301,740855586467.4302,0.39219459315374805,0.0,0.39219459315374805,392194593153.74805,1.5592357102118972,0.0,1.5592357102118972,1559235710211.897,0.6988833989454932,0.004917341800462904,0.6939660571450303,14112.625993981188,0.13724241790748037,1.6793856432872727e-05,0.1372256240510475,817118.0014522366,5,2,3,150.0,0.40364597966121374,0.00312668652219378,0.40051929313901996,12809.704148339222,0.18480370734756849,0.00108232518275755,0.18372138216481093,16974.693473982123,0.44393973368698003,0.003308715220338462,0.44063101846664154,13317.284478220148
1,10.0,20.0,13.123359580052494,38.15610452739371,-25.032744947341214,65.60613369053243,0.0,9.720076554608694,-9.720076554608694,100.0,13.123359580052494,27.881040892193308,-14.757681312140814,52.93088363954506,13.123359580052494,54.15162454873646,-41.02826496868396,75.76552930883639,13.123359580052494,35.29587633432254,-22.17251675427005,62.81900056610571,4.572,1.665,2.907,174.59459459459458,0.0,0.3708625082156459,-0.3708625082156459,100.0,0.0,0.22274024517456212,-0.22274024517456212,100.0,0.0,0.4205456772654626,-0.4205456772654626,100.0,0.6494919873269296,0.003640090737268806,0.6458518965896608,17742.741684352888,0.1738403155568501,0.00044100236959481175,0.17339931318725527,39319.36087930155,2,5,-3,60.0,0.29789120208225783,0.002695736993807192,0.2951954650884506,10950.454950412122,0.16582272657225547,0.0010427285308129638,0.1647799980414425,15802.770632253794,0.34093451706430306,0.002890377264087164,0.3380441398002159,11695.502313846793
2,20.0,30.0,17.132861849064586,32.818610015290936,-15.68574816622635,47.79528492802713,3.1923414029679327,7.694058129735857,-4.501716726767924,58.50900332257396,13.940520446096654,22.45508982035928,-8.514569374262626,37.9182156133829,20.32520325203252,40.87193460490463,-20.54673135287211,50.271002710027105,17.132861849064586,35.1288056206089,-17.995943771544315,51.22845326966281,3.628,1.9493333333333334,1.6786666666666668,86.11491108071135,0.6760000000000002,0.5203110180993246,0.1556889819006756,29.92229195326312,0.1863285556780596,0.26691741694561794,-0.08058886126755835,30.192432621951237,1.3520000000000003,1.090621840969637,0.2613781590303632,23.965975117276233,0.4797147589372462,0.0038704077519554694,0.4758443511852907,12294.424300511413,0.021696119979720402,0.0004477724448724274,0.021248347534847976,4745.345047058833,3,4,-1,25.0,0.2800182911720068,0.0025486905221403576,0.2774696006498664,10886.751382307924,0.1312804519555053,0.0009187978970188154,0.1303616540584865,14188.2838958889,0.30926493570486213,0.0027092458273870767,0.30655568987747506,11315.167002513452
3,30.0,40.0,13.489208633093524,28.77906976744186,-15.289861134348337,53.12840636581644,0.0,14.82558139534884,-14.82558139534884,100.0,13.489208633093524,13.953488372093023,-0.46427973899949926,3.3273381294964115,13.489208633093524,43.6046511627907,-30.115442529697177,69.06474820143885,13.489208633093524,28.77906976744186,-15.289861134348337,53.12840636581644,4.448,2.838,1.6100000000000003,56.73009161381255,0.0,1.462,-1.462,100.0,0.0,0.5151515151515151,-0.5151515151515151,100.0,0.0,2.924,-2.924,100.0,0.5487294777248602,0.00434645468412291,0.5443830230407374,12524.760122987245,0.07703087248694249,0.0008219357358618285,0.07620893675108066,9271.885066680174,2,3,-1,33.33333333333333,0.2656569020713646,0.0024079290162709326,0.26324897305509365,10932.588596933694,0.14326025417655108,0.0010380981178927356,0.14222215605865834,13700.261430717077,0.30182294486152744,0.002622168920907259,0.29920077594062017,11410.431019718515
4,40.0,50.0,31.38108111668944,13.940520446096654,17.440560670592788,125.10695521038559,8.888509344233439,0.0,8.888509344233439,8888509344233.438,21.27659574468085,13.940520446096654,7.336075298584197,52.6241134751773,40.65040650406504,13.940520446096654,26.709886057968383,191.59891598915988,31.798661109005938,13.940520446096654,17.858140662909285,128.1023956886026,2.081,4.304,-2.2230000000000003,51.649628252788105,0.5985808216105825,0.0,0.5985808216105825,598580821610.5824,0.2876409522395879,0.0,0.2876409522395879,287640952239.5879,1.2317770361013662,0.0,1.2317770361013662,1231777036101.3662,0.5579991106157289,0.0064930763355650865,0.5515060342801639,8493.755591003179,0.07426417544145618,0.000650947500710874,0.0736132279407453,11308.627479229155,5,2,3,150.0,0.32970615675102455,0.0028015366215528746,0.3269046201294717,11668.761265318404,0.14054676064874896,0.0016196630692343003,0.13892709757951466,8577.530735771656,0.3584125300940076,0.0032360339769142363,0.35517649611709334,10975.67264901763
5,50.0,60.0,42.41674858687639,18.915510718789406,23.50123786808698,124.24321086261985,7.896332641257306,0.0,7.896332641257306,7896332641257.306,31.25,18.915510718789406,12.334489281210594,65.20833333333334,48.07692307692308,18.915510718789406,29.161412358133674,154.16666666666669,47.92332268370607,18.915510718789406,29.007811964916662,153.35463258785944,1.4733333333333334,3.172,-1.6986666666666668,53.551912568306015,0.31584525043480105,0.0,0.31584525043480105,315845250434.801,0.21437460436751202,0.0,0.21437460436751202,214374604367.51202,0.6700029850679771,0.0,0.6700029850679771,670002985067.977,0.5425003475689713,0.005371381599107104,0.5371289659698641,9999.828834710836,0.08889545116772683,0.0006008320865366341,0.0882946190811902,14695.390119749649,4,2,2,100.0,0.32161209964972737,0.002576267671502723,0.31903583197822466,12383.6445842653,0.1285786407873851,0.001392146530828917,0.12718649425655618,9135.999080558448,0.34636225185178243,0.0029283488655775032,0.3434339029862049,11727.902608300596
