segment,start_sec,end_sec,rms_acc_ribs_resp_rate_mean,rms_gyr_ribs_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,rms_acc_ribs_resp_rate_std,rms_gyr_ribs_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,rms_acc_ribs_resp_rate_min,rms_gyr_ribs_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,rms_acc_ribs_resp_rate_max,rms_gyr_ribs_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,rms_acc_ribs_resp_rate_median,rms_gyr_ribs_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,rms_acc_ribs_bbi_mean,rms_gyr_ribs_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,rms_acc_ribs_bbi_std,rms_gyr_ribs_bbi_std,diff_bbi_std,pct_diff_bbi_std,rms_acc_ribs_bbi_cv,rms_gyr_ribs_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,rms_acc_ribs_bbi_rmssd,rms_gyr_ribs_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,rms_acc_ribs_peak_amp_mean,rms_gyr_ribs_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,rms_acc_ribs_peak_amp_std,rms_gyr_ribs_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,rms_acc_ribs_n_breaths,rms_gyr_ribs_n_breaths,diff_n_breaths,pct_diff_n_breaths,rms_acc_ribs_signal_mean,rms_gyr_ribs_signal_mean,diff_signal_mean,pct_diff_signal_mean,rms_acc_ribs_signal_std,rms_gyr_ribs_signal_std,diff_signal_std,pct_diff_signal_std,rms_acc_ribs_signal_rms,rms_gyr_ribs_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,37.34826396521646,32.597636445642166,4.750627519574294,14.57353365939936,14.43591271987667,5.026578787165451,9.40933393271122,187.19161344364917,21.008403361344538,25.553662691652473,-4.545259330307935,17.787114845938383,55.147058823529406,39.26701570680628,15.880043116723122,40.44117647058822,36.61879683799596,32.78493369205495,3.8338631459410095,11.693978648705036,1.889,1.887,0.0020000000000000018,0.10598834128245903,0.7408555864674301,0.30341226079379185,0.43744332567363825,144.17457110309,0.39219459315374805,0.1607908112314742,0.23140378192227384,143.91604852913224,1.5592357102118972,0.6041854020083569,0.9550503082035403,158.0723905325886,0.6988833989454932,0.005293499326647076,0.6935898996188462,13102.672860037348,0.13724241790748037,0.0004193516948744184,0.13682306621260595,32627.28346753906,5,5,0,0.0,0.40364597966121374,0.0034280675827043283,0.40021791207850943,11674.738097280631,0.18480370734756849,0.0014150098346991436,0.18338869751286935,12960.241901913074,0.44393973368698003,0.0037086251069478023,0.4402311085800322,11870.466706254447
1,10.0,20.0,13.123359580052494,29.105876507520662,-15.982516927468168,54.9116496228466,0.0,0.4799223090473834,-0.4799223090473834,100.0,13.123359580052494,28.62595419847328,-15.502594618420787,54.15573053368329,13.123359580052494,29.585798816568047,-16.462439236515554,55.64304461942257,13.123359580052494,29.105876507520662,-15.982516927468168,54.9116496228466,4.572,2.0620000000000003,2.51,121.72647914645974,0.0,0.03400000000000003,-0.03400000000000003,100.0,0.0,0.016488845780795357,-0.016488845780795357,100.0,0.0,0.06800000000000006,-0.06800000000000006,100.0,0.6494919873269296,0.004846032212374902,0.6446459551145547,13302.552002613125,0.1738403155568501,0.0012060088892488128,0.17263430666760127,14314.513616490012,2,3,-1,33.33333333333333,0.29789120208225783,0.0029821455030994834,0.29490905657915834,9889.157194799702,0.16582272657225547,0.0012644044730474395,0.16455832209920804,13014.689967253378,0.34093451706430306,0.003239121867592951,0.3376953951967101,10425.522996689766
2,20.0,30.0,17.132861849064586,33.227835169505376,-16.09497332044079,48.43822427291876,3.1923414029679327,8.10838772677116,-4.916046323803227,60.62914711850917,13.940520446096654,22.189349112426033,-8.248828666329379,37.17472118959107,20.32520325203252,41.43646408839779,-21.111260836365272,50.94850948509485,17.132861849064586,36.05769230769231,-18.92483045862772,52.48486313859422,3.628,1.938666666666667,1.6893333333333331,87.1389270976616,0.6760000000000002,0.5483097259355845,0.1276902740644157,23.28798269017332,0.1863285556780596,0.2828282630341735,-0.09649970735611393,34.11954177452699,1.3520000000000003,1.1530689485022136,0.19893105149778667,17.252311906949664,0.4797147589372462,0.0044090884146832715,0.4753056705225629,10780.134708564392,0.021696119979720402,0.00040278231031230636,0.021293337669408094,5286.562275512503,3,4,-1,25.0,0.2800182911720068,0.002903627781122794,0.277114663390884,9543.739221413824,0.1312804519555053,0.0010475601763530575,0.13023289177915226,12432.020109101597,0.30926493570486213,0.003086816582563487,0.30617811912229864,9918.895759852016
3,30.0,40.0,13.489208633093524,32.416550025279406,-18.92734139218588,58.38789561944675,0.0,6.340019417364987,-6.340019417364987,100.0,13.489208633093524,23.65930599369085,-10.170097360597326,42.985611510791365,13.489208633093524,38.46153846153846,-24.972329828444934,64.92805755395683,13.489208633093524,35.1288056206089,-21.639596987515375,61.600719424460436,4.448,1.9346666666666668,2.5133333333333336,129.91040661612683,0.0,0.4294782364166496,-0.4294782364166496,100.0,0.0,0.22199081827187264,-0.22199081827187264,100.0,0.0,0.9050303862302083,-0.9050303862302083,100.0,0.5487294777248602,0.004646149233326483,0.5440833284915337,11710.4143919628,0.07703087248694249,0.0010169700055585626,0.07601390248138393,7474.547141597741,2,4,-2,50.0,0.2656569020713646,0.00279464503268636,0.26286225703867827,9405.926475964687,0.14326025417655108,0.0013395638754923483,0.14192069030105872,10594.544455664472,0.30182294486152744,0.0030991082967916144,0.29872383656473583,9639.02542140889
4,40.0,50.0,31.38108111668944,29.185586582450355,2.195494534239085,7.522530095589247,8.888509344233439,4.102292647263704,4.786216696969735,116.67175183521388,21.27659574468085,23.696682464454977,-2.420086719774126,10.212765957446813,40.65040650406504,33.557046979865774,7.093359524199265,21.13821138211381,31.798661109005938,30.303030303030305,1.4956308059756331,4.935581659719589,2.081,2.1,-0.019000000000000128,0.9047619047619108,0.5985808216105825,0.31536645351083237,0.2832143680997501,89.80484923074486,0.2876409522395879,0.15017450167182492,0.137466450567763,91.53781037220772,1.2317770361013662,0.543323108288245,0.6884539278131212,126.71169646770868,0.5579991106157289,0.005304022691995763,0.5526950879237331,10420.300213982844,0.07426417544145618,0.001830252574703809,0.07243392286675238,3957.5916388739083,5,4,1,25.0,0.32970615675102455,0.003110362206881166,0.3265957945441434,10500.249579344932,0.14054676064874896,0.0017544937377092344,0.13879226691103974,7910.673257361108,0.3584125300940076,0.003571078455264683,0.3548414516387429,9936.534749484876
5,50.0,60.0,42.41674858687639,36.72457699650747,5.692171590368915,15.49962465438402,7.896332641257306,4.621723503513255,3.2746091377440507,70.85255392830877,31.25,29.761904761904763,1.4880952380952372,4.9999999999999964,48.07692307692308,41.43646408839779,6.640458988525289,16.02564102564103,47.92332268370607,37.84996956786367,10.073353115842401,26.61390017178543,1.4733333333333334,1.662,-0.18866666666666654,11.351784997994377,0.31584525043480105,0.22502444311674236,0.0908208073180587,40.36041865502629,0.21437460436751202,0.13539376842162598,0.07898083594588604,58.33417362306809,0.6700029850679771,0.2348786920944512,0.43512429297352584,185.254902900494,0.5425003475689713,0.004330684213851186,0.5381696633551201,12426.896923905175,0.08889545116772683,0.0014552411823216896,0.08744020998540514,6008.6404265925985,4,5,-1,20.0,0.32161209964972737,0.002785710690284378,0.318826388959443,11445.064631851477,0.1285786407873851,0.0015074038267816078,0.1270712369606035,8429.807242290724,0.34636225185178243,0.003167404354824389,0.34319484749695806,10835.207919513827
