segment,start_sec,end_sec,pca_acc_chest_resp_rate_mean,pca_gyr_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,pca_acc_chest_resp_rate_std,pca_gyr_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,pca_acc_chest_resp_rate_min,pca_gyr_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,pca_acc_chest_resp_rate_max,pca_gyr_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,pca_acc_chest_resp_rate_median,pca_gyr_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,pca_acc_chest_bbi_mean,pca_gyr_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,pca_acc_chest_bbi_std,pca_gyr_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,pca_acc_chest_bbi_cv,pca_gyr_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,pca_acc_chest_bbi_rmssd,pca_gyr_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,pca_acc_chest_peak_amp_mean,pca_gyr_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,pca_acc_chest_peak_amp_std,pca_gyr_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,pca_acc_chest_n_breaths,pca_gyr_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,pca_acc_chest_signal_mean,pca_gyr_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,pca_acc_chest_signal_std,pca_gyr_chest_signal_std,diff_signal_std,pct_diff_signal_std,pca_acc_chest_signal_rms,pca_gyr_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,25.454370378393904,23.951885783787628,1.5024845946062761,6.272928186820541,12.104713982801682,7.399883089558414,4.704830893243268,63.57980033335943,14.734774066797643,18.270401948842874,-3.5356278820452314,19.3516699410609,42.37288135593221,34.403669724770644,7.9692116311615635,23.16384180790961,19.255455712451862,19.18158567774936,0.07387003470250164,0.3851091142490419,2.868,2.718666666666666,0.14933333333333376,5.492888670917133,1.0983964068890004,0.692129724513805,0.4062666823751955,58.69805442333552,0.3829834054703628,0.2545842537446561,0.1283991517257067,50.43483634085594,2.2298358683992867,1.464079232828606,0.7657566355706806,52.30295044150283,0.5630248260724395,0.0017118709063827248,0.5613129551660568,32789.444173225726,0.14795687771032118,0.0018008926142181626,0.146155985096103,8115.752374249976,4,4,0,0.0,0.06902834024782635,-0.0017869653967942441,0.07081530564462059,3962.8806339317407,0.3251835521851169,0.0030415636313613423,0.3221419885537556,10591.328263928885,0.3324293223665751,0.003527655687983169,0.3289016666785919,9323.519520314398
1,10.0,20.0,14.071294559099437,15.856236786469346,-1.7849422273699087,11.257035647279556,0.0,0.0,0.0,0.0,14.071294559099437,15.856236786469346,-1.7849422273699087,11.257035647279556,14.071294559099437,15.856236786469346,-1.7849422273699087,11.257035647279556,14.071294559099437,15.856236786469346,-1.7849422273699087,11.257035647279556,4.264,3.784,0.4800000000000004,12.68498942917549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5223471242903479,0.0034232875132627957,0.5189238367770851,15158.640189193156,0.005283726224408092,0.0010682359108116588,0.004215490313596433,394.62166277423233,2,2,0,0.0,-0.05297983020024822,1.8732564714521428e-05,-0.05299856276496274,282922.0855373766,0.35068911268300107,0.0032369017282123966,0.3474522109547887,10734.098225053987,0.35466845949765213,0.003236955932212421,0.35143150356543973,10856.851650904016
2,20.0,30.0,19.71090670170828,17.26121979286536,2.449686908842917,14.191852825229967,0.0,0.0,0.0,0.0,19.71090670170828,17.26121979286536,2.449686908842917,14.191852825229967,19.71090670170828,17.26121979286536,2.449686908842917,14.191852825229967,19.71090670170828,17.26121979286536,2.449686908842917,14.191852825229967,3.044,3.476,-0.43199999999999994,12.42807825086306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4623984012686321,0.004185182427962501,0.45821321884066957,10948.464654233589,0.005417794534927828,0.00021772483787642046,0.005200069697051408,2388.367697397456,2,2,0,0.0,-0.001747127124835896,0.0004064498379453837,-0.0021535769627812795,529.8506142031392,0.33266054380476445,0.0027046261376475786,0.32995591766711685,12199.686791243721,0.33266513171306655,0.0027349961636558627,0.3299301355494107,12063.275990427492
3,30.0,40.0,23.00931006006855,36.7702935015808,-13.760983441512252,37.424187111589546,4.51362571974796,16.7051812564366,-12.19155553668864,72.98068395391498,18.49568434032059,18.248175182481752,0.24750915783883798,1.356350184956832,27.52293577981651,64.37768240343347,-36.85474662361696,57.247706422018354,23.00931006006855,28.256704980842912,-5.2473949207743615,18.570441685723505,2.712,1.968,0.7440000000000002,37.8048780487805,0.532,0.7856547163565769,-0.2536547163565769,32.28577529997965,0.19616519174041297,0.39921479489663464,-0.20304960315622167,50.86224402299408,1.064,1.542399170124258,-0.47839917012425803,31.016560394396315,0.28861378095673196,0.001473366087579681,0.28714041486915226,19488.735168381798,0.12928692176148554,0.0028723908055538357,0.1264145309559317,4401.021292489386,3,8,-5,62.5,0.016139096004139653,0.0009512036665273847,0.015187892337612268,1596.7024594280215,0.23983477730399072,0.0022257966954060686,0.23760898060858465,10675.23287724335,0.24037718449196807,0.0024205287324251526,0.23795665575954292,9830.771788489852
4,40.0,50.0,40.575681504952925,36.581736947877765,3.99394455707516,10.91786473333892,16.228113794104885,19.180344836508855,-2.9522310424039695,15.391960194503602,18.13784764207981,17.40139211136891,0.7364555307108986,4.232164449818631,55.97014925373134,55.762081784386616,0.20806746934472642,0.37313432835820937,47.61904761904762,36.581736947877765,11.037310671169855,30.17164189577983,1.88,2.262,-0.3820000000000001,16.887709991158275,1.0126611805864123,1.186,-0.17333881941358764,14.61541479035309,0.5386495641417087,0.524314765694076,0.014334798447632746,2.7340062469262456,2.144061566280222,2.372,-0.22793843371977784,9.609546109602777,0.2655703605677636,0.002624661980818731,0.2629456985869449,10018.269038397175,0.18160123383780946,0.0003878837604005511,0.1812133500774089,46718.46789622684,4,3,1,33.33333333333333,0.01777954140698214,-0.00022394708226985895,0.018003488489251998,8039.170819630315,0.23521281902582886,0.002209182957092056,0.2330036360687368,10547.050226000256,0.23588383227071735,0.0022205048150281464,0.2336633274556892,10522.982245941554
5,50.0,60.0,13.876040703052729,13.146362839614373,0.7296778634383561,5.5504162812210955,0.0,0.0,0.0,0.0,13.876040703052729,13.146362839614373,0.7296778634383561,5.5504162812210955,13.876040703052729,13.146362839614373,0.7296778634383561,5.5504162812210955,13.876040703052729,13.146362839614373,0.7296778634383561,5.5504162812210955,4.324,4.564,-0.2400000000000002,5.258545135845754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4428387850897924,0.0028482320550470962,0.4399905530347453,15447.847806328755,0.04889755320483835,0.0006939182045665058,0.04820363500027185,6946.58746276658,2,2,0,0.0,-0.01570599216386004,-0.00031294463938453604,-0.015393047524475503,4918.776546148481,0.2626580466584423,0.002589715236525975,0.2600683314219163,10042.352446857833,0.26312720814138485,0.0026085550317396606,0.26051865310964517,9987.086718117032
6,60.0,70.0,18.620533611621617,17.523364485981308,1.0971691256403098,6.261178476987368,0.6349221008302468,0.0,0.6349221008302468,634922100830.2467,17.98561151079137,17.523364485981308,0.4622470248100612,2.637889688249416,19.255455712451862,17.523364485981308,1.7320912264705548,9.8844672657253,18.620533611621617,17.523364485981308,1.0971691256403098,6.261178476987368,3.226,3.424,-0.19799999999999995,5.782710280373831,0.10999999999999988,0.0,0.10999999999999988,109999999999.99988,0.0340979541227526,0.0,0.0340979541227526,34097954122.7526,0.21999999999999975,0.0,0.21999999999999975,219999999999.99976,0.45543752733723847,0.002486622356137182,0.4529509049811013,18215.50843308323,0.026803501435095196,0.00038136693606572705,0.02642213449902947,6928.270911895656,3,2,1,50.0,0.029295956444199363,-0.0010113787023103928,0.030307335146509757,2996.635689210748,0.26809955848318257,0.0027922655788084286,0.26530729290437416,9501.506408197438,0.26969543252131256,0.002969786851288392,0.26672564567002416,8981.30603394347
7,70.0,80.0,20.65575953776175,20.635177878865775,0.020581658895974186,0.09974064200848783,6.5181535057165085,2.584636362620289,3.9335171430962195,152.18841613403765,14.137606032045241,18.050541516245488,-3.912935484200247,21.677662582469367,27.173913043478258,23.219814241486066,3.954098801992192,17.028985507246375,20.65575953776175,20.635177878865775,0.020581658895974186,0.09974064200848783,3.226,2.9539999999999997,0.27200000000000024,9.2078537576168,1.0179999999999998,0.3699999999999999,0.6479999999999999,175.13513513513516,0.31556106633601977,0.12525389302640486,0.1903071733096149,151.9371324207034,2.0359999999999996,0.7399999999999998,1.2959999999999998,175.13513513513516,0.3950193219141532,0.0017635548183766838,0.3932557670957765,22299.038453353005,0.051540832346079875,0.0009142474923388637,0.05062658485374101,5537.514215568271,3,3,0,0.0,-0.03502396073030973,-0.0011556036727452918,-0.033868357057564434,2930.7934767207516,0.2855426348455125,0.0022384901711233873,0.28330414467438914,12656.037016781396,0.2876825926950673,0.0025191780593436463,0.28516341463572364,11319.700629260837
8,80.0,90.0,13.863216266173751,13.824768853387006,0.038447412786744906,0.2781052847572599,0.0,1.5598465312283798,-1.5598465312283798,100.0,13.863216266173751,12.264922322158625,1.5982939440151256,13.031423290203325,13.863216266173751,15.384615384615385,-1.521399118441634,9.889094269870622,13.863216266173751,13.824768853387006,0.038447412786744906,0.2781052847572599,4.328,4.396,-0.06799999999999962,1.5468607825295637,0.0,0.4960000000000002,-0.4960000000000002,100.0,0.0,0.1128298453139218,-0.1128298453139218,100.0,0.0,0.9920000000000004,-0.9920000000000004,100.0,0.3631966387060135,0.0030122809172079194,0.3601843577888056,11957.196811599502,0.01573143503879207,0.0004634938033280389,0.01526794123546403,3294.098243781289,2,3,-1,33.33333333333333,-0.006330331329660049,0.0008207387833325901,-0.007151070112992639,871.2967217116134,0.18371226551427106,0.001991145032688197,0.18172112048158287,9126.463291136837,0.18382129799109054,0.0021536644798262196,0.18166763351126433,8435.280203252607
9,90.0,100.0,16.51095743367119,14.071294559099437,2.439662874571754,17.337870828623263,2.3332636718564466,0.0,2.3332636718564466,2333263671856.4463,14.177693761814744,14.071294559099437,0.10639920271530734,0.7561436672967842,18.844221105527637,14.071294559099437,4.7729265464282005,33.91959798994974,16.51095743367119,14.071294559099437,2.439662874571754,17.337870828623263,3.708,4.264,-0.556,13.03939962476548,0.524,0.0,0.524,524000000000.0,0.1413160733549083,0.0,0.1413160733549083,141316073354.9083,1.048,0.0,1.048,1048000000000.0,0.37396303110017776,0.0034581705248772953,0.37050486057530047,10713.897938519007,0.0505910198131289,0.0004325110127661755,0.050158508800362725,11597.047779100012,3,2,1,50.0,0.025575854165479035,0.0005682007665017251,0.02500765339897731,4401.200222404379,0.21792867406384975,0.002048122490507464,0.2158805515733423,10540.412137159507,0.2194243179219694,0.002125478263162351,0.21729883965880706,10223.526790412961
