segment,start_sec,end_sec,rms_gyr_ribs_resp_rate_mean,rms_gyr_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,rms_gyr_ribs_resp_rate_std,rms_gyr_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,rms_gyr_ribs_resp_rate_min,rms_gyr_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,rms_gyr_ribs_resp_rate_max,rms_gyr_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,rms_gyr_ribs_resp_rate_median,rms_gyr_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,rms_gyr_ribs_bbi_mean,rms_gyr_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,rms_gyr_ribs_bbi_std,rms_gyr_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,rms_gyr_ribs_bbi_cv,rms_gyr_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,rms_gyr_ribs_bbi_rmssd,rms_gyr_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,rms_gyr_ribs_peak_amp_mean,rms_gyr_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,rms_gyr_ribs_peak_amp_std,rms_gyr_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,rms_gyr_ribs_n_breaths,rms_gyr_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,rms_gyr_ribs_signal_mean,rms_gyr_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,rms_gyr_ribs_signal_std,rms_gyr_chest_signal_std,diff_signal_std,pct_diff_signal_std,rms_gyr_ribs_signal_rms,rms_gyr_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,32.597636445642166,26.269702276707534,6.3279341689346325,24.0883360697445,5.026578787165451,0.0,5.026578787165451,5026578787165.45,25.553662691652473,26.269702276707534,-0.7160395850550607,2.725724020442931,39.26701570680628,26.269702276707534,12.99731343009875,49.476439790575895,32.78493369205495,26.269702276707534,6.515231415347415,24.80131425442249,1.887,2.284,-0.3969999999999998,17.38178633975481,0.30341226079379185,0.0,0.30341226079379185,303412260793.7919,0.1607908112314742,0.0,0.1607908112314742,160790811231.4742,0.6041854020083569,0.0,0.6041854020083569,604185402008.3568,0.005293499326647076,0.004917341800462904,0.000376157526184172,7.6496111404897995,0.0004193516948744184,1.6793856432872727e-05,0.0004025578384415457,2397.054184967121,5,2,3,150.0,0.0034280675827043283,0.00312668652219378,0.00030138106051054827,9.6389918967345,0.0014150098346991436,0.00108232518275755,0.00033268465194159357,30.73795724626669,0.0037086251069478023,0.003308715220338462,0.00039990988660934014,12.086561096316768
1,10.0,20.0,29.105876507520662,38.15610452739371,-9.050228019873046,23.718951743031173,0.4799223090473834,9.720076554608694,-9.24015424556131,95.06256657186685,28.62595419847328,27.881040892193308,0.7449133062799724,2.6717557251908346,29.585798816568047,54.15162454873646,-24.56582573216841,45.364891518737664,29.105876507520662,35.29587633432254,-6.1899998268018805,17.53745896027684,2.0620000000000003,1.665,0.39700000000000024,23.843843843843857,0.03400000000000003,0.3708625082156459,-0.3368625082156459,90.83218194160786,0.016488845780795357,0.22274024517456212,-0.20625139939376677,92.59727591308298,0.06800000000000006,0.4205456772654626,-0.35254567726546254,83.83053169345118,0.004846032212374902,0.003640090737268806,0.0012059414751060958,33.12943446049713,0.0012060088892488128,0.00044100236959481175,0.000765006519654001,173.46993404069025,3,5,-2,40.0,0.0029821455030994834,0.002695736993807192,0.0002864085092922912,10.624497491789665,0.0012644044730474395,0.0010427285308129638,0.00022167594223447573,21.259219028143974,0.003239121867592951,0.002890377264087164,0.0003487446035057868,12.06571224590389
2,20.0,30.0,33.227835169505376,32.818610015290936,0.4092251542144396,1.246930183891921,8.10838772677116,7.694058129735857,0.4143295970353025,5.385059354230883,22.189349112426033,22.45508982035928,-0.2657407079332472,1.1834319526627277,41.43646408839779,40.87193460490463,0.5645294834931605,1.3812154696132661,36.05769230769231,35.1288056206089,0.9288866870834056,2.644230769230761,1.938666666666667,1.9493333333333334,-0.01066666666666638,0.5471956224350057,0.5483097259355845,0.5203110180993246,0.027998707836259906,5.381148363634134,0.2828282630341735,0.26691741694561794,0.015910846088555586,5.960962109788916,1.1530689485022136,1.090621840969637,0.06244710753257654,5.725825871693236,0.0044090884146832715,0.0038704077519554694,0.000538680662727802,13.91793054506056,0.00040278231031230636,0.0004477724448724274,-4.4990134560121036e-05,10.047544254970614,4,4,0,0.0,0.002903627781122794,0.0025486905221403576,0.00035493725898243624,13.926259618384915,0.0010475601763530575,0.0009187978970188154,0.00012876227933424208,14.01421136814,0.003086816582563487,0.0027092458273870767,0.00037757075517641037,13.936378580328284
3,30.0,40.0,32.416550025279406,28.77906976744186,3.637480257837545,12.639325340364804,6.340019417364987,14.82558139534884,-8.485561977983853,57.23594745934205,23.65930599369085,13.953488372093023,9.705817621597827,69.55835962145109,38.46153846153846,43.6046511627907,-5.143112701252242,11.794871794871808,35.1288056206089,28.77906976744186,6.34973585316704,22.063728621105675,1.9346666666666668,2.838,-0.9033333333333333,31.82992717876439,0.4294782364166496,1.462,-1.0325217635833503,70.62392363771207,0.22199081827187264,0.5151515151515151,-0.2931606968796425,56.90766468840119,0.9050303862302083,2.924,-2.0189696137697917,69.04820840525964,0.004646149233326483,0.00434645468412291,0.0002996945492035729,6.895149518027233,0.0010169700055585626,0.0008219357358618285,0.0001950342696967341,23.728651911238998,4,3,1,33.33333333333333,0.00279464503268636,0.0024079290162709326,0.00038671601641542723,16.06010865778425,0.0013395638754923483,0.0010380981178927356,0.0003014657575996127,29.04019884089247,0.0030991082967916144,0.002622168920907259,0.00047693937588435533,18.188735747784563
4,40.0,50.0,29.185586582450355,13.940520446096654,15.245066136353701,109.35794108477721,4.102292647263704,0.0,4.102292647263704,4102292647263.704,23.696682464454977,13.940520446096654,9.756162018358323,69.98420221169037,33.557046979865774,13.940520446096654,19.616526533769118,140.7158836689038,30.303030303030305,13.940520446096654,16.36250985693365,117.37373737373737,2.1,4.304,-2.204,51.20817843866171,0.31536645351083237,0.0,0.31536645351083237,315366453510.83234,0.15017450167182492,0.0,0.15017450167182492,150174501671.82492,0.543323108288245,0.0,0.543323108288245,543323108288.245,0.005304022691995763,0.0064930763355650865,-0.0011890536435693235,18.312639219354583,0.001830252574703809,0.000650947500710874,0.001179305073992935,181.16746322937908,4,2,2,100.0,0.003110362206881166,0.0028015366215528746,0.00030882558532829146,11.023435601463289,0.0017544937377092344,0.0016196630692343003,0.0001348306684749341,8.324612139157784,0.003571078455264683,0.0032360339769142363,0.00033504447835044655,10.353552550456616
5,50.0,60.0,36.72457699650747,18.915510718789406,17.809066277718067,94.15059705486952,4.621723503513255,0.0,4.621723503513255,4621723503513.255,29.761904761904763,18.915510718789406,10.846394043115357,57.34126984126986,41.43646408839779,18.915510718789406,22.520953369608385,119.060773480663,37.84996956786367,18.915510718789406,18.93445884907426,100.10017244877261,1.662,3.172,-1.5100000000000002,47.60403530895335,0.22502444311674236,0.0,0.22502444311674236,225024443116.7423,0.13539376842162598,0.0,0.13539376842162598,135393768421.62598,0.2348786920944512,0.0,0.2348786920944512,234878692094.4512,0.004330684213851186,0.005371381599107104,-0.0010406973852559176,19.374854793949382,0.0014552411823216896,0.0006008320865366341,0.0008544090957850554,142.20430548410135,5,2,3,150.0,0.002785710690284378,0.002576267671502723,0.00020944301878165518,8.129707215535108,0.0015074038267816078,0.001392146530828917,0.00011525729595269086,8.279106645768383,0.003167404354824389,0.0029283488655775032,0.0002390554892468858,8.16349076631419
