segment,start_sec,end_sec,impedance_pneumography_signal_mean,pca_acc_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,impedance_pneumography_signal_std,pca_acc_chest_signal_std,diff_signal_std,pct_diff_signal_std,impedance_pneumography_signal_rms,pca_acc_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms,impedance_pneumography_signal_energy,pca_acc_chest_signal_energy,diff_signal_energy,pct_diff_signal_energy,impedance_pneumography_n_breaths,pca_acc_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,impedance_pneumography_resp_rate_mean,pca_acc_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,impedance_pneumography_resp_rate_std,pca_acc_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,impedance_pneumography_resp_rate_min,pca_acc_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,impedance_pneumography_resp_rate_max,pca_acc_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,impedance_pneumography_resp_rate_median,pca_acc_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,impedance_pneumography_bbi_mean,pca_acc_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,impedance_pneumography_bbi_std,pca_acc_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,impedance_pneumography_bbi_cv,pca_acc_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,impedance_pneumography_bbi_rmssd,pca_acc_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,impedance_pneumography_peak_amp_mean,pca_acc_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,impedance_pneumography_peak_amp_std,pca_acc_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,impedance_pneumography_spi,pca_acc_chest_spi,diff_spi,pct_diff_spi,impedance_pneumography_spectral_rqi,pca_acc_chest_spectral_rqi,diff_spectral_rqi,pct_diff_spectral_rqi,impedance_pneumography_dominant_freq_hz,pca_acc_chest_dominant_freq_hz,diff_dominant_freq_hz,pct_diff_dominant_freq_hz,impedance_pneumography_ac_rqi,pca_acc_chest_ac_rqi,diff_ac_rqi,pct_diff_ac_rqi,impedance_pneumography_dominant_period_sec,pca_acc_chest_dominant_period_sec,diff_dominant_period_sec,pct_diff_dominant_period_sec
<<<<<<< HEAD
0,0.0,30.0,0.0005977096475693855,0.07933639237410958,-0.0787386827265402,99.24661352793697,0.004150449023683188,2.7263876957447843,-2.722237246721101,99.8477674679151,0.004193266497730647,2.7275417743205135,-2.723348507822783,99.84626206142066,0.13187612940742682,55796.13097997621,-55795.9991038468,99.99976364646241,8,8,0,0.0,17.722570512676896,19.471313675015704,-1.7487431623388083,8.981125729501647,2.9192536842489485,4.600723771187125,-1.6814700869381767,36.54794703104522,12.126111560226352,14.880952380952381,-2.754840820726029,18.512530315278916,22.354694485842025,28.46299810246679,-6.108303616624767,21.460506706408346,17.50291715285881,17.40139211136891,0.10152504148990005,0.5834305717619589,3.4920000000000004,3.2348571428571433,0.2571428571428571,7.949125596184419,0.6622973005272742,0.6588950552838828,0.0034022452433913886,0.5163561656909904,0.18966131172029613,0.2036859824671957,-0.014024670746899559,6.885437366392299,0.7088845698231365,1.0152306798621353,-0.3063461100389988,30.175024860418866,0.0032512012474359684,3.070951054271349,-3.067699853023913,99.89413047652081,0.005175772483187445,4.328451719053472,-4.323275946570285,99.88042439146534,0.7726221381433057,0.6665427866550843,0.10607935148822145,15.914860022799152,0.43524264416264774,0.22207341390726254,0.2131692302553852,95.99043240016307,0.1,0.17381937680596335,-0.07381937680596334,42.469014768341275,0.3767576873607216,0.10357117552681086,0.27318651183391074,263.76693172048874,1.248,4.72,-3.4719999999999995,73.5593220338983
1,30.0,60.0,-5.477269768494952e-05,-0.008879216118224375,0.008824443420539426,99.38313588772178,0.0007683874791945127,0.1719784487934579,-0.1712100613142634,99.55320711136469,0.0007703371772117613,0.17220751240372223,-0.17143717522651047,99.55266923814231,0.004450645249459384,222.41570496208607,-222.41125431683662,99.99799895189496,8,26,-18,69.23076923076923,20.06509244797352,61.00703013284485,-40.94193768487133,67.11019630970216,2.2856805710923935,17.87372438728675,-15.588043816194356,87.2120632411779,16.741071428571427,34.09090909090909,-17.349837662337666,50.89285714285715,23.474178403755868,106.38297872340426,-82.90880031964839,77.93427230046949,19.63350785340314,60.24096385542169,-40.60745600201855,67.40837696335079,3.0297142857142854,1.07104,1.9586742857142854,182.87592300140847,0.34787752947007666,0.3201545226917777,0.027723006778298975,8.65925820607218,0.1148218929786183,0.2989192959103093,-0.184097402931691,61.58766110131927,0.538541239522719,0.5092307924703691,0.029310447052349975,5.755827708328436,0.0010332352222543154,0.19775391770994852,-0.1967206824876942,99.47751466356797,0.000365599439640836,0.1424347534915898,-0.14206915405194895,99.74332146426438,0.8683646740126141,0.4874759041992881,0.380888769813326,78.13489170074187,0.4123259049201375,0.4041982316759607,0.008127673244176792,2.010813657070281,0.31158400899168737,0.36145264046885567,-0.0498686314771683,13.796726291024342,0.1668064415046385,0.29799094289539263,-0.13118450139075413,44.02298275112523,6.108,2.732,3.3759999999999994,123.57247437774521
2,60.0,90.0,3.1095368399452963e-06,-0.0057099078625917725,0.005713017399431718,100.05445861675489,0.0010337609278605073,0.15511006066874425,-0.15407629974088374,99.3335307049694,0.0010337656045692253,0.15521512158440234,-0.15418135597983312,99.33397880695078,0.00801503493892782,180.68800476345604,-180.6799897285171,99.9955641577041,7,29,-22,75.86206896551724,16.925754250698947,63.85710184673183,-46.93134759603288,73.49432755134471,6.592323538323975,15.932560188732381,-9.340236650408407,58.62357674954141,7.788161993769471,31.25,-23.46183800623053,75.0778816199377,26.978417266187048,95.54140127388536,-68.5629840076983,71.76258992805755,15.611292141872415,66.22548828505711,-50.6141961431847,76.4270637391512,4.212666666666666,1.0222857142857142,3.190380952380952,312.0831004285448,1.8371215407684802,0.34687079285920785,1.4902507479092724,429.62704805018086,0.43609468446790955,0.3393090483530541,0.09678563611485547,28.524331014641596,2.7258648535831704,0.5389064372858688,2.1869584162973017,405.81412003753917,0.0015674083557257275,0.1667979487244197,-0.16523054036869397,99.06029518485543,0.0005812751222342755,0.12596473951713896,-0.1253834643949047,99.53854140098056,0.9169533385487663,0.43647025915519966,0.4804830793935666,110.08380738782866,0.35191615321785813,0.37949594261419883,-0.027579789396340704,7.267479384984815,0.1,0.32855669384750075,-0.22855669384750074,69.56385248799256,0.2770785391470806,0.2731551228345776,0.003923416312502981,1.436332685907193,9.996,2.54,7.456,293.5433070866142
3,90.0,120.0,-9.636896836016196e-06,-0.000987743593230638,0.0009781066963946217,99.0243523823327,0.0005054526870984151,0.11903264934963449,-0.11852719666253608,99.57536634708202,0.0005055445466777745,0.11903674747152246,-0.11853120292484469,99.57530379700714,0.0019168146650672736,106.27310436449255,-106.27118754982749,99.99819633135164,9,31,-22,70.96774193548387,19.777213051804537,66.39608104945934,-46.6188679976548,70.21328256245693,3.3093587795712898,14.900863514930894,-11.591504735359603,77.79082550313099,13.020833333333334,33.40757238307349,-20.386739049740157,61.02430555555555,23.1839258114374,104.89510489510491,-81.7111790836675,77.89799072642968,20.125199499633354,66.66666666666667,-46.54146716703332,69.81220075054996,3.138,0.9616551724137932,2.176344827586207,226.31239242685024,0.6341829389064324,0.27733016248682774,0.35685277641960467,128.67434729049856,0.20209781354570822,0.28838836460549355,-0.08629055105978534,29.921647906228177,0.898688568335629,0.452921942186825,0.445766626148804,98.42018781349535,0.0007616262745632206,0.13268815879976287,-0.13192653252519965,99.42600283141122,0.0003317718560657413,0.06578155114579978,-0.06544977928973404,99.49564604317342,0.9574182192268957,0.37266486600504417,0.5847533532218516,156.91131806719252,0.6571629498684618,0.607438542811968,0.049724407056493836,8.185915702073912,0.3310183692471474,0.3283544020904202,0.002663967156727176,0.8113084946531611,0.5549829894231031,0.43635091575462576,0.11863207366847733,27.187309430373237,2.936,2.596,0.33999999999999986,13.097072419106311
4,120.0,150.0,0.00011953374713768925,-0.006801486426847382,0.006921020173985071,101.7574650544895,0.0006948116953690278,0.17053261195952943,-0.1698378002641604,99.59256374051556,0.0007050188711845659,0.1706681925824318,-0.16996317371124722,99.58690669859644,0.0037278870654476968,218.45723969515524,-218.4535118080898,99.99829353924335,10,33,-23,69.6969696969697,21.556331328166205,74.07030222118146,-52.513970893015255,70.89747080578015,2.479224297102424,17.02014677127457,-14.540922474172149,85.4335903772188,16.797312430011196,27.829313543599255,-11.03200111358806,39.641657334826434,24.4299674267101,109.4890510948905,-85.05908366818039,77.6872964169381,22.62443438914027,73.1724728726442,-50.54803848350394,69.08067542213884,2.8244444444444445,0.8712500000000001,1.9531944444444445,224.18300653594767,0.3586168215398687,0.29485663889422603,0.06376018264564265,21.624129910982045,0.12696897694173162,0.33842942771216755,-0.21146045077043593,62.48287928149142,0.46650187566611123,0.4852997743330837,-0.018797898666972457,3.87346124213744,0.0009762795219057411,0.16335922807845496,-0.16238294855654922,99.40237259113586,0.0004580530932398367,0.12684276732921898,-0.12638471423597913,99.63888118898339,0.7934452386868797,0.5298518127030016,0.263593425983878,49.7485182959316,0.379597996156156,0.5571029520652092,-0.17750495590905319,31.862145991334856,0.31357873230695577,0.36573275511897446,-0.0521540228120187,14.26014544282553,0.3527921332754316,0.3804582109839724,-0.027666077708540848,7.2717783214583696,2.796,2.46,0.33599999999999985,13.65853658536585
=======
0,0.0,30.0,-5.2355497037374315e-05,-0.005977797289793485,0.005925441792756111,99.12416740649994,0.0013027358317911344,0.324666507583111,-0.32336377175131986,99.59874646710898,0.0013037874617830045,0.32472153486741856,-0.32341774740563556,99.59849060755539,0.01274896309126927,790.830564049891,-790.8178150867997,99.99838790207778,6,6,0,0.0,13.605967572036098,13.19003193128807,0.41593564074802813,3.1534088993476006,1.2380830490953079,0.4226304421022905,0.8154526069930174,192.94696400399167,12.711864406779661,12.573344509639563,0.13851989714009783,1.1016949152542448,16.059957173447536,13.736263736263735,2.3236934371838007,16.91648822269807,13.077593722755013,13.297872340425533,-0.2202786176705196,1.6564952048823072,4.4424,4.5536,-0.11120000000000019,2.4420238931834195,0.3581159588736586,0.14704774734758772,0.2110682115260709,143.53719477738971,0.08061317280606398,0.03229263601273447,0.048320536793329504,149.63329959893795,0.6043806747406802,0.18916659324521337,0.4152140814954669,219.4965159399113,0.0020842205293551443,0.4967165320855842,-0.49463231155622905,99.58040041055126,0.0001819602147281169,0.0529320139544866,-0.05275005373975848,99.65623787735608,0.9658162220818377,0.9685154946740459,-0.002699272592208146,0.278702055573885,0.8816332102973455,0.908779445611208,-0.02714623531386251,2.9871092975265365,0.23264830464858502,0.2324868123558665,0.00016149229271852916,0.06946299064539353,0.8036727130078761,0.8186984235120858,-0.015025710504209644,1.8353168972466982,4.484,4.436,0.04800000000000004,1.0820559062218225
1,30.0,60.0,1.6762044894790244e-05,-0.003469447271672637,0.0034862093165674273,100.4831330059877,0.0011913115214927622,0.33126358096500297,-0.3300722694435102,99.6403735303403,0.0011914294386955759,0.33128174887567835,-0.33009031943698275,99.64035765847676,0.010646280805428412,823.10697853596,-823.0963322551546,99.99870657386184,6,6,0,0.0,13.742500025975417,13.615139612878522,0.12736041309689483,0.9354322960921017,1.627843492372377,0.984422285553486,0.643421206818891,65.36028453044732,12.175324675324676,12.479201331114808,-0.30387665579013223,2.4350649350649265,16.025641025641026,15.384615384615385,0.6410256410256405,4.1666666666666625,12.95336787564767,13.25088339222615,-0.2975155165784802,2.2452504317789304,4.4256,4.4288,-0.0031999999999996476,0.07225433526010766,0.5035845907094457,0.3040989312707297,0.19948565943871605,65.59893472993507,0.11378899826225726,0.06866395666336923,0.04512504159888803,65.71867365598709,0.8948005364325615,0.530199962278384,0.36460057415417757,68.76661638892053,0.0019739681650182512,0.507839707905733,-0.5058657397407147,99.61130094116534,0.0003257039542937802,0.07152198242831195,-0.07119627847401817,99.5446100020784,0.9557921998024633,0.9684188626680101,-0.012626662865546812,1.3038431356820277,0.9001363759045999,0.9198482461691262,-0.019711870264526254,2.142948072860919,0.2328144186451857,0.23274280323978602,7.161540539968314e-05,0.03077019113063639,0.6994923984136185,0.7819626896903802,-0.08247029127676164,10.546576245142326,4.48,4.412,0.0680000000000005,1.5412511332729035
2,60.0,90.0,1.2830190387686372e-05,0.021744011879702096,-0.02173118168931441,99.94099437372151,0.0012610698540501861,0.35403706717572436,-0.3527759973216742,99.64380287518757,0.0012611351198739736,0.35470416826845014,-0.35344303314857617,99.64445438404898,0.011928463429346566,943.6128524025975,-943.6009239391681,99.99873587314978,7,6,1,16.666666666666664,15.013262451934018,14.89819670687719,0.1150657450568282,0.7723467968691301,1.1171768607452879,1.183645201853024,-0.06646834110773603,5.615562924065278,13.477088948787062,13.537906137184114,-0.060817188397052746,0.44923629829289635,16.181229773462782,16.853932584269664,-0.6727028108068822,3.991370010787501,15.3538609674921,14.66275659824047,0.6911043692516294,4.713331798296112,4.019333333333333,4.0520000000000005,-0.03266666666666751,0.8061862454755061,0.3075183824677081,0.31111669836252775,-0.0035983158948196814,1.1565807665607055,0.07650979825867675,0.0767810213135557,-0.0002712230548789496,0.3532423120178855,0.5724725320921521,0.5625299992000429,0.009942532892109224,1.7674671406410685,0.001933159514287756,0.5426649094615934,-0.5407317499473057,99.64376552075097,0.00023282215202437897,0.045640830602431376,-0.045408008450406996,99.4898818690386,0.9536292045263555,0.9570880153468425,-0.003458810820487046,0.36138900132748975,0.765437986982114,0.8201130568763862,-0.05467506989427229,6.666772274363794,0.23992015960047833,0.2406065635562544,-0.0006864039557760715,0.2852806447300381,0.775351117802376,0.8294212793560466,-0.054070161553670615,6.519022708900124,3.912,3.956,-0.04400000000000004,1.1122345803842275
