segment,start_sec,end_sec,rms_gyr_ribs_resp_rate_mean,rms_acc_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,rms_gyr_ribs_resp_rate_std,rms_acc_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,rms_gyr_ribs_resp_rate_min,rms_acc_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,rms_gyr_ribs_resp_rate_max,rms_acc_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,rms_gyr_ribs_resp_rate_median,rms_acc_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,rms_gyr_ribs_bbi_mean,rms_acc_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,rms_gyr_ribs_bbi_std,rms_acc_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,rms_gyr_ribs_bbi_cv,rms_acc_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,rms_gyr_ribs_bbi_rmssd,rms_acc_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,rms_gyr_ribs_peak_amp_mean,rms_acc_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,rms_gyr_ribs_peak_amp_std,rms_acc_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,rms_gyr_ribs_n_breaths,rms_acc_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,rms_gyr_ribs_signal_mean,rms_acc_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,rms_gyr_ribs_signal_std,rms_acc_chest_signal_std,diff_signal_std,pct_diff_signal_std,rms_gyr_ribs_signal_rms,rms_acc_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,32.597636445642166,50.8557577387052,-18.258121293063034,35.901778097324815,5.026578787165451,12.885610688106059,-7.859031900940608,60.99076009020522,25.553662691652473,37.78337531486146,-12.229712623208986,32.36797274275978,39.26701570680628,68.18181818181819,-28.914802475011903,42.40837696335079,32.78493369205495,46.920947932883585,-14.136014240828636,30.127298922112573,1.887,1.2553333333333334,0.6316666666666666,50.31864046733935,0.30341226079379185,0.3002347229900114,0.003177537803780439,1.0583512033970013,0.1607908112314742,0.2391673311125954,-0.07837651988112118,32.77057929129251,0.6041854020083569,0.6173310295133398,-0.013145627504982937,2.1294292488984428,0.005293499326647076,0.5526928224527276,-0.5473993231260805,99.04223483432341,0.0004193516948744184,0.22080800132453585,-0.22038864962966143,99.81008310733357,5,7,-2,28.57142857142857,0.0034280675827043283,0.339751439564434,-0.3363233719817297,98.99100719423025,0.0014150098346991436,0.18514005936506112,-0.18372504953036198,99.23570844713353,0.0037086251069478023,0.386921028464212,-0.3832124033572642,99.04150334716407
1,10.0,20.0,29.105876507520662,15.060240963855422,14.04563554366524,93.2630200099372,0.4799223090473834,0.0,0.4799223090473834,479922309047.3834,28.62595419847328,15.060240963855422,13.565713234617858,90.07633587786258,29.585798816568047,15.060240963855422,14.525557852712625,96.44970414201183,29.105876507520662,15.060240963855422,14.04563554366524,93.2630200099372,2.0620000000000003,3.984,-1.9219999999999997,48.2429718875502,0.03400000000000003,0.0,0.03400000000000003,34000000000.00003,0.016488845780795357,0.0,0.016488845780795357,16488845780.795357,0.06800000000000006,0.0,0.06800000000000006,68000000000.00006,0.004846032212374902,0.5182263984182125,-0.5133803662058376,99.06488125128969,0.0012060088892488128,0.003987067095100272,-0.002781058205851459,69.75197907427032,3,2,1,50.0,0.0029821455030994834,0.2506820034660374,-0.24769985796293795,98.81038707930085,0.0012644044730474395,0.13423693991206356,-0.13297253543901613,99.05808008296694,0.003239121867592951,0.28436072671643914,-0.2811216048488462,98.86091096158192
2,20.0,30.0,33.227835169505376,32.432267512814256,0.7955676566911194,2.4530127484203317,8.10838772677116,11.685379546009276,-3.576991819238117,30.610831296957837,22.189349112426033,20.74688796680498,1.4424611456210528,6.952662721893474,41.43646408839779,44.11764705882353,-2.6811829704257377,6.077348066298339,36.05769230769231,32.432267512814256,3.6254247948780502,11.178449960199714,1.938666666666667,2.126,-0.1873333333333329,8.81153966760738,0.5483097259355845,0.7659999999999999,-0.21769027406441543,28.41909583086364,0.2828282630341735,0.36030103480714953,-0.07747277177297601,21.50223404560666,1.1530689485022136,1.5319999999999998,-0.37893105149778616,24.734402839281085,0.0044090884146832715,0.45970627990320295,-0.45529719148851966,99.04089010582764,0.00040278231031230636,0.037981685314028964,-0.037578903003716656,98.93953544456456,4,3,1,33.33333333333333,0.002903627781122794,0.2558741356682958,-0.252970507887173,98.86521247114756,0.0010475601763530575,0.11948228450767502,-0.11843472433132196,99.12325063027585,0.003086816582563487,0.2823961572245105,-0.279309340641947,98.90691976374544
3,30.0,40.0,32.416550025279406,13.774104683195592,18.642445342083814,135.3441531835285,6.340019417364987,0.0,6.340019417364987,6340019417364.986,23.65930599369085,13.774104683195592,9.885201310495258,71.76656151419559,38.46153846153846,13.774104683195592,24.687433778342868,179.23076923076923,35.1288056206089,13.774104683195592,21.35470093741331,155.03512880562062,1.9346666666666668,4.356,-2.421333333333333,55.58616467707377,0.4294782364166496,0.0,0.4294782364166496,429478236416.6496,0.22199081827187264,0.0,0.22199081827187264,221990818271.87262,0.9050303862302083,0.0,0.9050303862302083,905030386230.2083,0.004646149233326483,0.4694395382361679,-0.46479338900284145,99.01027739359503,0.0010169700055585626,0.02098132707764916,-0.019964357072090596,95.15297577796252,4,2,2,100.0,0.00279464503268636,0.21364299533810913,-0.21084835030542276,98.69190888834731,0.0013395638754923483,0.1289260977702782,-0.12758653389478583,98.96098315340373,0.0030991082967916144,0.2495300946645728,-0.24643098636778119,98.75802223336727
4,40.0,50.0,29.185586582450355,24.79768398461951,4.387902597830845,17.694808114146436,4.102292647263704,10.579674505946526,-6.477381858682822,61.22477449605916,23.696682464454977,14.218009478672986,9.47867298578199,66.66666666666666,33.557046979865774,35.37735849056604,-1.8203115107002645,5.145413870246081,30.303030303030305,24.79768398461951,5.505346318410794,22.201050395776576,2.1,2.9579999999999997,-0.8579999999999997,29.00608519269776,0.31536645351083237,1.2619999999999998,-0.9466335464891674,75.0105821306789,0.15017450167182492,0.42663962136578765,-0.2764651196939627,64.80061997264198,0.543323108288245,2.524,-1.980676891711755,78.47372788081438,0.005304022691995763,0.5281549663897502,-0.5228509436977544,98.99574499350979,0.001830252574703809,0.0433510916198208,-0.04152083904511699,95.77807038688965,4,3,1,33.33333333333333,0.003110362206881166,0.27687300616727073,-0.2737626439603896,98.87661052627064,0.0017544937377092344,0.1454604040767705,-0.14370591033906127,98.79383413730706,0.003571078455264683,0.3127577188468397,-0.30918664039157506,98.85819653998261
5,50.0,60.0,36.72457699650747,36.91126588458375,-0.18668888807627582,0.505777527815018,4.621723503513255,3.0389872757367815,1.5827362277764738,52.08104161583731,29.761904761904763,34.72222222222222,-4.960317460317459,14.285714285714283,41.43646408839779,41.20879120879121,0.22767287960657967,0.5524861878452999,37.84996956786367,34.80278422273782,3.047185345125847,8.755579224994934,1.662,1.636,0.026000000000000023,1.5892420537897325,0.22502444311674236,0.12728969583853467,0.09773474727820769,76.78135031619759,0.13539376842162598,0.07780543755411655,0.05758833086750943,74.01581776010786,0.2348786920944512,0.2700074073057997,-0.0351287152113485,13.010278333424797,0.004330684213851186,0.518976734351073,-0.5146460501372219,99.16553403511118,0.0014552411823216896,0.06543090212589356,-0.06397566094357186,97.77591148060023,5,4,1,25.0,0.002785710690284378,0.28706960852271274,-0.28428389783242836,99.02960445565104,0.0015074038267816078,0.1074047182126102,-0.1058973143858286,98.59651991842885,0.003167404354824389,0.30650405157471206,-0.3033366472198877,98.96660277782583
