segment,start_sec,end_sec,pca_acc_ribs_signal_mean,pca_gyr_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,pca_acc_ribs_signal_std,pca_gyr_chest_signal_std,diff_signal_std,pct_diff_signal_std,pca_acc_ribs_signal_rms,pca_gyr_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms,pca_acc_ribs_signal_energy,pca_gyr_chest_signal_energy,diff_signal_energy,pct_diff_signal_energy,pca_acc_ribs_n_breaths,pca_gyr_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,pca_acc_ribs_resp_rate_mean,pca_gyr_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,pca_acc_ribs_resp_rate_std,pca_gyr_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,pca_acc_ribs_resp_rate_min,pca_gyr_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,pca_acc_ribs_resp_rate_max,pca_gyr_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,pca_acc_ribs_resp_rate_median,pca_gyr_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,pca_acc_ribs_bbi_mean,pca_gyr_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,pca_acc_ribs_bbi_std,pca_gyr_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,pca_acc_ribs_bbi_cv,pca_gyr_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,pca_acc_ribs_bbi_rmssd,pca_gyr_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,pca_acc_ribs_peak_amp_mean,pca_gyr_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,pca_acc_ribs_peak_amp_std,pca_gyr_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,pca_acc_ribs_spi,pca_gyr_chest_spi,diff_spi,pct_diff_spi,pca_acc_ribs_spectral_rqi,pca_gyr_chest_spectral_rqi,diff_spectral_rqi,pct_diff_spectral_rqi,pca_acc_ribs_dominant_freq_hz,pca_gyr_chest_dominant_freq_hz,diff_dominant_freq_hz,pct_diff_dominant_freq_hz,pca_acc_ribs_ac_rqi,pca_gyr_chest_ac_rqi,diff_ac_rqi,pct_diff_ac_rqi,pca_acc_ribs_dominant_period_sec,pca_gyr_chest_dominant_period_sec,diff_dominant_period_sec,pct_diff_dominant_period_sec
0,0.0,30.0,0.18379480134570073,-0.021032065125555464,0.2048268664712562,973.8790045033518,1.4733573761155594,0.04322562507895738,1.430131751036602,3308.5276347635813,1.4847769148110537,0.04807080638924414,1.4367061084218096,2988.728952845844,16534.218650668732,17.331018201841463,16516.88763246689,95302.46544148184,8,6,2,33.33333333333333,18.34197793251929,15.47628217961747,2.865695752901818,18.51669360665954,3.7388753501858902,3.717885602647866,0.020989747538024073,0.5645614142370395,12.520868113522537,8.870490833826137,3.6503772796964,41.15191986644409,24.4299674267101,18.51851851851852,5.911448908191581,31.921824104234535,18.89168765743073,17.584994138335286,1.3066935190954432,7.43073047858942,3.424,4.1952,-0.7711999999999999,18.382913806254766,0.7649463099740119,1.3455500585262519,-0.58060374855224,43.14991812256774,0.2234072166980175,0.32073561654420574,-0.09732839984618824,30.345366970734865,1.256356637265072,2.491027900285342,-1.23467126302027,49.56473040221031,2.5665210538018077,0.014764054853019778,2.551756998948788,17283.578423083833,3.0072808623377885,0.04546669499233621,2.961814167345452,6514.2499753823995,0.4235888566753145,0.7056133440382218,-0.28202448736290736,39.96870095297271,0.435744965961418,0.5397100940660439,-0.10396512810462588,19.263143166617105,0.25135841737476955,0.10774016115809326,0.1436182562166763,133.30057675144653,0.20011896185269523,0.43925396110279447,-0.23913499925009923,54.44117080918861,3.684,1.248,2.436,195.19230769230768
1,30.0,60.0,-0.0028967569936703104,-0.001859945570311847,-0.0010368114233584634,55.74418090012316,0.19963877235445193,0.0022890879468729893,0.19734968440757894,8621.32381926036,0.19965978720882446,0.0029494611631689376,0.19671032604565553,6669.364848808775,298.98022971204796,0.06524490864781396,298.91498480340016,458143.0045628784,10,9,1,11.11111111111111,23.524741931321234,20.234433446567174,3.2903084847540605,16.260937047942257,5.942875708297717,3.0863008385872175,2.8565748697105,92.55659182654803,18.270401948842874,15.906680805938494,2.36372114290438,14.859926918392203,35.714285714285715,27.027027027027025,8.68725868725869,32.14285714285715,20.491803278688526,19.193865822229355,1.2979374564591701,6.762251380104811,2.686222222222222,3.0285,-0.34227777777777835,11.301891291985417,0.5436178759585896,0.42230528057318906,0.12131259538540051,28.72627953426124,0.2023726374763115,0.13944371159755292,0.06292892587875859,45.128550551190955,0.6383729317569785,0.5479436884519115,0.09042924330506696,16.5033825940315,0.2893728142248281,0.00026406482008320935,0.28910874940474485,109484.00824980924,0.05580203039824247,0.0019343815275787552,0.05386764887066371,2784.747895007521,0.7597946954991152,0.33781660572069544,0.4219780897784197,124.91336501300012,0.4338005121014601,0.32859672757206265,0.10520378452939744,32.01607797701692,0.30943587296980946,0.30210891391830796,0.0073269590515014915,2.4252707265310103,0.3563065213329443,0.6701052244141525,-0.3137987030812082,46.82827288140462,3.108,2.812,0.29600000000000026,10.526315789473696
2,60.0,90.0,0.000903985409529983,0.0038370428750523775,-0.0029330574655223943,76.4405705391644,0.16300007003935937,0.0017176644083114975,0.16128240563104787,9389.634252804486,0.1630025767356354,0.004203958734879578,0.15879861800075581,3777.359104009012,199.27380016842528,0.13254951783427726,199.14125065059102,150239.1362144157,11,10,1,10.0,27.257514526835724,22.985222307252585,4.272292219583139,18.58712594759239,5.479990922023362,7.11558230351524,-1.6355913814918788,22.98605105985302,18.939393939393938,13.123359580052494,5.816034359341444,44.3181818181818,34.96503496503497,34.403669724770644,0.5613652402643226,1.6317016317016309,26.57108489590838,22.45508982035928,4.115995075549101,18.329898069778665,2.296,2.882222222222223,-0.5862222222222231,20.339244410177358,0.4775035078405184,0.9157507882458193,-0.4382472804053009,47.85660968360096,0.2079719110803652,0.31772386639215006,-0.10975195531178486,34.54318888853119,0.5634544248551865,1.1570350037920203,-0.5935805789368338,51.30186874134806,0.22347765206029785,0.005309122742820989,0.21816852931747685,4109.314097371076,0.08858166265480862,0.002036767620820771,0.08654489503398785,4249.12955946895,0.7198968307411473,0.3886224600091465,0.3312743707320008,85.24323857252203,0.5467867678934338,0.32657777825211726,0.22020898964131658,67.42926319723928,0.31173314875134017,0.10268798719861912,0.20904516155272107,203.57314156755834,0.27067882375336316,0.5087365519014035,-0.23805772814804038,46.79391076939514,2.68,2.624,0.05600000000000005,2.1341463414634165
3,90.0,120.0,-0.020560545603173674,0.007427893573947175,-0.02798843917712085,376.8018335007972,0.16734616927275278,0.001832419849156267,0.1655137494235965,9032.523277883443,0.16860449699152455,0.007650579419198759,0.1609539175723258,2103.8134336390226,213.20607304323758,0.43898524087100715,212.76708780236658,48467.936502878176,10,10,0,0.0,21.74371392546657,21.98732457965534,-0.24361065418877104,1.1079595123373112,2.7232678274064916,4.4482082141562245,-1.7249403867497328,38.77831935250213,15.212981744421906,15.940488841657812,-0.7275070972359057,4.563894523326581,24.4299674267101,31.847133757961785,-7.417166331251686,23.289902280130292,22.52252252252252,22.354694485842025,0.16782803668049695,0.7507507507507565,2.814222222222222,2.8360000000000003,-0.02177777777777834,0.7679047171289963,0.4410940382926116,0.5458563099489746,-0.10476227165636298,19.19228004640194,0.15673745833202404,0.19247401620203616,-0.03573655787001212,18.566951828188675,0.3476463720506802,0.7591192264723637,-0.4114728544216835,54.203982730591996,0.23356560578962643,0.008410515344666022,0.2251550904449604,2677.0665199220466,0.07363719798237002,0.0020006876840901323,0.07163651029827989,3580.5943560280652,0.7574999460830923,0.23693351410267582,0.5205664319804165,219.70991902598783,0.6261828666756897,0.48322418691423624,0.14295867976145343,29.58433862227722,0.3332004186435977,0.11666666666666667,0.216533751976931,185.60035883736944,0.5074728270045518,0.7422670475129044,-0.23479422050835264,31.632041499763698,2.696,1.248,1.4480000000000002,116.02564102564104
4,120.0,150.0,-0.009951756910497602,0.011185067466216688,-0.02113682437671429,188.97359752684397,0.19243867132749115,0.0016837665319666204,0.19075490479552454,11329.059057417238,0.1926958216669365,0.011311092076275835,0.18138472959066065,1603.600504420802,278.48759765921847,0.9595560296849247,277.52804162953356,28922.546786628118,9,9,0,0.0,21.870868784519843,22.080588593092163,-0.20971980857231998,0.9497926547027379,2.3372339408034475,2.8875088011017347,-0.5502748602982872,19.05707993299722,17.40139211136891,18.13784764207981,-0.7364555307108986,4.060324825986087,24.875621890547265,27.173913043478258,-2.298291152930993,8.457711442786055,21.44635396652795,21.350012746276267,0.09634122025168423,0.45124666386200385,2.777,2.763,0.014000000000000234,0.5066956207021438,0.3170410068114218,0.35165750383007605,-0.03461649701865427,9.843810139590042,0.11416672913626999,0.12727379798410282,-0.013107068847832831,10.29832460053559,0.37727443592165105,0.6484795403755728,-0.2712051044539217,41.821690210434525,0.2688735288861819,0.013314375344180486,0.25555915354200137,1919.42278128506,0.06328551101870362,0.0023676715269895666,0.06091783949171406,2572.900792922468,0.7421406208547987,0.3580486969412968,0.3840919239135019,107.27365500689838,0.5713121050008595,0.3088080997039516,0.26250400529690787,85.0055440736708,0.3711421453455105,0.36542396068430016,0.005718184661210324,1.564808353152962,0.4254233976444708,0.4128673895840246,0.012556008060446211,3.0411721480586635,2.732,2.932,-0.19999999999999973,6.821282401091396
