segment,start_sec,end_sec,impedance_pneumography_resp_rate_mean,rms_gyr_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,impedance_pneumography_resp_rate_std,rms_gyr_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,impedance_pneumography_resp_rate_min,rms_gyr_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,impedance_pneumography_resp_rate_max,rms_gyr_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,impedance_pneumography_resp_rate_median,rms_gyr_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,impedance_pneumography_bbi_mean,rms_gyr_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,impedance_pneumography_bbi_std,rms_gyr_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,impedance_pneumography_bbi_cv,rms_gyr_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,impedance_pneumography_bbi_rmssd,rms_gyr_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,impedance_pneumography_peak_amp_mean,rms_gyr_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,impedance_pneumography_peak_amp_std,rms_gyr_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,impedance_pneumography_n_breaths,rms_gyr_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,impedance_pneumography_signal_mean,rms_gyr_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,impedance_pneumography_signal_std,rms_gyr_chest_signal_std,diff_signal_std,pct_diff_signal_std,impedance_pneumography_signal_rms,rms_gyr_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms
0,0.0,10.0,15.960696466754912,26.269702276707534,-10.309005809952621,39.24294878321964,0.43274615619590584,0.0,0.43274615619590584,432746156195.90576,15.527950310559007,26.269702276707534,-10.741751966148527,40.89026915113872,16.39344262295082,26.269702276707534,-9.876259653756716,37.59562841530056,15.960696466754912,26.269702276707534,-10.309005809952621,39.24294878321964,3.762,2.284,1.4780000000000002,64.71103327495624,0.10199999999999987,0.0,0.10199999999999987,101999999999.99986,0.027113237639553395,0.0,0.027113237639553395,27113237639.55339,0.20399999999999974,0.0,0.20399999999999974,203999999999.99973,0.8490147352116715,0.004917341800462904,0.8440973934112086,17165.725460283193,0.034189051204329246,1.6793856432872727e-05,0.034172257347896376,203480.70429497492,3,2,1,50.0,0.056566922292688504,0.00312668652219378,0.053440235770494726,1709.1651302798148,0.47453551010346556,0.00108232518275755,0.47345318492070804,43744.079179091364,0.4778951423134822,0.003308715220338462,0.4745864270931437,14343.525975759145
1,10.0,20.0,15.822784810126583,38.15610452739371,-22.333319717267123,58.53144600029384,0.0,9.720076554608694,-9.720076554608694,100.0,15.822784810126583,27.881040892193308,-12.058256082066725,43.24894514767932,15.822784810126583,54.15162454873646,-38.32883973860987,70.78059071729957,15.822784810126583,35.29587633432254,-19.473091524195958,55.17101017622238,3.792,1.665,2.127,127.74774774774772,0.0,0.3708625082156459,-0.3708625082156459,100.0,0.0,0.22274024517456212,-0.22274024517456212,100.0,0.0,0.4205456772654626,-0.4205456772654626,100.0,0.848678290575066,0.003640090737268806,0.8450381998377973,23214.756467082945,0.07758291094693481,0.00044100236959481175,0.07714190857734,17492.40228532494,2,5,-3,60.0,-0.06697613695749167,0.002695736993807192,-0.06967187395129887,2584.5204525275744,0.4368699883263977,0.0010427285308129638,0.43582725979558473,41796.80970806388,0.4419741956517999,0.002890377264087164,0.43908381838771277,15191.22862760214
2,20.0,30.0,28.012638834562722,32.818610015290936,-4.805971180728214,14.644042445700785,1.063962733507106,7.694058129735857,-6.630095396228751,86.1716312046679,26.595744680851066,22.45508982035928,4.140654860491786,18.439716312056753,29.296875,40.87193460490463,-11.57505960490463,28.3203125,28.07896782869991,35.1288056206089,-7.049837791908992,20.06853824763426,2.145,1.9493333333333334,0.19566666666666666,10.037619699042406,0.08189627586160428,0.5203110180993246,-0.43841474223772026,84.26013038110011,0.0381800819867619,0.26691741694561794,-0.22873733495885604,85.69591957555143,0.13891004283348254,1.090621840969637,-0.9517117981361546,87.26322565574314,0.39197848115277767,0.0038704077519554694,0.3881080734008222,10027.575859539245,0.5487264422936161,0.0004477724448724274,0.5482786698487437,122445.82625108855,5,4,1,25.0,0.07445143286504477,0.0025486905221403576,0.07190274234290442,2821.1641122485685,0.42727344421607216,0.0009187978970188154,0.42635464631905334,46403.528752343496,0.4337114386178017,0.0027092458273870767,0.43100219279041463,15908.56718993615
3,30.0,40.0,13.586956521739129,28.77906976744186,-15.192113245702732,52.78875713658323,0.0,14.82558139534884,-14.82558139534884,100.0,13.586956521739129,13.953488372093023,-0.36653185035389413,2.6268115942029078,13.586956521739129,43.6046511627907,-30.017694641051573,68.84057971014494,13.586956521739129,28.77906976744186,-15.192113245702732,52.78875713658323,4.416,2.838,1.5780000000000003,55.60253699788584,0.0,1.462,-1.462,100.0,0.0,0.5151515151515151,-0.5151515151515151,100.0,0.0,2.924,-2.924,100.0,0.8268761999411736,0.00434645468412291,0.8225297452570507,18924.153247511254,0.06152059932067472,0.0008219357358618285,0.06069866358481289,7384.842991547048,2,3,-1,33.33333333333333,-0.017920125785943798,0.0024079290162709326,-0.02032805480221473,844.2132083152522,0.3779157273485218,0.0010380981178927356,0.37687762923062906,36304.62503830211,0.3783403598422277,0.002622168920907259,0.3757181909213204,14328.527347175008
4,40.0,50.0,13.876040703052729,13.940520446096654,-0.06447974304392545,0.46253469010175857,0.0,0.0,0.0,0.0,13.876040703052729,13.940520446096654,-0.06447974304392545,0.46253469010175857,13.876040703052729,13.940520446096654,-0.06447974304392545,0.46253469010175857,13.876040703052729,13.940520446096654,-0.06447974304392545,0.46253469010175857,4.324,4.304,0.019999999999999574,0.46468401486987854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986646786283833,0.0064930763355650865,0.8921716022928182,13740.352895684435,0.10133532137161672,0.000650947500710874,0.10068437387090584,15467.357008199957,2,2,0,0.0,-0.027578528174715435,0.0028015366215528746,-0.03038006479626831,1084.407198626189,0.4649754794115735,0.0016196630692343003,0.46335581634233924,28608.16086653083,0.46579262732497834,0.0032360339769142363,0.4625565933480641,14293.935003400095
