segment,start_sec,end_sec,impedance_pneumography_signal_mean,pca_gyr_ribs_signal_mean,diff_signal_mean,pct_diff_signal_mean,impedance_pneumography_signal_std,pca_gyr_ribs_signal_std,diff_signal_std,pct_diff_signal_std,impedance_pneumography_signal_rms,pca_gyr_ribs_signal_rms,diff_signal_rms,pct_diff_signal_rms,impedance_pneumography_signal_energy,pca_gyr_ribs_signal_energy,diff_signal_energy,pct_diff_signal_energy,impedance_pneumography_n_breaths,pca_gyr_ribs_n_breaths,diff_n_breaths,pct_diff_n_breaths,impedance_pneumography_resp_rate_mean,pca_gyr_ribs_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,impedance_pneumography_resp_rate_std,pca_gyr_ribs_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,impedance_pneumography_resp_rate_min,pca_gyr_ribs_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,impedance_pneumography_resp_rate_max,pca_gyr_ribs_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,impedance_pneumography_resp_rate_median,pca_gyr_ribs_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,impedance_pneumography_bbi_mean,pca_gyr_ribs_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,impedance_pneumography_bbi_std,pca_gyr_ribs_bbi_std,diff_bbi_std,pct_diff_bbi_std,impedance_pneumography_bbi_cv,pca_gyr_ribs_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,impedance_pneumography_bbi_rmssd,pca_gyr_ribs_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,impedance_pneumography_peak_amp_mean,pca_gyr_ribs_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,impedance_pneumography_peak_amp_std,pca_gyr_ribs_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,impedance_pneumography_spi,pca_gyr_ribs_spi,diff_spi,pct_diff_spi,impedance_pneumography_spectral_rqi,pca_gyr_ribs_spectral_rqi,diff_spectral_rqi,pct_diff_spectral_rqi,impedance_pneumography_dominant_freq_hz,pca_gyr_ribs_dominant_freq_hz,diff_dominant_freq_hz,pct_diff_dominant_freq_hz,impedance_pneumography_ac_rqi,pca_gyr_ribs_ac_rqi,diff_ac_rqi,pct_diff_ac_rqi,impedance_pneumography_dominant_period_sec,pca_gyr_ribs_dominant_period_sec,diff_dominant_period_sec,pct_diff_dominant_period_sec
<<<<<<< HEAD
0,0.0,30.0,0.0005977096475693855,-0.007193372018369891,0.007791081665939276,108.30917191607774,0.004150449023683188,0.031038255722918004,-0.026887806699234816,86.62795660705062,0.004193266497730647,0.031860915230355814,-0.02766764873262517,86.83883853488469,0.13187612940742682,7.613384394869394,-7.481508265461967,98.26783828889162,8,33,-25,75.75757575757575,17.722570512676896,73.26707972711596,-55.54450921443906,75.81100464398908,2.9192536842489485,26.04631266011817,-23.127058975869218,88.79206541692606,12.126111560226352,24.154589371980677,-12.028477811754325,49.7978981406629,22.354694485842025,111.1111111111111,-88.75641662526908,79.88077496274218,17.50291715285881,79.57615670381628,-62.07323955095747,78.00482220069392,3.4920000000000004,0.9806153846153847,2.5113846153846158,256.1029181048008,0.6622973005272742,0.48698721171987486,0.17531008880739934,35.99891015377244,0.18966131172029613,0.4966138807937224,-0.3069525690734263,61.80909977442306,0.7088845698231365,0.758848812346702,-0.04996424252356546,6.58421568441987,0.0032512012474359684,-0.007730940485848395,0.010982141733284363,142.05440791307785,0.005175772483187445,0.03234272981265872,-0.027166957329471275,83.99710688254372,0.7726221381433057,0.1425277259476957,0.63009441219561,442.0855016144998,0.43524264416264774,0.38366505664609285,0.05157758751655489,13.443389389545581,0.1,0.11666666666666667,-0.016666666666666663,14.285714285714283,0.3767576873607216,0.8291244869675587,-0.45236679960683707,54.55957539757681,1.248,1.248,0.0,0.0
1,30.0,60.0,-5.477269768494952e-05,0.002548168180749128,-0.0026029408784340774,102.14949303969595,0.0007683874791945127,0.0009730854443891925,-0.00020469796519467982,21.035970312264727,0.0007703371772117613,0.0027276466705686855,-0.0019573094933569243,71.75817581053656,0.004450645249459384,0.05580042269598325,-0.051349777446523866,92.02399366451436,8,9,-1,11.11111111111111,20.06509244797352,21.583337402117955,-1.5182449541444356,7.034338229802456,2.2856805710923935,5.5806319763256935,-3.2949514052333,59.04262132337755,16.741071428571427,15.479876160990713,1.2611952675807139,8.147321428571411,23.474178403755868,34.24657534246575,-10.772396938709885,31.455399061032868,19.63350785340314,20.06523098918774,-0.43172313578459764,2.1515981351883466,3.0297142857142854,2.94,0.08971428571428541,3.051506316812429,0.34787752947007666,0.6420903363234803,-0.2942128068534037,45.82109248645995,0.1148218929786183,0.2183980735794151,-0.10357618060079679,47.425409438482916,0.538541239522719,0.9282992128464984,-0.38975797332377937,41.98624408272863,0.0010332352222543154,0.003913356276118649,-0.0028801210538643342,73.59721044159312,0.000365599439640836,0.001255778651519559,-0.000890179211878723,70.88663362779411,0.8683646740126141,0.4796493885676024,0.38871528544501166,81.04154716132315,0.4123259049201375,0.2563632378716525,0.155962667048485,60.83659589545645,0.31158400899168737,0.3016485150414687,0.009935493950218643,3.2937320937425385,0.1668064415046385,0.3285222844739998,-0.16171584296936128,49.22522781925923,6.108,3.052,3.0559999999999996,100.13106159895149
2,60.0,90.0,3.1095368399452963e-06,0.003150497132457297,-0.0031473875956173516,99.90130012156145,0.0010337609278605073,0.0008977811735755829,0.0001359797542849244,15.146202469735401,0.0010337656045692253,0.003275918682941993,-0.0022421530783727677,68.44349006731647,0.00801503493892782,0.08048732412936302,-0.0724722891904352,90.04186680868446,7,48,-41,85.41666666666666,16.925754250698947,82.05220329808175,-65.1264490473828,79.3719686122132,6.592323538323975,22.28130622486515,-15.688982686541177,70.4132088496357,7.788161993769471,47.92332268370607,-40.1351606899366,83.74870197300103,26.978417266187048,118.11023622047244,-91.1318189542854,77.15827338129496,15.611292141872415,75.37688442211055,-59.76559228023814,79.28901909178259,4.212666666666666,0.78704,3.425626666666666,435.25445551263806,1.8371215407684802,0.21187854634200226,1.625242994426478,767.0635005221828,0.43609468446790955,0.2692093747992507,0.16688530966865883,61.99089827131953,2.7258648535831704,0.2877081854935657,2.4381566680896047,847.4408414577873,0.0015674083557257275,0.0036111373929796926,-0.002043729037253965,56.59516143659113,0.0005812751222342755,0.0010289673457690247,-0.0004476922235347493,43.508885425334384,0.9169533385487663,0.44437734037568977,0.4725759981730765,106.34565609793395,0.35191615321785813,0.4036522433397459,-0.05173609012188779,12.816995563763674,0.1,0.29015794715344084,-0.19015794715344084,65.53601203033114,0.2770785391470806,0.334522465735999,-0.05744392658891839,17.171918921060577,9.996,2.668,7.328,274.6626686656671
3,90.0,120.0,-9.636896836016196e-06,0.0035521775641760393,-0.0035618144610120557,100.27129547050815,0.0005054526870984151,0.0006831321625794932,-0.00017767947548107804,26.0095315685568,0.0005055445466777745,0.003617268997321896,-0.0031117244506441216,86.02413735190657,0.0019168146650672736,0.09813476249239617,-0.0962179478273289,98.04675263241627,9,12,-3,25.0,19.777213051804537,27.540610949851782,-7.763397898047245,28.18890950597821,3.3093587795712898,7.550354090539222,-4.240995310967932,56.16948900823079,13.020833333333334,16.286644951140065,-3.2658116178067313,20.052083333333332,23.1839258114374,42.492917847025495,-19.308992035588094,45.440494590417316,20.125199499633354,25.38071065989848,-5.255511160265126,20.706713971444593,3.138,2.3425454545454545,0.7954545454545454,33.95684570009313,0.6341829389064324,0.626578060672174,0.007604878234258372,1.2137160094785457,0.20209781354570822,0.2674774397467368,-0.0653796262010286,24.443043219994117,0.898688568335629,0.9101305400875198,-0.011441971751890767,1.2571791900083351,0.0007616262745632206,0.004407474948635839,-0.003645848674072618,82.71966866654677,0.0003317718560657413,0.0005541402452034742,-0.0002223683891377329,40.128539852953956,0.9574182192268957,0.6181084499111917,0.339309769315704,54.89486017614792,0.6571629498684618,0.43948476151644766,0.21767818835201413,49.53031536313405,0.3310183692471474,0.1,0.2310183692471474,231.01836924714738,0.5549829894231031,0.25390644997096157,0.3010765394521415,118.57774368732052,2.936,2.592,0.34399999999999986,13.2716049382716
4,120.0,150.0,0.00011953374713768925,0.0002667710206356687,-0.00014723727349797946,55.19237927235828,0.0006948116953690278,0.001928482375811412,-0.0012336706804423842,63.971063252435236,0.0007050188711845659,0.0019468464375153535,-0.0012418275663307876,63.78662139966518,0.0037278870654476968,0.028426582884496676,-0.02469869581904898,86.88591210348812,10,42,-32,76.19047619047619,21.556331328166205,84.96116985333393,-63.40483852516772,74.6280196407626,2.479224297102424,22.89955668342298,-20.420332386320556,89.17348343735783,16.797312430011196,35.79952267303103,-19.00221024301983,53.07950727883539,24.4299674267101,119.04761904761905,-94.61765162090896,79.47882736156352,22.62443438914027,84.74576271186442,-62.121328322724146,73.30316742081449,2.8244444444444445,0.7731034482758621,2.0513409961685825,265.33848746159185,0.3586168215398687,0.26604411674960027,0.09257270479026841,34.79599771694914,0.12696897694173162,0.3441248610944874,-0.2171558841527558,63.10380582852764,0.46650187566611123,0.37007643998040657,0.09642543568570466,26.05554563019733,0.0009762795219057411,0.0009194330314697177,5.6846490436023435e-05,6.1827766123601275,0.0004580530932398367,0.0017454178623653514,-0.0012873647691255146,73.75682333059814,0.7934452386868797,0.10799123119687253,0.6854540074900072,634.7311720526603,0.379597996156156,0.35598541920301807,0.023612576953137954,6.633018005625598,0.31357873230695577,0.3615839680056866,-0.04800523569873083,13.276372833536652,0.3527921332754316,0.792781461915555,-0.4399893286401234,55.49944717135552,2.796,1.248,1.5479999999999998,124.03846153846152
=======
0,0.0,30.0,-5.2355497037374315e-05,-3.818578885299428e-05,-1.4169708184380034e-05,37.10728155683744,0.0013027358317911344,0.004047087002912715,-0.0027443511711215804,67.81053061489543,0.0013037874617830045,0.004047267147547261,-0.0027434796857642566,67.78597966845035,0.01274896309126927,0.12285278522711507,-0.1101038221358458,89.62256894078506,6,6,0,0.0,13.605967572036098,13.522527361490194,0.08344021054590378,0.6170459731035707,1.2380830490953079,0.6592108763101773,0.5788721727851306,87.81289775212309,12.711864406779661,12.776831345826237,-0.06496693904657569,0.508474576271199,16.059957173447536,14.720314033366046,1.33964314008149,9.100642398286922,13.077593722755013,13.392857142857142,-0.31526342010212893,2.353966870095896,4.4424,4.4472,-0.004799999999999471,0.10793308148946465,0.3581159588736586,0.2086052731835896,0.149510685690069,71.6715754153,0.08061317280606398,0.046907104061789356,0.03370606874427462,71.85706604243698,0.6043806747406802,0.3202311665031998,0.2841495082374804,88.732621293637,0.0020842205293551443,0.00598196946668639,-0.003897748937331246,65.15828873814591,0.0001819602147281169,0.0003593273464098728,-0.00017736713168175588,49.36087761031109,0.9658162220818377,0.9708506212795838,-0.0050343991977460645,0.518555490144376,0.8816332102973455,0.9283204693121718,-0.04668725901482629,5.029217878758901,0.23264830464858502,0.23255143807768883,9.686657089619244e-05,0.04165382579308414,0.8036727130078761,0.8427570762752895,-0.03908436326741338,4.637678444677496,4.484,4.428,0.05600000000000005,1.2646793134598024
1,30.0,60.0,1.6762044894790244e-05,-0.0001786761709373809,0.00019543821583217115,109.38124250528331,0.0011913115214927622,0.00397810825746133,-0.002786796735968568,70.05331568696398,0.0011914294386955759,0.0039821188432972296,-0.0027906894046016537,70.08051528394212,0.010646280805428412,0.11892952861607148,-0.10828324781064307,91.04824434325577,6,6,0,0.0,13.742500025975417,13.515001310982152,0.22749871499326524,1.6833051640801702,1.627843492372377,0.5887379102696807,1.0391055821026964,176.4971414235441,12.175324675324676,12.658227848101266,-0.4829031727765898,3.8149350649350593,16.025641025641026,14.354066985645934,1.6715740399950914,11.645299145299136,12.95336787564767,13.736263736263735,-0.7828958606160654,5.699481865284957,4.4256,4.4479999999999995,-0.02239999999999931,0.5035971223021428,0.5035845907094457,0.1950097433463263,0.30857484736311946,158.23560508723298,0.11378899826225726,0.04384211855807696,0.0699468797041803,159.54265442606925,0.8948005364325615,0.24836263809196435,0.6464378983405972,260.27984857417744,0.0019739681650182512,0.005819582126609852,-0.003845613961591601,66.08058582089004,0.0003257039542937802,0.0010058845119861916,-0.0006801805576924114,67.62014422007013,0.9557921998024633,0.9756014338869549,-0.019809234084491534,2.030463814056558,0.9001363759045999,0.9422645682981956,-0.042128192393595665,4.470951557658855,0.2328144186451857,0.23249067346836724,0.00032374517681846293,0.13925082326474994,0.6994923984136185,0.7636269540097219,-0.06413455559610337,8.398676246214176,4.48,4.396,0.08400000000000052,1.9108280254777188
2,60.0,90.0,1.2830190387686372e-05,-7.97267414634663e-05,9.255693185115266e-05,116.09270635194042,0.0012610698540501861,0.003803945330069368,-0.002542875476019182,66.84837071443428,0.0012611351198739736,0.0038047807331646507,-0.002543645613290677,66.85393434420025,0.011928463429346566,0.10857267320595702,-0.09664420977661045,89.01338331541413,7,6,1,16.666666666666664,15.013262451934018,14.81175003508893,0.20151241684508747,1.360490261904947,1.1171768607452879,0.3279487020243563,0.7892281587209315,240.65597877021534,13.477088948787062,14.409221902017292,-0.93213295323023,6.469002695417796,16.181229773462782,15.368852459016393,0.8123773144463886,5.2858683926645025,15.3538609674921,14.677103718199609,0.6767572492924909,4.610972725179504,4.019333333333333,4.0527999999999995,-0.033466666666666534,0.825766548230027,0.3075183824677081,0.08863046880164858,0.21888791366605947,246.96689143766326,0.07650979825867675,0.021868947098709186,0.054640851159967564,249.85588429720394,0.5724725320921521,0.1563841424185969,0.4160883896735552,266.0681468328177,0.001933159514287756,0.005665211434553762,-0.003732051920266006,65.87665726830852,0.00023282215202437897,0.0009201093016699133,-0.0006872871496455344,74.69625058655225,0.9536292045263555,0.9393563622606595,0.014272842265695918,1.5194278592361716,0.765437986982114,0.8281903902344129,-0.06275240325229892,7.577050397136017,0.23992015960047833,0.24051855265094096,-0.0005983930504626367,0.24879288681363002,0.775351117802376,0.8349017864178516,-0.059550668615475644,7.132655551137092,3.912,3.984,-0.07200000000000006,1.8072289156626522
