segment,start_sec,end_sec,pca_acc_ribs_signal_mean,pca_acc_chest_signal_mean,diff_signal_mean,pct_diff_signal_mean,pca_acc_ribs_signal_std,pca_acc_chest_signal_std,diff_signal_std,pct_diff_signal_std,pca_acc_ribs_signal_rms,pca_acc_chest_signal_rms,diff_signal_rms,pct_diff_signal_rms,pca_acc_ribs_signal_energy,pca_acc_chest_signal_energy,diff_signal_energy,pct_diff_signal_energy,pca_acc_ribs_n_breaths,pca_acc_chest_n_breaths,diff_n_breaths,pct_diff_n_breaths,pca_acc_ribs_resp_rate_mean,pca_acc_chest_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,pca_acc_ribs_resp_rate_std,pca_acc_chest_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,pca_acc_ribs_resp_rate_min,pca_acc_chest_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,pca_acc_ribs_resp_rate_max,pca_acc_chest_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,pca_acc_ribs_resp_rate_median,pca_acc_chest_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,pca_acc_ribs_bbi_mean,pca_acc_chest_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,pca_acc_ribs_bbi_std,pca_acc_chest_bbi_std,diff_bbi_std,pct_diff_bbi_std,pca_acc_ribs_bbi_cv,pca_acc_chest_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,pca_acc_ribs_bbi_rmssd,pca_acc_chest_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,pca_acc_ribs_peak_amp_mean,pca_acc_chest_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,pca_acc_ribs_peak_amp_std,pca_acc_chest_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,pca_acc_ribs_spi,pca_acc_chest_spi,diff_spi,pct_diff_spi,pca_acc_ribs_spectral_rqi,pca_acc_chest_spectral_rqi,diff_spectral_rqi,pct_diff_spectral_rqi,pca_acc_ribs_dominant_freq_hz,pca_acc_chest_dominant_freq_hz,diff_dominant_freq_hz,pct_diff_dominant_freq_hz,pca_acc_ribs_ac_rqi,pca_acc_chest_ac_rqi,diff_ac_rqi,pct_diff_ac_rqi,pca_acc_ribs_dominant_period_sec,pca_acc_chest_dominant_period_sec,diff_dominant_period_sec,pct_diff_dominant_period_sec
0,0.0,30.0,0.18379480134570073,0.07933639237410958,0.10445840897159114,131.66518648720384,1.4733573761155594,2.7263876957447843,-1.253030319629225,45.959359396497234,1.4847769148110537,2.7275417743205135,-1.2427648595094598,45.563549977857186,16534.218650668732,55796.13097997621,-39261.91232930748,70.36672908986749,8,8,0,0.0,18.34197793251929,19.471313675015704,-1.1293357424964157,5.799997685546529,3.7388753501858902,4.600723771187125,-0.8618484210012349,18.732887777325786,12.520868113522537,14.880952380952381,-2.360084267429844,15.85976627712855,24.4299674267101,28.46299810246679,-4.033030675756692,14.169381107491844,18.89168765743073,17.40139211136891,1.4902955460618195,8.564231738035256,3.424,3.2348571428571433,0.1891428571428566,5.8470234940823005,0.7649463099740119,0.6588950552838828,0.1060512546901291,16.095318038839622,0.2234072166980175,0.2036859824671957,0.01972123423082181,9.682175470272227,1.256356637265072,1.0152306798621353,0.24112595740293674,23.750854085268656,2.5665210538018077,3.070951054271349,-0.5044300004695415,16.425856080250313,3.0072808623377885,4.328451719053472,-1.3211708567156837,30.522943132298398,0.4235888566753145,0.6665427866550843,-0.24295392997976978,36.44986261106912,0.435744965961418,0.22207341390726254,0.21367155205415544,96.21662867910172,0.25135841737476955,0.17381937680596335,0.0775390405688062,44.60897397840976,0.20011896185269523,0.10357117552681086,0.09654778632588437,93.21878006578346,3.684,4.72,-1.0359999999999996,21.949152542372875
1,30.0,60.0,-0.0028967569936703104,-0.008879216118224375,0.005982459124554065,67.37598279959886,0.19963877235445193,0.1719784487934579,0.027660323560994043,16.083598703819828,0.19965978720882446,0.17220751240372223,0.027452274805102234,15.941392115776743,298.98022971204796,222.41570496208607,76.56452474996189,34.424064057442976,10,26,-16,61.53846153846154,23.524741931321234,61.00703013284485,-37.482288201523616,61.43929334029977,5.942875708297717,17.87372438728675,-11.930848678989033,66.7507701275467,18.270401948842874,34.09090909090909,-15.82050714206622,46.406820950060904,35.714285714285715,106.38297872340426,-70.66869300911856,66.42857142857143,20.491803278688526,60.24096385542169,-39.74916057673316,65.98360655737704,2.686222222222222,1.07104,1.6151822222222219,150.8050326992663,0.5436178759585896,0.3201545226917777,0.22346335326681188,69.79859331300052,0.2023726374763115,0.2989192959103093,-0.09654665843399779,32.29857013411627,0.6383729317569785,0.5092307924703691,0.12914213928660945,25.360237675360906,0.2893728142248281,0.19775391770994852,0.09161889651487956,46.329750417010544,0.05580203039824247,0.1424347534915898,-0.08663272309334732,60.82274232212761,0.7597946954991152,0.4874759041992881,0.27231879129982706,55.86302603964168,0.4338005121014601,0.4041982316759607,0.029602280425499394,7.323703595326729,0.30943587296980946,0.36145264046885567,-0.05201676749904621,14.391032648585176,0.3563065213329443,0.29799094289539263,0.058315578437551696,19.569580830523066,3.108,2.732,0.3759999999999999,13.762811127379205
2,60.0,90.0,0.000903985409529983,-0.0057099078625917725,0.006613893272121756,115.83187384602836,0.16300007003935937,0.15511006066874425,0.007890009370615125,5.086716707219377,0.1630025767356354,0.15521512158440234,0.0077874551512330525,5.01720133434191,199.27380016842528,180.68800476345604,18.585795404969247,10.286125760977026,11,29,-18,62.06896551724138,27.257514526835724,63.85710184673183,-36.5995873198961,57.314826795211424,5.479990922023362,15.932560188732381,-10.45256926670902,65.6050825660847,18.939393939393938,31.25,-12.310606060606062,39.3939393939394,34.96503496503497,95.54140127388536,-60.57636630885039,63.4032634032634,26.57108489590838,66.22548828505711,-39.654403389148726,59.87785732656683,2.296,1.0222857142857142,1.2737142857142856,124.59474566797093,0.4775035078405184,0.34687079285920785,0.13063271498131057,37.66033856714289,0.2079719110803652,0.3393090483530541,-0.1313371372726889,38.70723103618251,0.5634544248551865,0.5389064372858688,0.024547987569317642,4.555148328335126,0.22347765206029785,0.1667979487244197,0.05667970333587816,33.981055384274086,0.08858166265480862,0.12596473951713896,-0.03738307686233035,29.677413699763132,0.7198968307411473,0.43647025915519966,0.28342657158594764,64.9360559261306,0.5467867678934338,0.37949594261419883,0.167290825279235,44.082375196644804,0.31173314875134017,0.32855669384750075,-0.016823545096160575,5.120439002216527,0.27067882375336316,0.2731551228345776,-0.002476299081214439,0.906554142392593,2.68,2.54,0.14000000000000012,5.511811023622052
3,90.0,120.0,-0.020560545603173674,-0.000987743593230638,-0.019572802009943036,1981.5670933309502,0.16734616927275278,0.11903264934963449,0.04831351992311829,40.588460550186554,0.16860449699152455,0.11903674747152246,0.04956774952000209,41.64071227824865,213.20607304323758,106.27310436449255,106.93296867874503,100.62091374689619,10,31,-21,67.74193548387096,21.74371392546657,66.39608104945934,-44.652367123992775,67.25151005633995,2.7232678274064916,14.900863514930894,-12.177595687524402,81.72409387766196,15.212981744421906,33.40757238307349,-18.194590638651587,54.462474645030426,24.4299674267101,104.89510489510491,-80.4651374683948,76.7100977198697,22.52252252252252,66.66666666666667,-44.14414414414415,66.21621621621621,2.814222222222222,0.9616551724137932,1.8525670498084288,192.64359023395164,0.4410940382926116,0.27733016248682774,0.1637638758057839,59.05014958968343,0.15673745833202404,0.28838836460549355,-0.1316509062734695,45.65056099040747,0.3476463720506802,0.452921942186825,-0.1052755701361448,23.243645390163024,0.23356560578962643,0.13268815879976287,0.10087744698986356,76.02596034367751,0.07363719798237002,0.06578155114579978,0.007855646836570238,11.942021280645688,0.7574999460830923,0.37266486600504417,0.3848350800780482,103.26572617469103,0.6261828666756897,0.607438542811968,0.018744323863721712,3.085797581587443,0.3332004186435977,0.3283544020904202,0.004846016553177457,1.475849424379878,0.5074728270045518,0.43635091575462576,0.071121911249926,16.29924647389079,2.696,2.596,0.10000000000000009,3.852080123266567
4,120.0,150.0,-0.009951756910497602,-0.006801486426847382,-0.00315027048365022,46.31738249473255,0.19243867132749115,0.17053261195952943,0.021906059367961722,12.845671637962386,0.1926958216669365,0.1706681925824318,0.022027629084504702,12.906698519037446,278.48759765921847,218.45723969515524,60.03035796406323,27.479225704688115,9,33,-24,72.72727272727273,21.870868784519843,74.07030222118146,-52.19943343666162,70.47282361666191,2.3372339408034475,17.02014677127457,-14.682912830471125,86.26783909555898,17.40139211136891,27.829313543599255,-10.427921432230345,37.470997679814374,24.875621890547265,109.4890510948905,-84.61342920434323,77.28026533996683,21.44635396652795,73.1724728726442,-51.726118906116255,70.69068035481722,2.777,0.8712500000000001,1.90575,218.73744619799135,0.3170410068114218,0.29485663889422603,0.022184367917195746,7.523781048441629,0.11416672913626999,0.33842942771216755,-0.22426269857589756,66.26572047588954,0.37727443592165105,0.4852997743330837,-0.10802533841143264,22.25950724166005,0.2688735288861819,0.16335922807845496,0.10551430080772692,64.59035222488477,0.06328551101870362,0.12684276732921898,-0.06355725631051536,50.10711895425083,0.7421406208547987,0.5298518127030016,0.21228880815179707,40.06569441912838,0.5713121050008595,0.5571029520652092,0.014209152935650282,2.5505434647180065,0.3711421453455105,0.36573275511897446,0.005409390226536026,1.4790554443985549,0.4254233976444708,0.3804582109839724,0.04496518666049837,11.818692661200737,2.732,2.46,0.27200000000000024,11.0569105691057
