segment,beat_idx,dev_rr_ms,ref_rr_ms,diff_rr_ms,dev_hr_bpm,ref_hr_bpm,timing_error_ms
0,0,876.0,1008.0,-132.0,68.4931506849315,59.523809523809526,112.0
0,1,924.0,924.0,0.0,64.93506493506493,64.93506493506493,112.0
0,2,928.0,992.0,-64.0,64.65517241379311,60.483870967741936,48.0
0,3,900.0,976.0,-76.0,66.66666666666667,61.47540983606557,-28.0
0,4,848.0,916.0,-68.0,70.75471698113208,65.50218340611353,-96.0
0,5,824.0,868.0,-44.0,72.81553398058253,69.12442396313364,-140.0
0,6,876.0,824.0,52.0,68.4931506849315,72.81553398058253,-88.0
0,7,976.0,872.0,104.0,61.47540983606557,68.80733944954129,16.0
1,0,924.0,1008.0,-84.0,64.93506493506493,59.523809523809526,-48.0
1,1,992.0,916.0,76.0,60.483870967741936,65.50218340611353,28.0
1,2,976.0,872.0,104.0,61.47540983606557,68.80733944954129,132.0
1,3,912.0,932.0,-20.0,65.78947368421052,64.37768240343348,112.0
1,4,868.0,1028.0,-160.0,69.12442396313364,58.36575875486381,-48.0
4,0,1028.0,888.0,140.0,58.36575875486381,67.56756756756756,-96.0
4,1,1032.0,968.0,64.0,58.13953488372093,61.98347107438016,-32.0
4,2,984.0,1044.0,-60.0,60.97560975609756,57.47126436781609,-92.0
4,3,892.0,944.0,-52.0,67.26457399103138,63.559322033898304,-144.0
4,4,896.0,864.0,32.0,66.96428571428571,69.44444444444444,-120.0
5,0,888.0,948.0,-60.0,67.56756756756756,63.29113924050633,-72.0
5,1,968.0,884.0,84.0,61.98347107438016,67.87330316742081,12.0
5,2,860.0,932.0,-72.0,69.76744186046511,64.37768240343348,96.0
5,3,860.0,852.0,8.0,69.76744186046511,70.4225352112676,104.0
6,0,960.0,948.0,12.0,62.5,63.29113924050633,100.0
6,1,932.0,1036.0,-104.0,64.37768240343348,57.915057915057915,-4.0
7,0,932.0,928.0,4.0,64.37768240343348,64.65517241379311,-4.0
7,1,860.0,868.0,-8.0,69.76744186046511,69.12442396313364,-12.0
7,2,912.0,900.0,12.0,65.78947368421052,66.66666666666667,0.0
7,3,1024.0,1020.0,4.0,58.59375,58.8235294117647,4.0
7,4,948.0,952.0,-4.0,63.29113924050633,63.02521008403362,0.0
7,5,872.0,868.0,4.0,68.80733944954129,69.12442396313364,4.0
7,6,904.0,832.0,72.0,66.3716814159292,72.11538461538461,76.0
7,7,952.0,904.0,48.0,63.02521008403362,66.3716814159292,124.0
7,8,932.0,916.0,16.0,64.37768240343348,65.50218340611353,140.0
8,0,832.0,928.0,-96.0,72.11538461538461,64.65517241379311,100.0
8,1,904.0,884.0,20.0,66.3716814159292,67.87330316742081,120.0
8,2,916.0,948.0,-32.0,65.50218340611353,63.29113924050633,88.0
8,3,876.0,964.0,-88.0,68.4931506849315,62.24066390041494,0.0
8,4,836.0,924.0,-88.0,71.77033492822966,64.93506493506493,-88.0
8,5,920.0,884.0,36.0,65.21739130434783,67.87330316742081,-52.0
9,0,928.0,896.0,32.0,64.65517241379311,66.96428571428571,120.0
10,0,796.0,844.0,-48.0,75.37688442211055,71.09004739336493,116.0
