,subject,config,activity,dev_rr,ref_rr,error,spi_ip,spi_gyr,spi_ref
0,subject_1,wire,laying,11.848699830150412,11.7421346354397,0.10656519471071313,0.7079966266773265,0.5629025075221912,0.7443323711800242
1,subject_1,wire,laying,12.039816743670471,11.750315600234876,0.2895011434355954,0.7065661540403146,0.5891256410018805,0.7387000872793614
2,subject_1,wire,laying,11.730171106568502,11.977949152610801,0.24777804604229914,0.6782806759860442,0.5803255847308177,0.7122058405405922
3,subject_1,wire,laying,13.395966186706268,13.570154746027214,0.174188559320946,0.6626012207726849,0.5709527719458478,0.7483286094551709
4,subject_1,wire,laying,15.264887544782358,15.424595671347697,0.15970812656533973,0.7030377613029057,0.6268071108697874,0.8092330505533329
5,subject_1,wire,laying,17.902505778584015,17.938983747690624,0.03647796910660972,0.7708764628601227,0.7694294921176917,0.8231698156326941
6,subject_1,wire,laying,18.75872064605094,18.8255294672065,0.0668088211555613,0.7825939957855507,0.8206232188409087,0.8203241612129668
7,subject_1,wire,laying,18.28772010512353,18.26304944338663,0.02467066173689858,0.7535768098986824,0.7609524042996969,0.7567003786897781
8,subject_1,wire,laying,18.16619892447376,17.015777592814878,1.1504213316588832,0.647619463570798,0.6590441750404621,0.6114051752278586
9,subject_1,wire,laying,17.431476132799048,18.972678787715,1.5412026549159528,0.5228804922469565,0.5078869043963595,0.6523722985056102
10,subject_1,wire,laying,17.687896668802576,19.360088794771272,1.6721921259686958,0.5507160452245675,0.5408628289433922,0.7383465407677643
11,subject_2,wire,laying,13.518281434084663,13.566988070141736,0.04870663605707293,0.8229856122640453,0.841662424038695,0.7799114152556078
12,subject_2,wire,laying,13.56934884297381,13.53679673022915,0.032552112744658857,0.817582918393902,0.8543176805238527,0.8137644873511017
13,subject_2,wire,laying,13.518851893273705,13.369513006398083,0.14933888687562202,0.7488048300382012,0.8357451421810751,0.841298497130923
14,subject_2,wire,laying,13.586045785655582,13.48876388500461,0.09728190065097131,0.7390589114916212,0.8335213738710283,0.8213299905983634
15,subject_2,wire,laying,14.05457928798503,14.150181732827576,0.09560244484254632,0.8130655298011223,0.8422472295262223,0.8229833759404354
16,subject_2,wire,laying,14.21782102699709,14.236847844993349,0.019026817996259382,0.8121505215654676,0.8590708715223183,0.8295551986622763
17,subject_2,wire,laying,14.955848216746507,14.949873881988054,0.0059743347584522155,0.8355287809974165,0.9025454170992744,0.8279216660656827
18,subject_2,wire,laying,14.905480286383344,14.887672700679573,0.017807585703771167,0.8130257829074414,0.8756353674749753,0.8125364903739417
19,subject_2,wire,laying,15.16873431756041,15.141955844581672,0.026778472978739032,0.7768463072066907,0.8616218892351134,0.7949408599847451
20,subject_2,wire,laying,15.010505692729009,14.988451498408395,0.022054194320613618,0.7828867621173562,0.8703577144358423,0.7958417829809163
21,subject_3,wire,laying,16.121897915124947,16.047757238462832,0.07414067666211466,0.704812065755224,0.7728827195767414,0.7620658041133919
22,subject_3,wire,laying,15.667517009988163,15.651796941473355,0.015720068514808005,0.6994485338079601,0.7905014313705152,0.7303947115204457
23,subject_3,wire,laying,14.958899959563503,15.053331832893637,0.0944318733301337,0.6657007962801145,0.7417858971520065,0.7225132652545496
24,subject_3,wire,laying,13.83032097254533,13.849332140099099,0.01901116755376897,0.6168944698558592,0.6859570983723258,0.6904722806795621
25,subject_3,wire,laying,14.321786602930558,14.38451731402598,0.06273071109542094,0.6569344595250141,0.7357953745440169,0.7597282104249953
26,subject_3,wire,laying,16.093337203082847,16.06546170848906,0.027875494593786243,0.7333871182266437,0.800984534690883,0.8081724333354474
27,subject_3,wire,laying,15.040269811026896,15.041890156012373,0.0016203449854774732,0.6915313783982361,0.7506629628379583,0.7394353772768745
28,subject_3,wire,laying,13.725278387152432,13.714582982972937,0.010695404179495327,0.6685532426242075,0.7310480205287158,0.7083753424915797
29,subject_3,wire,laying,14.774651463376516,14.694996593788701,0.07965486958781476,0.7238426885808172,0.7978408175535329,0.7450723978483805
30,subject_3,wire,laying,14.47157945249026,15.01706645193434,0.5454869994440799,0.7322793133478476,0.8162949369689262,0.7728336249037236
31,subject_4,wire,laying,15.765541399382249,17.24101090226805,1.4754695028858027,0.47983361080121256,0.7482746323266488,0.770822426502285
32,subject_4,wire,laying,18.801377003930227,19.158000447976942,0.35662344404671487,0.5172817728119645,0.8229822440248872,0.847641288049167
33,subject_4,wire,laying,19.380051272707824,19.27178038417181,0.10827088853601552,0.635359459643654,0.783662761917568,0.8125989062545637
34,subject_4,wire,laying,20.10964482446029,19.742005423346598,0.3676394011136921,0.6873231643238218,0.7534987824126314,0.7753731978621738
35,subject_4,wire,laying,17.450698424502093,20.95971803097202,3.509019606469927,0.6565414167969054,0.720117290600567,0.741861246423389
36,subject_4,wire,laying,14.775985312867608,21.234234890898374,6.458249578030767,0.5474690086679173,0.5853962732484134,0.6198896367098389
37,subject_4,wire,laying,14.820136717327793,15.457249641751417,0.637112924423624,0.4647006511311262,0.6379401277139549,0.6699990792615924
38,subject_4,wire,laying,18.056096644026105,22.263790934995377,4.207694290969272,0.3962417625943536,0.7268559505106381,0.7707916451961746
39,subject_4,wire,laying,20.000715398593744,22.416752102428166,2.416036703834422,0.5023349917886794,0.7853544828687586,0.8264812174769331
40,subject_4,wire,laying,21.108576941191668,22.35033116549797,1.2417542243063018,0.7103652254195656,0.8467325141850691,0.8759359859667327
41,subject_4,wire,laying,21.115546545640008,21.03222730793093,0.08331923770907679,0.8173871546860491,0.8738393774899024,0.8959845837666459
42,subject_4,wire,laying,21.72913901153253,21.70454436874881,0.02459464278372181,0.7747715755825956,0.8716835912282921,0.8919716791792252
43,subject_5,wire,laying,15.353419221042852,15.192976734815895,0.16044248622695712,0.6308359765847273,0.4668369475684542,0.6036526048474814
44,subject_5,wire,laying,18.807022284349344,15.219551928116388,3.5874703562329557,0.5800183340278559,0.4603482349625289,0.5666510886709083
