segment,start_sec,end_sec,dev_rr_impedance_pneumography,ref_rr_impedance_pneumography,AE_rr_impedance_pneumography,dev_rr_gyry_ribs_imu,ref_rr_gyry_ribs_imu,AE_rr_gyry_ribs_imu,dev_rr_mean_fused,ref_rr_mean_fused,AE_rr_mean_fused
0,0.0,30.0,24.429967426710103,21.42177086639162,3.008196560318485,38.317438692098094,21.42177086639162,16.895667825706475,31.3737030594041,21.42177086639162,9.951932193012482
1,30.0,60.0,22.834525803014156,22.43270189431705,0.40182390869710716,34.970469381411256,22.43270189431705,12.537767487094207,28.902497592212704,22.43270189431705,6.4697956978956555
2,60.0,90.0,12.683916793505833,18.99335232668566,6.309435533179826,39.609189331925,18.99335232668566,20.615837005239342,26.14655306271542,18.99335232668566,7.15320073602976
3,90.0,120.0,17.16527709661599,17.275419545903258,0.11014244928726669,36.419553253480096,17.275419545903258,19.144133707576838,26.792415175048042,17.275419545903258,9.516995629144784
