segment,start_sec,end_sec,dev_mean_hr,ref_mean_hr,AE_mean_hr,dev_rmssd,ref_rmssd,AE_rmssd,dev_snr,ref_snr,AE_snr
0,0.0,10.0,60.57546693589096,60.54490413723511,0.030562798655850543,66.29802841283119,66.91572524985652,0.6176968370253348,0.9185585845330735,0.9163598579166381,0.002198726616435387
1,10.0,20.0,58.99705014749263,58.96805896805896,0.02899117943366747,68.05040148931631,67.64613810115105,0.40426338816526197,0.917942892595658,0.9156565201690997,0.0022863724265582697
2,20.0,30.0,59.17159763313611,59.14243469689502,0.0291629362410859,61.856977894864166,62.77397094792895,0.9169930530647861,0.9194061934773662,0.9174566053024151,0.0019495881749510557
3,30.0,40.0,61.31834440470107,61.28702757916241,0.03131682553866,57.76800894217194,56.60893417625374,1.1590747659181986,0.9172633377091942,0.9140036843668653,0.0032596533423289165
4,40.0,50.0,63.86375731772219,63.82978723404255,0.03397008367964105,118.15728016987721,116.75615615461139,1.4011240152658218,0.9120655797199501,0.9096017117872471,0.0024638679327029234
5,50.0,60.0,57.06134094151212,57.03422053231939,0.027120409192733064,49.36163924112963,49.891310437217996,0.5296711960883655,0.9277532312648387,0.9247908712479934,0.0029623600168452446
6,60.0,70.0,57.55395683453237,57.55395683453237,0.0,46.0062107608465,45.17900903232448,0.8272017285220201,0.9216538568045068,0.9197791975964199,0.0018746592080869373
7,70.0,80.0,57.47126436781609,57.40841990158557,0.06284446623052276,35.627704575699696,36.95041722813605,1.3227126524363513,0.9224229701715427,0.919148310356833,0.003274659814709757
8,80.0,90.0,65.15444015444015,65.12301013024602,0.03143002419413676,84.5931439302264,85.73214099741124,1.1389970671848317,0.9161986731373419,0.9132936252250374,0.0029050479123045037
9,90.0,100.0,70.3564727954972,70.32348804500704,0.03298475049015792,90.39174003561756,89.72055382005718,0.6711862155603825,0.9070136116835915,0.90422983550233,0.002783776181261466
