segment,start_sec,end_sec,dev_mean_hr,ref_mean_hr,AE_mean_hr,dev_rmssd,ref_rmssd,AE_rmssd,dev_snr,ref_snr,AE_snr
0,0.0,10.0,89.40305308127184,89.26788161094754,0.13517147032429477,23.83275057562597,22.538855339169288,1.293895236456681,0.8789141269940763,0.8786192872096074,0.00029483978446898096
1,10.0,20.0,94.22965865897196,94.14516184152716,0.08449681744480131,11.20439474217423,10.228166239135176,0.9762285030390547,0.8730608980892179,0.8738187493796844,0.0007578512904664603
2,20.0,30.0,93.99833472491419,94.05823840477358,0.0599036798593886,10.52469623168435,11.195237082497776,0.6705408508134258,0.8745180962026786,0.8704344352420432,0.0040836609606353935
3,30.0,40.0,86.21823352034137,86.5971382764917,0.3789047561503338,17.601652814954107,18.51125783588643,0.9096050209323217,0.8745542188313288,0.8704848713088508,0.004069347522478006
4,40.0,50.0,86.4280556871801,86.33769103759364,0.09036464958646206,24.833994296674724,24.539393190986164,0.29460110568856024,0.8743701677544222,0.8707169094111638,0.0036532583432584698
5,50.0,60.0,81.78010091918823,81.6692900420798,0.11081087710843462,20.679370484527897,19.78061493666785,0.8987555478600484,0.8873680318935204,0.8832066491211408,0.0041613827723796515
6,60.0,70.0,80.7461955921784,80.32279985465958,0.4233957375188169,14.198591479439079,15.53880772307018,1.340216243631101,0.868921909104861,0.8696780614154748,0.0007561523106137669
7,70.0,80.0,85.01275236355936,84.93251833617164,0.08023402738771779,18.6450090811553,17.09864428437636,1.546364796778942,0.8452572644802218,0.8432559323148325,0.0020013321653892246
8,80.0,90.0,84.48091469568612,84.40192979868453,0.07898489700158962,17.560285771126743,18.010098177512425,0.4498124063856821,0.8292043987463106,0.8207759662068488,0.008428432539461794
9,90.0,100.0,83.55187382826935,83.43561469251812,0.11625913575123548,25.979012508351637,24.716575226132985,1.2624372822186523,0.8598822833722898,0.8559121995233571,0.003970083848932715
10,100.0,110.0,76.47035040039985,76.3123216189009,0.15802878149895605,19.473058311420935,21.94943684420577,2.4763785327848353,0.8822628326789891,0.873401707756412,0.008861124922577068
11,110.0,120.0,81.82185376229474,81.54076497095129,0.2810887913434499,19.05780679931455,19.48425938126373,0.426452581949178,0.8642551494784602,0.865255306493472,0.0010001570150118821
12,120.0,130.0,86.59864245067205,85.96813675736139,0.6305056933106528,17.587874611030557,11.377809343390558,6.210065267639999,0.8696143306736438,0.862428320619479,0.007186010054164749
13,130.0,140.0,81.74045376890567,81.06380785074931,0.6766459181563533,23.908918077494924,23.49468024894146,0.414237828553464,0.8641341851084828,0.859452271929145,0.00468191317933786
