segment,start_sec,end_sec,dev_resp_rate_mean_impedance,dev_resp_rate_mean_gyro,weight_impedance,weight_gyro,final_fused_respiration_rate,ref_respiration_rate
0,0.0,30.0,26.57194662821704,38.62556118299138,1,2,34.60768966473327,22.637619775342042
1,30.0,60.0,23.873619698128586,35.3169812492816,1,2,31.502527398897268,23.018053130561036
2,60.0,90.0,14.594664209818323,39.09433052887892,1,2,30.927775089192053,20.455119222850236
3,90.0,120.0,18.261602398718253,38.230408335688864,1,2,31.574139690031995,18.321459190739553
