feature,device,reference,abs_diff,pct_diff,direction
mean,7.490045204311916e-05,-0.00019261402095801004,0.0002675144730011292,138.88629273745732,higher
min,-0.2582343081568154,-0.9953150665677247,0.7370807584109094,74.05501867390409,higher
energy,989.9467584170378,3716.2606338430887,2726.313875426051,73.36175107305898,lower
var,0.025849192980335053,0.09703786753579184,0.07118867455545679,73.3617466698753,lower
skewness,1.5146428357211368,0.9549340307815571,0.5597088049395796,58.61230062997033,higher
r_amp_min,0.298661717047656,0.7030695244271409,0.4044078073794849,57.52031532144638,lower
range,0.8546067850140218,1.9953150665677248,1.140708281553703,57.16933133351776,lower
r_amp_mean,0.4149815865768504,0.8421468767502359,0.4271652901733855,50.723371654808645,lower
r_amp_median,0.42204916812917453,0.8431288846672946,0.4210797165381201,49.94250869536767,lower
rms,0.16077685962355642,0.31150907632997293,0.1507322167064165,48.3877447431901,lower
std,0.16077684217677324,0.31150901678088205,0.15073217460410882,48.38774047755254,lower
mav,0.12192278441922985,0.2214530719088213,0.09953028748959145,44.94418913753925,lower
median,-0.06252455330730312,-0.1068135899741541,0.04428903666685098,41.463859306262144,higher
r_amp_max,0.5963724768572064,1.0,0.4036275231427936,40.36275231427936,lower
max,0.5963724768572064,1.0,0.4036275231427936,40.36275231427936,lower
iqr,0.1313135947295923,0.1892153893643501,0.05790179463475778,30.600996477756375,lower
kurtosis,1.2924082210487775,1.6947769626288416,0.4023687415800641,23.741692886592734,lower
pnn50,19.10112359550562,22.033898305084747,2.932774709579128,13.31028522039758,lower
iqr_rr,76.0,78.0,2.0,2.564102564102564,lower
zcr,0.01893098676136512,0.01940099746716453,0.0004700107057994084,2.4226110363391578,lower
