peak_method,mean_hr,std_hr,min_hr,max_hr,median_hr,mean_rr,std_rr,sdnn,median_rr,rmssd,pnn50,pnn20,r_amp_mean,r_amp_std,n_r_peaks,signal_mean,signal_std,signal_rms,segment,start_sec,end_sec
pan_tompkins,72.9543698492146,2.8066722389537073,68.80733944954129,77.72020725388602,72.46376811594203,823.6363636363636,31.331867968782568,31.331867968782568,828.0,39.61817764612603,20.0,80.0,0.7657701287225649,0.07577212967012455,12,-3.3201127855077304e-05,0.14667064814868722,0.14667065190647682,0,0.0,10.0
pan_tompkins,71.40754962599681,3.4531517788285138,65.78947368421052,76.92307692307692,71.42857142857143,842.2222222222222,40.88405768560046,40.88405768560046,840.0,51.068581339214816,50.0,87.5,0.8935124118023967,0.02373552553168637,10,-7.047380868779674e-05,0.16209693373443052,0.16209694905414498,1,10.0,20.0
pan_tompkins,69.55288311883346,3.40275379902043,62.24066390041494,73.89162561576354,70.09958071278825,864.8,43.95634197701169,43.95634197701169,856.0,57.8426985692903,44.44444444444444,77.77777777777777,0.9355728471734893,0.027383226048831845,11,-0.0006551518627178252,0.15849655383948053,0.15849790788194829,2,20.0,30.0
pan_tompkins,66.35703149313093,3.133722208296366,61.72839506172839,71.77033492822966,66.07929515418502,906.2222222222222,42.87910078290608,42.87910078290608,908.0,50.0999001995014,37.5,75.0,0.9562357524131541,0.025113075714256722,10,-9.751492995909725e-05,0.1592533832619429,0.1592534131173861,3,30.0,40.0
pan_tompkins,69.93254893289193,3.0530454792328103,65.21739130434783,75.0,69.6239338330318,859.6,37.37164700678845,37.37164700678845,862.0,36.974465663632124,11.11111111111111,55.55555555555556,0.9533068238732373,0.02136755638074004,11,0.0008344088570825134,0.16553575859848926,0.16553786156924372,4,40.0,50.0
pan_tompkins,66.79345142289945,2.1481574295798413,63.29113924050633,71.77033492822966,66.37298091042584,899.2,28.272955275315667,28.272955275315667,904.0,32.41398874971525,11.11111111111111,66.66666666666667,0.937432065757616,0.015364459435469435,11,2.71114482247631e-05,0.15662506625167041,0.1566250685981359,5,50.0,60.0
pan_tompkins,70.52921607681905,2.7256389471700495,66.07929515418502,73.89162561576354,70.75471698113208,852.0,33.359989341858146,33.359989341858146,848.0,25.65151067676132,0.0,37.5,0.930264040107032,0.022043158572193425,10,2.7133593049000205e-07,0.16174620388166044,0.16174620388188804,6,60.0,70.0
pan_tompkins,75.7482314063036,5.5715245897388845,66.66666666666667,85.22727272727273,75.37688442211055,796.3636363636364,58.17727254970204,58.17727254970204,796.0,28.02855686616776,0.0,50.0,0.9011220023514248,0.030600309294020724,12,-1.3791107592362973e-05,0.1581982410927103,0.15819824169383787,7,70.0,80.0
pan_tompkins,68.91541716155837,3.129147775035982,64.1025641025641,73.17073170731707,68.80733944954129,872.4444444444445,39.93080434705103,39.93080434705103,872.0,41.78516483155236,25.0,75.0,0.9391467890608063,0.017954943822022947,10,-0.00025252667425686257,0.1628676817766661,0.16286787754811133,8,80.0,90.0
pan_tompkins,66.84016758926943,2.6911806688700612,63.02521008403362,71.09004739336493,65.78947368421052,899.1111111111111,35.964317020700285,35.964317020700285,912.0,30.56141357987225,12.5,50.0,0.9089108713209928,0.0205713162423272,10,0.0004514671469972743,0.149698434869965,0.14969911564569102,9,90.0,100.0
pan_tompkins,70.39137326317508,3.4210877314745423,65.50218340611353,75.75757575757575,71.10442127965493,854.4,41.6538113502234,41.6538113502234,844.0,42.833009077890694,33.333333333333336,66.66666666666667,0.9238532681820542,0.02751495929429689,11,0.00033467331584863215,0.15909167147778422,0.15909202349528262,10,100.0,110.0
pan_tompkins,73.37106863086413,3.813291766982159,66.96428571428571,78.53403141361257,73.72119982611216,820.0,43.11844153027797,43.11844153027797,814.0,48.09250345832382,55.55555555555556,66.66666666666667,0.9335236870412715,0.022214297284126286,11,-0.0005808018390987157,0.16406350210237938,0.16406453014857827,11,110.0,120.0
pan_tompkins,75.05498448001792,2.032942460948301,72.11538461538461,78.125,74.6268656716418,800.0,21.64171056926038,21.64171056926038,804.0,24.851559307214508,0.0,40.0,0.9137841319295653,0.02575699580817952,12,5.646140329840168e-05,0.15991592891919237,0.1599159388865858,12,120.0,130.0
pan_tompkins,76.01078385509669,2.7318339847703172,71.42857142857143,80.21390374331551,76.33637211229669,790.4,28.910897599348242,28.910897599348242,786.0,27.39018477889885,11.11111111111111,55.55555555555556,0.9141864950864165,0.01643105821536173,11,0.00022607357060872122,0.16667020275674221,0.16667035608119665,13,130.0,140.0
pan_tompkins,74.21011986434763,7.262409133685138,64.1025641025641,88.23529411764706,73.17073170731707,816.0,76.82802518967577,76.82802518967577,820.0,69.16646586316233,50.0,70.0,0.9032666198568751,0.03801330176767019,12,-0.00024053238715687338,0.16073660075028975,0.1607367807211135,14,140.0,150.0
