feature,device,reference,abs_diff,pct_diff,direction
var,0.024187853207962715,2.8872386063511486e-08,0.024187824335576653,83774940.81150737,higher
energy,417.96619871016,0.000801209417831815,417.96539750074214,52166810.349261135,higher
min,-0.20874505330175316,-0.00020033104675778633,0.20854472225499537,104100.05120531314,lower
iqr,0.08428793408032972,9.07686149423084e-05,0.08419716546538741,92760.21840688246,higher
mav,0.1058449061142108,0.00011478187145675485,0.10573012424275405,92113.9574576364,higher
std,0.15552444569251073,0.00016991876312965405,0.15535452692938106,91428.7063229386,higher
rms,0.15552446341863,0.00016991883784147873,0.1553545445807885,91428.67651067766,higher
range,0.971405391092826,0.0010618762907432509,0.9703435148020827,91380.09043623146,higher
max,0.7626603377910728,0.0008615452439854646,0.7617987925470873,88422.37803125054,higher
r_amp_max,0.7626603377910728,0.0008615452439854646,0.7617987925470873,88422.37803125054,higher
r_amp_mean,0.7355191138313597,0.0008316134190795853,0.7346875004122801,88344.83469800415,higher
r_amp_median,0.7363628889639826,0.0008333170747295911,0.735529571889253,88265.2707107832,higher
r_amp_min,0.7021996495582576,0.0007960042800047866,0.7014036452782528,88115.56205125367,higher
median,-0.05886087952205002,-6.88545424810436e-05,0.05879202497956897,85385.83347025371,lower
r_amp_std,0.011173991966849624,1.4298151445808953e-05,0.011159693815403816,78049.90636516809,higher
mean,-7.425422585285328e-05,1.5934204481752854e-07,7.44135678976708e-05,46700.522754610014,lower
iqr_rr,44.0,56.0,12.0,21.428571428571427,lower
std_hr,1.5274531959033233,1.8379578991590957,0.3105047032557724,16.894005210774132,lower
std_hr_filtered,1.5274531959033233,1.8379578991590957,0.3105047032557724,16.894005210774132,lower
cv_rr,0.02729137400574937,0.03257774607420047,0.0052863720684511,16.226942331770385,lower
