signal_mean,signal_std,signal_rms,signal_energy,signal_kurtosis,signal_skewness,peak_method,n_r_peaks,mean_hr,std_hr,min_hr,max_hr,median_hr,mean_rr,std_rr,sdnn,median_rr,rmssd,pnn50,pnn20,r_amp_mean,r_amp_std,snr_db,signal_power,noise_power,rr_rolling_std_mean,rr_rolling_std_max,rr_rolling_std_min,rr_rolling_std_cv,rr_rolling_std_n_windows,rp_sensitivity,rp_ppv,rp_f1,segment,start_sec,end_sec
8.94429570245216e-08,0.00019541181380838636,0.00019541183427808568,9.546446243981504e-05,15.313862944491554,2.363766339523108,pan_tompkins,12,72.90806254223588,2.608814939128997,69.12442396313364,77.31958762886597,72.46376811594203,824.0,29.245046200557237,29.245046200557237,828.0,35.077058029430006,10.0,80.0,0.0011334700811460165,3.140533451727446e-05,18.897341189974448,2.9061002759812673e-07,3.746075074057129e-09,29.837897824772323,38.22041339389201,19.266551326067674,0.2578337032056953,7,,,,0,0.0,10.0
-8.587129378346346e-08,0.00019710974358300978,0.000197109762288018,9.71306459730974e-05,15.784334532852277,2.5176509873468835,pan_tompkins,10,71.2870132531537,3.3546167744517748,65.50218340611353,76.14213197969544,71.77033492822966,843.5555555555555,40.15279459240971,40.15279459240971,836.0,49.09175083453431,62.5,87.5,0.0011532507430415753,3.9087720846197634e-05,14.15664695026366,2.9451363367810446e-07,1.1309429795495267e-08,39.882740744204554,51.0999021525482,30.646370095004727,0.1661807561740569,5,,,,1,10.0,20.0
-3.274555431936103e-07,0.00018897686919220239,0.00018897715289637406,8.928091079204885e-05,17.65795358655837,2.705516023579649,pan_tompkins,11,69.52164237436685,3.400868441434637,61.98347107438016,73.89162561576354,70.09498853586635,865.2,44.21945273293192,44.21945273293192,856.0,58.40852297015869,44.44444444444444,77.77777777777777,0.0011616212165554472,3.497144734469556e-05,19.54393557337604,2.9719102103926286e-07,3.300974175389808e-09,51.78202155357429,61.096644752392095,27.07027890510181,0.22340102047831642,6,,,,2,20.0,30.0
-1.392701243511877e-08,0.0001880826738790957,0.00018808267439472445,8.843773101867984e-05,17.875497998168942,2.7665902558842133,pan_tompkins,10,66.28685538539398,3.073168096839089,61.72839506172839,71.42857142857143,65.78947368421052,907.1111111111111,42.196483382819274,42.196483382819274,912.0,48.16637831516918,37.5,75.0,0.0011663133709730942,3.112011517227993e-05,16.524212545006552,2.9707339861948527e-07,6.613669831738529e-09,45.94219180652418,59.099915397570584,29.3393933134276,0.24505911441278042,5,,,,3,30.0,40.0
4.304475505010654e-07,0.00019757135043075422,0.00019757181933698341,9.758655949031403e-05,16.13062345928617,2.6138576042503328,pan_tompkins,11,69.80487848705334,3.071080669773086,65.21739130434783,74.6268656716418,69.6239338330318,861.2,37.7804182083788,37.7804182083788,862.0,36.974465663632124,11.11111111111111,55.55555555555556,0.001170053610537755,3.583503957333048e-05,16.32789773544915,3.0134587798074404e-07,7.019003867601213e-09,31.060201660099825,37.373787605753854,17.11139970896595,0.23111496822330202,6,,,,4,40.0,50.0
1.4392537135701896e-08,0.00018642681326574512,0.000186426813821312,8.688739227891531e-05,17.75943309471875,2.7380536521561707,pan_tompkins,11,66.76685850725218,2.1925369724582207,63.02521008403362,71.77033492822966,66.37298091042584,899.6,28.979993098687927,28.979993098687927,904.0,33.333333333333336,11.11111111111111,66.66666666666667,0.0011556428860788619,3.071486478161302e-05,19.658669276237596,2.9000430026295816e-07,3.1371660765439593e-09,29.550984203658647,41.89510711288372,21.090282122342508,0.2191486540826088,6,,,,5,50.0,60.0
-3.21251155574061e-07,0.00019251602792445964,0.00019251629595989084,9.26563105252907e-05,16.050107785105826,2.6129925235144844,pan_tompkins,10,70.45167408219945,2.6706334355045027,66.07929515418502,73.52941176470588,70.4225352112676,852.8888888888889,32.75649026255694,32.75649026255694,852.0,23.62202362203543,0.0,37.5,0.0011303006049604662,2.276758334671247e-05,14.232284448964341,2.820092202079691e-07,1.0642284452316391e-08,25.410436093015647,35.031414473298106,14.532721699667958,0.33111056068306977,5,,,,6,60.0,70.0
3.03607390890063e-07,0.0001913314615252479,0.00019133170240928508,9.151955086708806e-05,15.3589485040755,2.488895398504549,pan_tompkins,12,75.67511082275828,5.535806673182156,66.66666666666667,85.22727272727273,75.0,797.0909090909091,57.96778814833215,57.96778814833215,800.0,29.556725123057866,10.0,60.0,0.0011183629383071543,2.9890599225757644e-05,18.65062654824738,2.770422795564373e-07,3.779926865973987e-09,31.581900899536162,40.85094858139772,19.308029417835474,0.22570715965203145,7,,,,7,70.0,80.0
6.7730177015293704e-09,0.00019461238303507744,0.00019461238315293675,9.468494919116366e-05,16.31145591392923,2.6326061950159096,pan_tompkins,10,68.84290009696706,3.092597652058959,63.829787234042556,72.81553398058253,69.12442396313364,873.3333333333334,39.73243846867024,39.73243846867024,868.0,39.89987468652001,25.0,62.5,0.0011583306164628662,3.295151088713719e-05,14.369652978342051,2.902670556194824e-07,1.0612860354569597e-08,31.602448000859756,49.103971326156504,17.572706109191035,0.3475637249734119,5,,,,8,80.0,90.0
-2.2239666166462445e-07,0.0001784855809723561,0.00017848571952768264,7.96428801882865e-05,17.36529519220339,2.691978120752393,pan_tompkins,10,66.74230615657365,2.7017898129310467,63.02521008403362,71.09004739336493,65.78947368421052,900.4444444444445,36.19426323822637,36.19426323822637,912.0,30.331501776206203,0.0,50.0,0.001093394568980814,1.6339076415671853e-05,16.100313559692804,2.636296945672369e-07,6.470874404312501e-09,35.44432767970066,44.59596394293995,26.623298067669978,0.20995600616219448,5,,,,9,90.0,100.0
2.0249597481972254e-07,0.00018347757561489657,0.00018347768735772727,8.416015439534978e-05,17.046579079378372,2.634479049464822,pan_tompkins,11,70.35119848677753,3.337829174139166,65.50218340611353,75.37688442211055,71.10442127965493,854.8,40.83331972788889,40.83331972788889,844.0,41.675998954900756,33.333333333333336,55.55555555555556,0.0011224162060416718,3.5917622093864115e-05,18.99215126794276,2.7737486662088036e-07,3.4982591570017295e-09,40.477087730762776,49.36395446071962,24.72245942457991,0.21950061068824647,6,,,,10,100.0,110.0
-1.8479861848911054e-08,0.00020324940200190035,0.0002032494028420142,0.00010327579938908843,14.56010725528633,2.4856602847025746,pan_tompkins,11,73.29291249243904,3.7520856698685288,67.26457399103138,78.53403141361257,73.73188405797102,820.8,42.362247343595925,42.362247343595925,814.0,46.95151163109069,55.55555555555556,66.66666666666667,0.001154610406793556,2.6452549049087984e-05,14.277223239036015,2.937670137152487e-07,1.0971871296793683e-08,40.93873965555343,56.73799432479086,29.58377933936095,0.2526165923688749,6,,,,11,110.0,120.0
