segment,start_sec,end_sec,dev_resp_rate_mean,ref_resp_rate_mean,AE_resp_rate_mean,dev_spi_mean,ref_spi_mean,AE_spi_mean
0,0.0,30.0,,15.445340655568904,,0.3268377041884725,0.42042378859188045,0.09358608440340793
1,30.0,60.0,,14.985014985014987,,0.13847287212893122,0.4221509624776562,0.283678090348725
2,60.0,90.0,15.792798483891344,16.163793103448278,0.37099461955693336,0.3337240790714337,0.4351402199700753,0.1014161408986416
3,90.0,120.0,16.990291262135923,16.25428932635001,0.7360019357859144,0.41093230531762853,0.4373548365821247,0.026422531264496174
