feature,device,reference,abs_diff,pct_diff,direction
kurtosis,6.357992568055643,0.10991446470427535,6.248078103351368,5684.491227029864,higher
skewness,-0.8197197839375345,0.23672276340978057,1.0564425473473151,446.2783942406726,lower
tidal_excursion_cv,1.0642704238577712,0.5487836612350182,0.515486762622753,93.93260022768685,higher
median,-0.014621859416391514,-0.06324044247085624,0.048618583054464724,76.87894194742572,higher
var,0.03568904289660737,0.10366627748855559,0.06797723459194821,65.57314127484965,lower
energy,1185.3529813666003,3442.8678897415616,2257.514908374961,65.57076776316332,lower
iqr,0.16177180849029865,0.44672832435184623,0.2849565158615476,63.7874297034978,lower
resp_rate_max,73.52941176470588,45.87155963302752,27.65785213167836,60.29411764705883,higher
peak_amp_mean,0.14083390725581169,0.342092306573545,0.20125839931773332,58.83160639699029,lower
resp_rate_min,13.501350135013501,8.503401360544217,4.997948774469284,58.775877587758785,higher
tidal_excursion_mean,0.2680279283858432,0.6187641593654674,0.35073623097962414,56.683346258984756,lower
feet_amp_mean,-0.12746928458953855,-0.29258626278978045,0.1651169782002419,56.43360581110959,higher
resp_rate_std,13.411256153353653,8.621497865038457,4.789758288315197,55.555987640366155,higher
envelope_mean,0.1874196755499533,0.39357716085642536,0.20615748530647204,52.38044932736254,lower
mav,0.12404677761408041,0.25901614713301496,0.13496936951893457,52.10847702464761,lower
peak_amp_min,-0.20791782978747977,-0.4069481483648256,0.19903031857734585,48.90802903934504,higher
peak_amp_std,0.16111945957520193,0.3140841333135615,0.15296467373835956,48.70181505974051,lower
std,0.18891543848136755,0.32197247939622975,0.1330570409148622,41.32559439998531,lower
rms,0.18892499107936742,0.3219776611273326,0.1330526700479652,41.32357182237771,lower
bbi_range,3.628,5.748,2.12,36.882393876130834,lower
