segment,start_sec,end_sec,dev_peak_method,ref_peak_method,dev_signal_mean,ref_signal_mean,diff_signal_mean,pct_diff_signal_mean,dev_signal_std,ref_signal_std,diff_signal_std,pct_diff_signal_std,dev_signal_rms,ref_signal_rms,diff_signal_rms,pct_diff_signal_rms,dev_signal_energy,ref_signal_energy,diff_signal_energy,pct_diff_signal_energy,dev_n_breaths,ref_n_breaths,diff_n_breaths,pct_diff_n_breaths,dev_resp_rate_mean,ref_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,dev_resp_rate_std,ref_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,dev_resp_rate_min,ref_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,dev_resp_rate_max,ref_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,dev_resp_rate_median,ref_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,dev_bbi_mean,ref_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,dev_bbi_std,ref_bbi_std,diff_bbi_std,pct_diff_bbi_std,dev_bbi_cv,ref_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,dev_bbi_rmssd,ref_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,dev_peak_amp_mean,ref_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,dev_peak_amp_std,ref_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,dev_spi,ref_spi,diff_spi,pct_diff_spi,dev_spectral_rqi,ref_spectral_rqi,diff_spectral_rqi,pct_diff_spectral_rqi,dev_dominant_freq_hz,ref_dominant_freq_hz,diff_dominant_freq_hz,pct_diff_dominant_freq_hz,dev_ac_rqi,ref_ac_rqi,diff_ac_rqi,pct_diff_ac_rqi,dev_dominant_period_sec,ref_dominant_period_sec,diff_dominant_period_sec,pct_diff_dominant_period_sec,dev_weighted_kurtosis,dev_weighted_skewness,ref_weighted_kurtosis,ref_weighted_skewness
0,0.0,30.0,ampd,ampd,0.0010104897381690448,0.021309448679071922,-0.020298958940902875,95.25802026421523,0.01846797804913681,0.09342061926377165,-0.07495264121463485,80.23136841237077,0.01849560225389657,0.0958201685796502,-0.07732456632575363,80.6975895283234,2.565654770507579,68.86128529974437,-66.29563052923679,96.2741694998291,9,7,2,28.57142857142857,19.636893776494787,19.24540982903332,0.39148394746146664,2.034167892184245,1.9333187563909657,5.933352650944779,-4.000033894553813,67.41608210185991,17.381228273464657,10.744985673352437,6.636242600112221,61.761297798377726,22.761760242792107,30.48780487804878,-7.726044635256674,25.341426403641893,19.496457489878544,17.860205619160883,1.6362518707176612,9.161439154777975,3.0845000000000002,3.4293333333333327,-0.34483333333333244,10.055404354587845,0.29556344496571285,1.093663364822812,-0.7980999198570992,72.97491582214623,0.0958221575508876,0.31891427823371277,-0.22309212068282516,69.95363202877188,0.2503163712470394,1.9276364802524357,-1.6773201090053962,87.01433730833632,0.01528307177312644,0.038868323356957724,-0.023585251583831283,60.67987900386073,0.0048957323332981,0.013332179186616505,-0.008436446853318406,63.278828878832684,0.36549211667731435,0.6461984122035134,-0.280706295526199,43.43964488693196,0.5424213183486476,0.5398091901323897,0.002612128216257892,0.4838984337442014,0.11666666666666667,0.12197720512815893,-0.005310538461492265,4.353713840149552,0.6514900167755886,0.38321848893218835,0.26827152784340025,70.00484986800095,1.248,1.248,0.0,0.0,,,,
1,30.0,60.0,ampd,ampd,0.003814537930207536,-0.00038694725029802163,0.004201485180505557,1085.8030848570777,0.002385057414232287,0.01827073117794031,-0.015885673763708023,86.94602098293716,0.004498799672154384,0.018274828205788237,-0.013776028533633853,75.38253371525832,0.15179398867632293,2.5047700946330496,-2.3529761059567265,93.93980353719606,9,9,0,0.0,19.29044095368131,19.402234900423228,-0.11179394674191911,0.5761910796136197,2.4691928738414215,1.9963188638651996,0.47287400997622187,23.687298584188124,14.691478942213518,15.060240963855422,-0.3687620216419045,2.448579823702246,23.006134969325153,21.770682148040642,1.235452821284511,5.674846625766853,19.56150269066302,19.317458106117897,0.24404458454512223,1.2633369421820182,3.1660000000000004,3.1294999999999997,0.03650000000000064,1.1663204984822062,0.4395452195167181,0.36342227504653596,0.07612294447018214,20.94614163659469,0.13883298152770626,0.11612790383337146,0.022705077694334802,19.55178466573689,0.5680160963514024,0.553313137898811,0.014702958452591397,2.6572581501363612,0.00767770550058927,0.027286278935330713,-0.01960857343474144,71.86239458012703,0.0021318490506084266,0.008325730450033904,-0.006193881399425477,74.39445027193085,0.8522377063350361,0.9915717711866734,-0.13933406485163724,14.051838596099586,0.53925777835066,0.552029337293361,-0.012771558942700989,2.3135652545788323,0.32324934410139095,0.30346423117931315,0.019785112922077797,6.51975122247176,0.43774237467489424,0.5848810256647006,-0.14713865098980633,25.15702245983916,3.176,3.04,0.13600000000000012,4.47368421052632,,,,
2,60.0,90.0,ampd,ampd,0.0031874227051685113,0.00036190014577239515,0.0028255225593961163,780.746455176377,0.0025528449044266758,0.01675769394670999,-0.014204849042283313,84.76613242523221,0.004083709172735124,0.016761601299610684,-0.01267789212687556,75.63652123839758,0.12507510455610746,2.1071345859533297,-1.9820594813972223,94.06420902632948,7,6,1,16.666666666666664,15.032047771036284,14.012295105139753,1.0197526658965312,7.277556304980208,3.371093704818783,3.4074657636158348,-0.03637205879705174,1.0674225750240705,9.986684420772304,10.121457489878543,-0.1347730691062381,1.3315579227696324,20.5761316872428,20.053475935828878,0.5226557514139216,2.6063100137174224,14.342689545529302,12.95336787564767,1.3893216698816317,10.725563291486196,4.204,4.516,-0.3120000000000003,6.908768821966348,0.9775643201344861,0.9857155776389049,-0.008151257504418807,0.8269380832900705,0.23253195055530118,0.21827182852942978,0.014260122025871402,6.533194009481942,1.088486655866759,1.2815693504449925,-0.19308269457823357,15.066113629448964,0.0073143697611300915,0.028680689101793635,-0.021366319340663544,74.49723144667168,0.003363898062733326,0.01249173015833413,-0.009127832095600804,73.07099961257946,0.6938737442596176,0.9910931368300957,-0.29721939257047814,29.989047600622303,0.5808659558851007,0.510717946137197,0.0701480097479037,13.735176192351666,0.2924009239922796,0.28111233052356355,0.01128859346871608,4.015687767125477,0.3752688784213826,0.2706382181066732,0.10463066031470941,38.66071135358599,3.328,3.336,-0.008000000000000007,0.23980815347721846,,,,
3,90.0,120.0,ampd,ampd,0.002811204022036827,-0.0008253680298692494,0.0036365720519060765,440.600062069543,0.002066459690227547,0.011891217493627966,-0.009824757803400419,82.6219670833968,0.003489000387625568,0.011919827425994641,-0.008430827038369074,70.72943874995379,0.09129842778638522,1.0656171439912052,-0.97431871620482,91.43234244107293,10,11,-1,9.090909090909092,21.44556819697298,24.4754660474649,-3.029897850491917,12.379326483982297,2.450782591052769,3.603217475144128,-1.1524348840913587,31.9834950857431,16.703786191536746,19.841269841269842,-3.1374836497330953,15.812917594654799,26.223776223776227,32.05128205128205,-5.827505827505824,18.181818181818173,20.775623268698062,23.882145975978638,-3.1065227072805754,13.007720120315849,2.835555555555555,2.5016000000000003,0.3339555555555549,13.349678428028255,0.3356794473273941,0.3444610863363233,-0.008781639008929198,2.54938492540055,0.11838225023301517,0.13769630889683532,-0.019314058663820147,14.026562381051628,0.4278738131739311,0.2090401343708374,0.21883367880309368,104.6850067628078,0.005147474821218813,0.012682989047836917,-0.007535514226618104,59.41433993356073,0.002639769100441143,0.010444362450614,-0.007804593350172856,74.72541657833833,0.6324714839343378,0.9660848115304533,-0.3336133275961155,34.53250932157929,0.6160451028114468,0.6471259970711282,-0.031080894259681413,4.802912323156937,0.3312359143633184,0.35077912744264667,-0.01954321307932827,5.571372852714459,0.6049020986264668,0.48614757614066156,0.11875452248580526,24.427669356813766,3.0,2.9,0.10000000000000009,3.448275862068969,,,,
4,120.0,150.0,ampd,ampd,0.00188541299319198,-0.01199794497606474,0.013883357969256719,115.71446607692633,0.002368689261217615,0.045848808321262736,-0.04348011906004512,94.83369503385954,0.003027452885034677,0.04739265668991946,-0.04436520380488478,93.61197895099511,0.06874103228328593,16.845479310964258,-16.776738278680973,99.59193187077472,10,9,1,11.11111111111111,21.450001619194797,22.477562453850233,-1.0275608346554357,4.571495849539604,2.411212085942337,1.052157034043486,1.3590550518988511,129.16846135371472,17.045454545454547,21.156558533145276,-4.111103987690729,19.431818181818176,24.711696869851732,24.711696869851732,0.0,0.0,21.551724137931036,22.388059701492537,-0.8363355635615015,3.73563218390804,2.835111111111111,2.675,0.1601111111111111,5.98546209761163,0.33929483882653005,0.12135485157174389,0.21793998725478617,179.58901884193895,0.11967602874426911,0.04536629965298837,0.07430972909128074,163.79940541698073,0.255429050814507,0.17290790281864749,0.08252114799585952,47.72549238678286,0.005497073342174658,0.023373442452092257,-0.0178763691099176,76.48154158959758,0.001417016581181087,0.005903302785257771,-0.004486286204076684,75.99620699246901,0.7565854295243176,0.6318614914178566,0.12472393810646099,19.739126343431447,0.5481467815961564,0.3142431341300264,0.23390364746612996,74.43397231690865,0.32390708791805406,0.36417589010242307,-0.04026880218436901,11.05751459083235,0.5260017162965992,0.31949493776245835,0.20650677853414084,64.63538357771314,2.944,1.248,1.696,135.8974358974359,,,,
