segment,start_sec,end_sec,dev_peak_method,ref_peak_method,dev_signal_mean,ref_signal_mean,diff_signal_mean,dev_resp_rate_mean,ref_resp_rate_mean,diff_resp_rate_mean,dev_spectral_rqi,ref_spectral_rqi,diff_spectral_rqi
0,0.0,30.0,ampd,ampd,-0.008909997844220243,-0.003674489882699754,-0.0052355079615204895,19.17067987419639,16.172998879989105,2.997680994207286,0.5674977515573464,0.8442185924722181,-0.2767208409148717
1,30.0,60.0,ampd,ampd,-0.00835826123438806,0.03490310438442642,-0.04326136561881448,13.923495843190594,13.874614273518787,0.048881569671806346,0.616235072294692,0.8586737335097105,-0.24243866121501856
2,60.0,90.0,ampd,ampd,0.0035154091550041043,-0.04788153719652017,0.051396946351524274,17.84346241799218,15.021096516380737,2.822365901611441,0.5268862621217458,0.4752883129780497,0.05159794914369614
3,90.0,120.0,ampd,ampd,-0.007890124051701057,0.029342659148878056,-0.037232783200579114,15.107183728999464,15.006319274264188,0.10086445473527661,0.6953208621465067,0.7865766571445905,-0.09125579499808378
