signal_mean,signal_std,signal_rms,signal_energy,peak_method,n_breaths,resp_rate_mean,resp_rate_std,resp_rate_min,resp_rate_max,resp_rate_median,bbi_mean,bbi_std,bbi_cv,bbi_rmssd,peak_amp_mean,peak_amp_std,spi,spectral_rqi,dominant_freq_hz,ac_rqi,dominant_period_sec,segment,start_sec,end_sec
<<<<<<< HEAD
0.0005977096475693855,0.004150449023683188,0.004193266497730647,0.13187612940742682,ampd,8,17.722570512676896,2.9192536842489485,12.126111560226352,22.354694485842025,17.50291715285881,3.4920000000000004,0.6622973005272742,0.18966131172029613,0.7088845698231365,0.0032512012474359684,0.005175772483187445,0.7726221381433057,0.43524264416264774,0.1,0.3767576873607216,1.248,0,0.0,30.0
-5.477269768494952e-05,0.0007683874791945127,0.0007703371772117613,0.004450645249459384,ampd,8,20.06509244797352,2.2856805710923935,16.741071428571427,23.474178403755868,19.63350785340314,3.0297142857142854,0.34787752947007666,0.1148218929786183,0.538541239522719,0.0010332352222543154,0.000365599439640836,0.8683646740126141,0.4123259049201375,0.31158400899168737,0.1668064415046385,6.108,1,30.0,60.0
3.1095368399452963e-06,0.0010337609278605073,0.0010337656045692253,0.00801503493892782,ampd,7,16.925754250698947,6.592323538323975,7.788161993769471,26.978417266187048,15.611292141872415,4.212666666666666,1.8371215407684802,0.43609468446790955,2.7258648535831704,0.0015674083557257275,0.0005812751222342755,0.9169533385487663,0.35191615321785813,0.1,0.2770785391470806,9.996,2,60.0,90.0
-9.636896836016196e-06,0.0005054526870984151,0.0005055445466777745,0.0019168146650672736,ampd,9,19.777213051804537,3.3093587795712898,13.020833333333334,23.1839258114374,20.125199499633354,3.138,0.6341829389064324,0.20209781354570822,0.898688568335629,0.0007616262745632206,0.0003317718560657413,0.9574182192268957,0.6571629498684618,0.3310183692471474,0.5549829894231031,2.936,3,90.0,120.0
0.00011953374713768925,0.0006948116953690278,0.0007050188711845659,0.0037278870654476968,ampd,10,21.556331328166205,2.479224297102424,16.797312430011196,24.4299674267101,22.62443438914027,2.8244444444444445,0.3586168215398687,0.12696897694173162,0.46650187566611123,0.0009762795219057411,0.0004580530932398367,0.7934452386868797,0.379597996156156,0.31357873230695577,0.3527921332754316,2.796,4,120.0,150.0
=======
-5.2355497037374315e-05,0.0013027358317911344,0.0013037874617830045,0.01274896309126927,ampd,6,13.605967572036098,1.2380830490953079,12.711864406779661,16.059957173447536,13.077593722755013,4.4424,0.3581159588736586,0.08061317280606398,0.6043806747406802,0.0020842205293551443,0.0001819602147281169,0.9658162220818377,0.8816332102973455,0.23264830464858502,0.8036727130078761,4.484,0,0.0,30.0
1.6762044894790244e-05,0.0011913115214927622,0.0011914294386955759,0.010646280805428412,ampd,6,13.742500025975417,1.627843492372377,12.175324675324676,16.025641025641026,12.95336787564767,4.4256,0.5035845907094457,0.11378899826225726,0.8948005364325615,0.0019739681650182512,0.0003257039542937802,0.9557921998024633,0.9001363759045999,0.2328144186451857,0.6994923984136185,4.48,1,30.0,60.0
1.2830190387686372e-05,0.0012610698540501861,0.0012611351198739736,0.011928463429346566,ampd,7,15.013262451934018,1.1171768607452879,13.477088948787062,16.181229773462782,15.3538609674921,4.019333333333333,0.3075183824677081,0.07650979825867675,0.5724725320921521,0.001933159514287756,0.00023282215202437897,0.9536292045263555,0.765437986982114,0.23992015960047833,0.775351117802376,3.912,2,60.0,90.0
1.3253351249874879e-05,0.0012242636449237992,0.001224335380360079,0.011242478427010944,ampd,6,14.791679331587648,1.5293728408899914,13.23918799646955,16.949152542372882,13.786764705882351,4.0984,0.4071253369663942,0.09933762857856583,0.6043872930497464,0.0020370514388101933,0.000531843853265156,0.9591269190650606,0.8722623482068136,0.2397492356457723,0.7090047805848876,4.056,3,90.0,120.0
>>>>>>> 0af7f45debd8126668931449cffcd6ead073bb90
