feature,device,reference,abs_diff,pct_diff,direction
skewness,0.5051467019926245,0.2509861376445511,0.2541605643480734,101.2647816860778,higher
mean,4.296054609203691e-05,-0.03862405412059117,0.0386670146666832,100.11122743862646,higher
energy,0.10101298048976944,131512.77282044405,131512.67180746357,99.9999231915058,lower
var,5.843812984637427e-06,4.175505889937145,4.17550004612416,99.99986004538998,lower
feet_amp_std,0.00043842464797946205,0.8314456920007728,0.8310072673527933,99.94726959894103,lower
min,-0.003831964103808809,-5.387658141027278,5.383826176923469,99.92887514382865,higher
range,0.009456259483404911,9.420745926922796,9.41128966743939,99.89962302818951,lower
peak_amp_mean,0.001970492822275931,1.9312765912721745,1.9293060984498986,99.89796941405592,lower
envelope_max,0.005707745764733912,5.453928807897811,5.4482210621330776,99.89534616299963,lower
peak_amp_min,-0.0024187165550648244,-2.2560258504573674,2.2536071339023027,99.89278861522911,higher
iqr,0.003993431045575388,3.6036949502147912,3.5997015191692157,99.88918509749729,lower
tidal_excursion_mean,0.004586569404968722,4.118343517723532,4.113756948318563,99.88863072288092,lower
mav,0.002080942571670419,1.8069562362207148,1.8048752936490444,99.88483713495891,lower
envelope_mean,0.003280309595868627,2.8012733542898127,2.797993044693944,99.88289933965761,lower
rms,0.002417779682509958,2.043770463504612,2.041352683822102,99.88170003796003,lower
std,0.002417397978123881,2.043405463909976,2.0409880659318524,99.88169758666015,lower
feet_amp_mean,-0.0027298113109172884,-2.1369217006804138,2.1341918893694967,99.87225496797342,higher
median,-0.0005457462697468247,-0.40953180030221803,0.4089860540324712,99.86673897622991,higher
tidal_excursion_std,0.0032731852575985008,2.4435370542607324,2.4402638690031337,99.8660472427913,lower
envelope_std,0.0009616856443610581,0.7110009329542508,0.7100392473098898,99.86474199965319,lower
peak_amp_max,0.005624295379596102,4.0330877858955185,4.027463490515922,99.86054617012638,lower
max,0.005624295379596102,4.0330877858955185,4.027463490515922,99.86054617012638,lower
peak_amp_std,0.003083933903524064,2.170285240756436,2.167201306852912,99.85790190867036,lower
bbi_iqr,0.33999999999999964,1.35,1.0100000000000005,74.81481481481484,lower
n_peaks_ampd,15.0,30.0,15.0,50.0,lower
resp_rate_max,51.724137931034484,34.48275862068966,17.241379310344826,49.999999999999986,higher
n_feets_msptd,28.0,47.0,19.0,40.42553191489361,lower
n_peaks_msptd,29.0,43.0,14.0,32.55813953488372,lower
bbi_std,0.6503935857052486,0.8493317581335044,0.19893817242825573,23.422905186713287,lower
resp_rate_mean,27.279005385771775,22.654616819590505,4.6243885661812705,20.412565805051912,higher
tidal_excursion_cv,0.7136456398223461,0.5933300716039903,0.12031556821835576,20.278016230173257,higher
bbi_mean,2.3564285714285718,2.8774285714285717,0.5209999999999999,18.106444245854426,lower
resp_rate_min,15.479876160990713,13.157894736842106,2.321981424148607,17.647058823529413,higher
bbi_meandist,0.9228173551168314,1.102462604981765,0.17964524986493358,16.294906426137235,lower
resp_rate_std,7.139655492255566,6.2318806316837225,0.9077748605718439,14.566627864413736,higher
kurtosis,-0.9696436120905076,-1.125327616457538,0.15568400436703045,13.834549342805083,higher
resp_rate_median,27.75267514222925,25.212605880264427,2.540069261964824,10.074600277447338,higher
bbi_rmssd,0.8762303096535495,0.943932407666938,0.06770209801338845,7.172345971331118,lower
bbi_cv,0.27600819035688023,0.2951704054679044,0.019162215111024172,6.4919161122024445,lower
bbi_range,2.716,2.8199999999999994,0.1039999999999992,3.6879432624113204,lower
zcr,0.002025462962962963,0.002096236303001429,7.077334003846624e-05,3.376210016835015,lower
