segment,start_sec,end_sec,dev_resp_rate_mean_impedance,dev_resp_rate_mean_gyro,weight_impedance,weight_gyro,final_fused_respiration_rate,ref_respiration_rate
0,0.0,30.0,17.722570512676896,19.281608058092647,1,2,18.761928876287396,5.66465256797583
1,30.0,60.0,19.26150134652228,19.29044095368131,1,2,19.280794417961634,7.16982057064418
2,60.0,90.0,16.925754250698947,15.032047771036284,1,2,15.663283264257172,11.284438347596415
3,90.0,120.0,19.777213051804537,21.44556819697298,1,2,20.889449815250167,10.997102484482268
4,120.0,150.0,21.553070936931828,21.450001619194797,1,2,21.484358058440474,9.92439587741586
