segment,start_sec,end_sec,dev_peak_method,ref_peak_method,dev_signal_mean,ref_signal_mean,diff_signal_mean,pct_diff_signal_mean,dev_signal_std,ref_signal_std,diff_signal_std,pct_diff_signal_std,dev_signal_rms,ref_signal_rms,diff_signal_rms,pct_diff_signal_rms,dev_signal_energy,ref_signal_energy,diff_signal_energy,pct_diff_signal_energy,dev_n_breaths,ref_n_breaths,diff_n_breaths,pct_diff_n_breaths,dev_resp_rate_mean,ref_resp_rate_mean,diff_resp_rate_mean,pct_diff_resp_rate_mean,dev_resp_rate_std,ref_resp_rate_std,diff_resp_rate_std,pct_diff_resp_rate_std,dev_resp_rate_min,ref_resp_rate_min,diff_resp_rate_min,pct_diff_resp_rate_min,dev_resp_rate_max,ref_resp_rate_max,diff_resp_rate_max,pct_diff_resp_rate_max,dev_resp_rate_median,ref_resp_rate_median,diff_resp_rate_median,pct_diff_resp_rate_median,dev_bbi_mean,ref_bbi_mean,diff_bbi_mean,pct_diff_bbi_mean,dev_bbi_std,ref_bbi_std,diff_bbi_std,pct_diff_bbi_std,dev_bbi_cv,ref_bbi_cv,diff_bbi_cv,pct_diff_bbi_cv,dev_bbi_rmssd,ref_bbi_rmssd,diff_bbi_rmssd,pct_diff_bbi_rmssd,dev_peak_amp_mean,ref_peak_amp_mean,diff_peak_amp_mean,pct_diff_peak_amp_mean,dev_peak_amp_std,ref_peak_amp_std,diff_peak_amp_std,pct_diff_peak_amp_std,dev_spi,ref_spi,diff_spi,pct_diff_spi,dev_spectral_rqi,ref_spectral_rqi,diff_spectral_rqi,pct_diff_spectral_rqi,dev_dominant_freq_hz,ref_dominant_freq_hz,diff_dominant_freq_hz,pct_diff_dominant_freq_hz,dev_ac_rqi,ref_ac_rqi,diff_ac_rqi,pct_diff_ac_rqi,dev_dominant_period_sec,ref_dominant_period_sec,diff_dominant_period_sec,pct_diff_dominant_period_sec,quality_gate_pass
0,0.0,30.0,ampd,ampd,0.0002565900556703999,0.008309685334080906,-0.008053095278410506,96.91215677423988,0.25125314444907093,0.3640026990675421,-0.11274955461847119,30.97492268801833,0.25125327546920134,0.36409753610647666,-0.11284426063727532,30.992865769977403,473.4615632550178,994.2526184910531,-520.7910552360354,52.380154253596444,6,5,1,20.0,11.758686640598034,11.674894962461112,0.08379167813692234,0.7177081970017034,0.8859219452676353,0.7384805246009404,0.14744142066669497,19.96551239402952,10.387811634349031,10.623229461756374,-0.23541782740734263,2.216066481994452,12.79863481228669,12.711864406779661,0.08677040550702841,0.6825938566552902,12.195121951219512,11.682242990654204,0.5128789605653079,4.390243902439036,5.1328000000000005,5.16,-0.02719999999999967,0.52713178294573,0.40122532322873133,0.3289741631192334,0.07225116010949795,21.962563693280448,0.07816889869637066,0.06375468277504523,0.014414215921325427,22.608874037041588,0.6622205070820444,0.5871513149663098,0.0750691921157346,12.785322999752117,0.35803496479061353,0.5356573801576369,-0.17762241536702333,33.159706548755366,0.035704919883184104,0.04488357182887747,-0.009178651945693367,20.449914237413587,0.9927383739537722,0.9946530205523645,-0.0019146465985923067,0.1924939208980674,0.8662551857821116,0.9015733478020426,-0.03531816201993099,3.9173919799241617,0.199977054720076,0.19983258404889911,0.00014447067117687173,0.07229585298337518,0.7709989024984153,0.7568331926853155,0.014165709813099836,1.8717083169725373,5.144,5.084,0.0600000000000005,1.180173092053511,1
1,30.0,60.0,ampd,ampd,0.010771478275737278,0.009040065088503626,0.0017314131872336515,19.152662843495598,0.21650285197625457,0.4139242700421563,-0.19742141806590174,47.695057370227474,0.21677063836713836,0.4140229753367998,-0.19725233696966146,47.642848034991395,352.4213224357251,1285.6126808005226,-933.1913583647976,72.58728638112996,6,6,0,0.0,13.360665396975216,13.572364298151427,-0.21169890117621115,1.559779096152354,3.197905460674722,2.7546471574272116,0.44325830324751037,16.09129147638296,9.9601593625498,11.102886750555145,-1.1427273880053441,10.2921646746348,19.305019305019304,18.844221105527637,0.46079819949166634,2.445302445302443,12.908777969018933,12.36603462489695,0.542743344121984,4.388984509466444,4.7168,4.574400000000001,0.14239999999999942,3.112976565232586,0.9656281686032154,0.7640171725818733,0.20161099602134214,26.388280690083203,0.20472103303155006,0.16702019337658996,0.0377008396549601,22.57262364075574,1.1040054347692314,0.7432065661712092,0.36079886859802224,48.546243402659414,0.3057850835793127,0.6171885974283694,-0.3114035138490567,50.455163161888784,0.051657782503692226,0.04824696541951894,0.003410817084173283,7.069495572447739,0.9821981540819265,0.9938980065720523,-0.01169985249012584,1.1771683223793308,0.609413227223899,0.6186681688227301,-0.009254941598831112,1.4959459796424364,0.1992698387010752,0.20350818561221046,-0.0042383469111352545,2.082641982377811,0.48918656711482206,0.44698323253527666,0.04220333457954539,9.44181604758846,4.928,4.66,0.2679999999999998,5.751072961373386,1
2,60.0,90.0,ampd,ampd,0.0034182366068605764,0.0012488404786158563,0.00216939612824472,173.7128292517516,0.18005531123464247,0.4199818548824097,-0.23992654364776722,57.127835609694145,0.18008775484553202,0.4199837116282136,-0.23989595678268155,57.12030017846194,243.23699583978333,1322.8973852475783,-1079.660389407795,81.61331343214789,8,8,0,0.0,18.829271009200387,18.783645488635198,0.04562552056518854,0.24290024315457653,1.3271748500489198,1.5977766601447534,-0.2706018100958336,16.936147388166127,16.574585635359117,16.722408026755854,-0.14782239139673692,0.8839779005524868,20.74688796680498,21.216407355021218,-0.46951938821623784,2.2130013831258677,19.132653061224488,18.49568434032059,0.6369687209038979,3.4438775510204085,3.2028571428571424,3.2171428571428575,-0.014285714285715123,0.44404973357018585,0.23222367823866258,0.26958350340130693,-0.037359825162644356,13.858349895776017,0.07250516269717387,0.08379593800218244,-0.011290775305008563,13.474132009494898,0.387883143914934,0.4473894649333323,-0.05950632101839831,13.300787274297047,0.24533509780685958,0.6242237446118979,-0.3788886468050383,60.697570394507636,0.038162640391040024,0.039936584572046775,-0.0017739441810067508,4.44190258134494,0.9891320483680153,0.9965029049453124,-0.00737085657729708,0.7396723622899614,0.7294057915932698,0.781568993053048,-0.05216320145977815,6.674164651288519,0.3011250829940792,0.30032800388974956,0.0007970791043296344,0.2654028575444607,0.5445228708588068,0.6362899688377858,-0.09176709797897897,14.42221353050654,3.32,3.264,0.05600000000000005,1.7156862745098054,1
