peak_method,mean_hr,std_hr,min_hr,max_hr,median_hr,mean_rr,std_rr,sdnn,median_rr,rmssd,pnn50,pnn20,r_amp_mean,r_amp_std,n_r_peaks,signal_mean,signal_std,signal_rms,signal_energy,signal_kurtosis,signal_skewness,segment,start_sec,end_sec
pan_tompkins,55.82074940723637,1.8112669981427045,53.003533568904594,58.8235294117647,55.97014925373134,1076.0,34.87119154832539,34.87119154832539,1072.0,51.84592558726288,50.0,83.33333333333333,0.924756272259561,0.056543875334336684,8,-0.00010578647563238612,0.13599497416220666,0.13599501530628863,46.236610470394204,20.046813834144963,3.3474088038895182,0,0.0,10.0
pan_tompkins,55.25757751713984,1.747041403320351,54.151624548736464,59.28853754940712,54.34782608695652,1086.857142857143,32.68651347674306,32.68651347674306,1104.0,41.44072071445348,16.666666666666668,50.0,0.9191970348641167,0.05452475252381054,8,0.0003976882495905616,0.143332370733033,0.1433329224424573,51.360816639738694,18.498120313211704,3.257409304821427,1,10.0,20.0
pan_tompkins,54.47325840842664,0.8374447721842542,53.763440860215056,56.17977528089887,54.34782608695652,1101.7142857142858,16.6794508792302,16.6794508792302,1104.0,20.912516188477497,0.0,33.333333333333336,0.9322072729304576,0.04952139271417666,8,-0.0006234412066003723,0.13931624370330248,0.13931763864829197,48.52351109634013,20.239587878331527,3.3785383693422077,2,20.0,30.0
pan_tompkins,54.090052591687694,1.108885221146122,53.003533568904594,56.60377358490566,53.9568345323741,1109.7142857142858,22.101805263787103,22.101805263787103,1112.0,29.97776954122282,16.666666666666668,33.333333333333336,0.9320978937600688,0.05827729157410966,8,0.00020304036930674445,0.13917863427801597,0.13917878238038042,48.42683366221323,20.230500451944135,3.352228561545995,3,30.0,40.0
pan_tompkins,55.18460077765428,1.43665777441528,52.63157894736842,57.47126436781609,54.94505494505494,1088.0,28.445436490636897,28.445436490636897,1092.0,40.19950248448356,0.0,83.33333333333333,0.909088831574832,0.06227286021864962,8,0.00011429295866931102,0.13598617430031737,0.1359862223304872,46.230631659291745,19.303374370503672,3.2570728707052536,4,40.0,50.0
pan_tompkins,56.05008077975383,1.249376582925178,54.34782608695652,58.36575875486381,56.07652961399782,1071.0,23.727621035409346,23.727621035409346,1070.0,37.2175074009915,28.571428571428573,71.42857142857143,0.9234994634904091,0.061976264698096646,9,3.2612722423580354e-05,0.13705775467798625,0.13705775855806457,46.96207295240181,20.332163314035697,3.3755716225262438,5,50.0,60.0
pan_tompkins,55.49418823383406,1.227770358106367,54.151624548736464,57.69230769230769,54.94505494505494,1081.7142857142858,23.505101487089295,23.505101487089295,1092.0,32.903900478008175,16.666666666666668,50.0,0.9318260543856576,0.05527368417832188,8,0.00016888124224449756,0.13858945965202232,0.13858956254896507,48.01766711878375,20.170157290442308,3.3611581396107155,6,60.0,70.0
pan_tompkins,56.48747246491248,1.4287984601195918,54.74452554744526,58.8235294117647,55.97014925373134,1062.857142857143,26.680268639837145,26.680268639837145,1072.0,36.69695718539436,33.333333333333336,50.0,0.9120125672542811,0.06143312580209029,8,-0.0003426468728838537,0.14354548282838814,0.14354589178139016,51.513557618286434,17.8457166535331,3.2019399241849626,7,70.0,80.0
pan_tompkins,56.9523312803916,1.2221103066101946,55.14705882352941,58.59375,57.14472309299896,1054.0,22.715633383201094,22.715633383201094,1050.0,34.44249866495917,14.285714285714286,42.857142857142854,0.9383666154623808,0.06386839013029744,9,0.0003601218004362783,0.13977131619773894,0.13977178012517216,48.84037629839868,20.406325041013403,3.3884263489057123,8,80.0,90.0
