segment,start_sec,end_sec,dev_resp_rate_mean,ref_resp_rate_mean,AE_resp_rate_mean,dev_spi,ref_spi,AE_spi
0,0.0,30.0,16.024227117253073,16.015685595441035,0.008541521812038155,0.6584804613775327,0.605929211444571,0.052551249932961674
1,10.0,40.0,15.693768832837847,15.669052071917646,0.024716760920201253,0.806132797118466,0.7600462459951054,0.046086551123360575
2,20.0,50.0,14.903427617264764,15.025938675870913,0.12251105860614864,0.794125444476883,0.7822924063685804,0.011833038108302607
3,30.0,60.0,13.759364823499293,13.789998752208476,0.030633928709182356,0.7655545903853302,0.7590904902401141,0.006464100145216145
4,40.0,70.0,14.32763513314172,14.301062506760536,0.02657262638118496,0.7940830343022438,0.8087203207522388,0.014637286449994957
5,50.0,80.0,16.458873080538748,16.401229143736874,0.05764393680187396,0.8456356611327686,0.8622372740944443,0.016601612961675727
6,60.0,90.0,17.73098926076951,17.6282410698413,0.10274819092820664,0.7873966515879729,0.7921619870476037,0.0047653354596307596
7,70.0,100.0,17.060969606013398,17.018517734754543,0.04245187125885508,0.7615559607332875,0.7441408256249478,0.017415135108339697
8,80.0,110.0,14.754176085126943,14.67731871547425,0.07685736965269285,0.7825717940298915,0.7010964539141958,0.08147534011569568
9,90.0,120.0,14.553808552500119,14.53741246718576,0.016396085314358544,0.7418655858631225,0.5823601684941712,0.1595054173689513
