segment,start_sec,end_sec,dev_mean_hr,ref_mean_hr,AE_mean_hr,dev_rmssd,ref_rmssd,AE_rmssd,dev_snr,ref_snr,AE_snr
0,0.0,10.0,56.910569105691046,55.762081784386616,1.1484873213044295,36.184711320298426,51.84592558726288,15.661214266964457,0.7773719477367972,0.8479788351404558,0.07060688740365861
1,10.0,20.0,55.4016620498615,55.20504731861198,0.19661473124951812,39.54021461029987,41.44072071445348,1.9005061041536067,0.7781714964652204,0.8465934009648052,0.06842190449958474
2,20.0,30.0,55.97014925373135,54.460580912863065,1.5095683408682845,42.015870017569945,20.912516188477497,21.10335382909245,0.7786201963069302,0.8490270673735529,0.07040687106662269
3,30.0,40.0,54.9163179916318,54.0679711637487,0.8483468278830983,28.982753492378876,29.43920288775949,0.4564493953806128,0.7824098301920507,0.8534153746768326,0.07100554448478191
4,40.0,50.0,54.09582689335394,55.14705882352942,1.0512319301754829,22.090722034374522,40.19950248448356,18.108780450109037,0.7836841021178695,0.8420836930841569,0.05839959096628733
5,50.0,60.0,54.43234836702953,56.02240896358543,1.5900605965558938,40.85747585611883,37.2175074009915,3.639968455127331,0.7785298112514362,0.8464114313509333,0.06788162009949716
6,60.0,70.0,55.52617662612375,55.467511885895405,0.05866474022834467,35.4400902933387,32.903900478008175,2.5361898153305233,0.772791741530225,0.8451959505811902,0.07240420905096523
7,70.0,80.0,56.41748942172073,56.48197955890264,0.064490137181906,35.745129538362086,37.094473981982816,1.3493444436207298,0.777263232878684,0.8409480108683991,0.06368477798971506
8,80.0,90.0,55.79171094580233,56.92599620493358,1.1342852591312536,36.95041722813605,34.44249866495917,2.5079185631768794,0.7765088116607036,0.8463604369699269,0.06985162530922329
9,90.0,100.0,56.941431670282,57.999033349444176,1.0576016791621754,31.283648551066843,33.8399594731267,2.556310922059854,0.7693752181045277,0.842458048094807,0.07308282999027926
10,100.0,110.0,57.439824945295406,57.59736697750961,0.15754203221420227,22.50925735484551,42.58325179379016,20.073994438944652,0.78098759579365,0.8437745142206401,0.06278691842699013
